model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
gamma,1,32,disorder,128,1300,9,0.5655322064,0.02695880922,1.111348683,8.102385598,-2.121949372,11.5894639
gamma,1,32,disorder,192,1300,8,0.7133795683,-0.1572730829,1.568333496,5.809049318,-2.058920873,11.32194855
gamma,1,32,disorder,256,1300,7,0.6604522823,-0.6041560277,1.890993822,1.807795179,-1.941609854,8.121880889
gamma,1,32,disorder,384,1300,6,1.317693711,-1.199483685,3.77012649,2.753745703,-1.787334277,11.63454975
gamma,1,32,disorder,512,1300,5,-0.08875788275,-4.629062246,4.444001098,-1.58572711,-1.607301804,11.97097889
gamma,1,16,disorder,128,1300,9,0.338004617,-0.3086879667,0.9744427041,0.3103844508,-2.194097997,5.232963169
gamma,1,16,disorder,192,1300,8,0.5026204496,-0.5292748198,1.527559244,0.1906852377,-2.07629994,5.550199298
gamma,1,16,disorder,256,1300,7,0.7667087569,-0.7421006868,2.261230989,0.4331314481,-1.942561299,5.756141333
gamma,1,16,disorder,384,1300,6,1.969513505,-1.109166985,5.102540729,3.029920826,-1.782842887,10.24299246
gamma,1,16,disorder,512,1300,5,3.812737257,-1.720371065,9.514254188,5.421749768,-1.599276849,16.59797751
gamma,1,8,disorder,128,1300,9,1.045420427,0.2372235131,1.873971832,5.381721269,-1.930678344,11.7499622
gamma,1,8,disorder,192,1300,8,1.510764382,0.1785155874,2.850435138,5.257430198,-1.977985716,13.96039191
gamma,1,8,disorder,256,1300,7,1.517805255,-0.4127016404,3.462059477,1.911917183,-1.93609111,10.65638181
gamma,1,8,disorder,384,1300,6,0.898304783,-3.06454857,4.898516605,-1.351340801,-1.789987509,6.735270932
gamma,1,8,disorder,512,1300,5,1.37677471,-5.762573671,8.657391611,-1.325748116,-1.607888557,8.090846322
gamma,1,4,disorder,128,1300,9,0.3890927289,-0.476220818,1.245455797,-1.064238237,-2.195678847,5.190155651
gamma,1,4,disorder,192,1300,8,0.01157830759,-1.358498531,1.388787856,-2.07898326,-2.078402446,3.098987422
gamma,1,4,disorder,256,1300,7,-0.2304051484,-2.208753725,1.822247851,-1.867444553,-1.944961315,3.641351755
gamma,1,4,disorder,384,1300,6,-0.2656344354,-4.280372627,3.772309994,-1.76649504,-1.790869849,4.728656148
gamma,1,4,disorder,512,1300,5,4.853671806,-2.730148516,12.35730616,3.535761526,-1.597703382,15.44058316
uniform,1,32,marginal,128,1300,9,0.1579539325,-0.2757973939,0.5886448409,-1.231671756,-2.195907188,5.032455608
uniform,1,32,marginal,192,1300,8,0.06117721653,-0.6203550608,0.7319864278,-2.018209565,-2.078443241,3.52594679
uniform,1,32,marginal,256,1300,7,-0.1131072015,-1.096997459,0.883206459,-1.851118509,-1.944977948,3.663633119
uniform,1,32,marginal,384,1300,6,-0.6755559426,-2.616912192,1.307149728,-0.8918764313,-1.789968334,6.710116267
uniform,1,32,marginal,512,1300,5,-0.03889285225,-3.604997741,3.619350005,-1.608479766,-1.608279944,8.497323703
uniform,1,16,marginal,128,1300,9,-0.05249230773,-0.5535918924,0.4540101861,-2.159121567,-2.19668537,1.166846076
uniform,1,16,marginal,192,1300,8,-0.1102646243,-0.9128770573,0.6937113474,-2.014338375,-2.078808861,1.439899507
uniform,1,16,marginal,256,1300,7,-0.3270067421,-1.522834835,0.8553819537,-1.698906069,-1.945005995,2.27293469
uniform,1,16,marginal,384,1300,6,-0.8839268182,-3.304788601,1.495966896,-1.346490705,-1.790677967,3.485704576
uniform,1,16,marginal,512,1300,5,-1.758815479,-6.142901542,2.551149885,-1.123017289,-1.607975965,5.321899995
uniform,1,8,marginal,128,1300,9,0.2162325022,-0.3546371653,0.7886348722,-1.333034267,-2.195800419,3.862652788
uniform,1,8,marginal,192,1300,8,0.2868832243,-0.5926168346,1.16080498,-1.480298825,-2.078172474,3.798972397
uniform,1,8,marginal,256,1300,7,0.3305483964,-0.961448978,1.628561131,-1.603381973,-1.945024165,3.493385288
uniform,1,8,marginal,384,1300,6,1.256684089,-1.291102269,3.866236738,-0.4946936119,-1.790156256,7.454354053
uniform,1,8,marginal,512,1300,5,1.949109,-2.712213428,6.574464629,-0.7217914557,-1.607489277,9.474021022
uniform,1,4,marginal,128,1300,9,-0.2866612182,-0.8738793467,0.3018795758,-1.09029511,-2.195539652,4.057389092
uniform,1,4,marginal,192,1300,8,-0.2520553816,-1.230750183,0.6969679588,-1.734122413,-2.078540023,3.267191966
uniform,1,4,marginal,256,1300,7,-0.4489699068,-1.855309716,0.8809288398,-1.474459591,-1.944853733,4.057684242
uniform,1,4,marginal,384,1300,6,0.4697649523,-2.324505054,3.278946226,-1.647987282,-1.790916231,4.585927221
uniform,1,4,marginal,512,1300,5,1.227262352,-3.617315639,6.176383878,-1.34130975,-1.608332427,6.227763238
