model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,32,128,4,1000,0.744,0.62,6.53756957,6.154473273,6.932293493,4.917229229,4.499776777,5.344747748,1.62034034,1.203936336,2.039397397
gamma,1,32,192,6,1000,1.08,1.164,7.827179179,7.318957958,8.328976977,5.962434434,5.475413814,6.465067467,1.864744745,1.373947548,2.358846847
gamma,1,32,256,8,1000,1.204,1.412,8.350670671,7.824441441,8.86813033,6.624992993,6.051203203,7.221653654,1.725677678,1.199993994,2.248761161
gamma,1,32,384,12,800,2.005,2.435,9.917772215,9.261041927,10.58512046,7.47689612,6.762602941,8.194044743,2.440876095,1.753733417,3.149045682
gamma,1,32,512,16,800,2.845,2.98,10.59603254,9.873704944,11.32063141,8.491501877,7.675032854,9.360698373,2.104530663,1.362824781,2.889430538
gamma,1,32,700,22,700,4.057142857,3.908571429,11.59932965,10.7903176,12.40187615,8.641307991,7.814105457,9.475809115,2.958021664,2.088075209,3.85970652
gamma,1,32,900,28,600,4.726666667,4.64,11.51036171,10.5859488,12.47000946,8.049660545,7.119051196,9.023070117,3.460701169,2.534342794,4.424986088
gamma,1,32,1100,34,500,5.816,6,12.61630461,11.39731864,13.8940497,9.00909018,7.705998397,10.44251703,3.607214429,2.381946293,4.856142685
gamma,1,32,1300,41,500,7.28,7.296,13.34367936,12.22067014,14.45697395,9.009891784,7.947286573,10.09558317,4.333787575,3.232046493,5.446797595
gamma,1,16,128,8,1000,1.524,1.34,8.445357357,7.930434434,8.94794014,6.741813814,6.153353353,7.341413413,1.703543544,1.188256657,2.219163564
gamma,1,16,192,12,1000,2.056,2.232,9.741261261,9.139011211,10.32857758,7.656168168,6.98674034,8.312312312,2.085093093,1.470484484,2.725533133
gamma,1,16,256,16,1000,2.82,2.732,9.693581582,9.061694294,10.32271071,7.315443443,6.681638438,7.951776777,2.378138138,1.764642242,2.99535976
gamma,1,16,384,24,800,4.2,4.37,11.46588235,10.6705072,12.26155382,8.496170213,7.703144869,9.310845745,2.96971214,2.208609512,3.724607635
gamma,1,16,512,32,800,5.64,5.645,12.20744681,11.35310419,13.06426877,8.700863579,7.905808511,9.521594493,3.506583229,2.700939299,4.350563204
gamma,1,16,700,44,700,7.948571429,7.725714286,12.42452483,11.4055279,13.48439158,9.462971592,8.429601471,10.52860822,2.961553239,1.914450848,4.080653178
gamma,1,16,900,56,600,9.606666667,9.533333333,13.89023929,12.73735671,15.02662493,10.02735671,8.931121313,11.11129661,3.862882582,2.694598776,5.00653645
gamma,1,16,1100,69,500,11.88,12.24,15.35470942,14.0316024,16.7254501,10.78877756,9.43562004,12.12347174,4.565931864,3.227442084,5.900761523
gamma,1,16,1300,81,500,14.272,14.08,15.41463727,14.04136032,16.78753347,10.40237275,9.177048497,11.68017315,5.012264529,3.661481363,6.415979158
