model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,-0.06217176065,-0.5180184421,0.393774622,0.389,-1.974302543,-2.195936217,4.153782584,0.1711,0.1481441791,0.4466687996
gamma,1,32,conditional,-0.5626547685,-1.037650714,-0.0836306166,0.0117,6.344688433,-2.048426655,12.65899626,0.7674,0.6491272019,0.3580609313
gamma,1,32,disorder,0.5125756343,0.05351519949,0.9761812242,0.9856,7.573450579,-2.069592222,12.69826537,0.7459,0.850785407,0.2027036951
gamma,1,16,marginal,0.4687136822,-0.08342555492,1.014134299,0.9509,1.208334849,-2.185384843,7.422192899,0.4519,1.167842318,0.8428246391
gamma,1,16,conditional,0.2800888784,-0.2870863577,0.8477523411,0.8361,-0.04954096533,-2.194760586,6.518051776,0.3042,0.5248839249,0.4003735352
gamma,1,16,disorder,0.1904426427,-0.3725779048,0.7399373109,0.7463,-0.7611399482,-2.195932192,5.74459302,0.2483,0.712268207,0.8324757514
gamma,1,8,marginal,0.5698691356,-0.1195020008,1.245231585,0.9465,1.377760041,-2.186083239,7.586308503,0.4592,1.19901876,0.7620192197
gamma,1,8,conditional,-0.2280883525,-0.8513496228,0.3939531834,0.2266,-1.475456653,-2.195942976,3.826639907,0.1779,0.3584411255,0.04916014373
gamma,1,8,disorder,0.845011194,0.1441542854,1.543023367,0.991,5.209173518,-2.040285489,11.93508556,0.7488,1.528901265,0.7701200705
gamma,1,4,marginal,0.5802480056,-0.178269468,1.328217255,0.9342,0.6546834989,-2.190656305,6.761074043,0.3928,0.7103889213,0.6200534981
gamma,1,4,conditional,-0.03919954445,-0.7423017952,0.649900738,0.441,-1.998144949,-2.196109808,5.628797808,0.2337,0.2808498229,0.3875660734
gamma,1,4,disorder,0.6044423177,-0.1514222312,1.36490327,0.9437,1.300369459,-2.185007337,7.592806065,0.4543,0.801674793,0.9707533104
uniform,1,32,marginal,0.2132126476,-0.1856075105,0.6144020846,0.851,0.2430464474,-2.194195894,6.787923484,0.3201,0.3889925461,0.398559434
uniform,1,32,conditional,0.1455241017,-0.4023228774,0.6895059938,0.6948,-1.977054471,-2.196315995,1.525631616,0.0821,0.9481707255,1.283290848
uniform,1,32,disorder,0.06580710424,-0.3225302507,0.4630137301,0.6302,-2.09787586,-2.196580553,1.521776522,0.0771,0.7022754496,0.8615599163
uniform,1,16,marginal,0.004913107589,-0.4544863323,0.4642023755,0.5088,-2.196676463,-2.196406036,1.944837954,0.0884,0.2153359669,0.2741966017
uniform,1,16,conditional,-0.1147366605,-0.7589736068,0.5457084105,0.3703,-2.094762102,-2.196546609,1.400524601,0.0764,0.9772237563,1.149532456
uniform,1,16,disorder,0.1082149123,-0.3466429333,0.5607057702,0.6811,-2.052040596,-2.196570127,0.8507170306,0.0593,0.7950211291,0.8380935632
uniform,1,8,marginal,0.1827491001,-0.3600184653,0.7220649263,0.7411,-1.493964197,-2.195881311,4.12431874,0.175,0.6425035396,0.682280068
uniform,1,8,conditional,0.2176780165,-0.5371280789,0.9516631049,0.7137,-1.363256347,-2.195888913,4.75099248,0.2065,0.9255302298,1.059275025
uniform,1,8,disorder,-0.009517829567,-0.525120837,0.5198867331,0.4862,-2.195458745,-2.196547352,2.016898941,0.1069,0.3494073425,0.5379441276
uniform,1,4,marginal,-0.2747347878,-0.8225197834,0.2912597318,0.164,-0.7876448125,-2.194898567,4.926579902,0.2547,0.2788279096,0.981300685
uniform,1,4,conditional,-0.3712644433,-1.166043357,0.4294003202,0.1814,0.321911789,-2.194516988,6.738304987,0.3214,0.3883324047,0.708796456
uniform,1,4,disorder,0.08527410841,-0.4711970678,0.6385055125,0.6226,-1.905245191,-2.19574008,4.077852569,0.1847,0.2419959996,0.2689557622
