distribution,distribution_params,L,log_L,log_log_L,pairs,observations,walks,environments,walks_per_environment_min,walks_per_environment_max,mean_winding_1,mean_winding_2,mean_winding_difference,variance_winding_1,variance_winding_2,covariance_winding_1_winding_2,correlation_winding_1_winding_2,pooled_single_winding_variance,double_dimer_variance,double_dimer_variance_se,variance_ratio_to_twice_pooled,variance_identity_rhs,variance_identity_residual,mean_winding,annealed_variance,annealed_variance_se,mean_exit_x_over_L,mean_exit_y_over_L,mean_raw_walk_length,mean_loop_erased_path_length,mean_runtime
baseline,{},16,2.772588722239781,1.0197814405382262,5000,5000,10000,5000,2,2,-0.0046,-0.0014,-0.0032,1.9341656731346266,1.9601900780156027,-0.01680980196039209,-0.008633097942516058,1.94698569856986,3.9279753550710153,0.08009440007549269,1.0087324621737779,3.9279753550710135,1.7763568394002505e-15,-0.0032,3.9279753550710153,0.08009440007549269,0.01274375,-0.00075625,297.5754,40.7234,1.2661199318245053e-5
baseline,{},32,3.4657359027997265,1.242924991852436,5000,5000,10000,5000,2,2,-0.0286,0.0104,-0.039,2.51588521704341,2.476787197439489,-0.04711198239647926,-0.01887302956900484,2.496466836683668,5.086896379275856,0.10590142764755119,1.0188191376163724,5.086896379275857,-8.881784197001252e-16,-0.039,5.086896379275856,0.10590142764755119,-0.024515625,-0.00605,1201.2849,97.4543,4.851730067748576e-5
baseline,{},64,4.1588830833596715,1.4252465486463906,5000,5000,10000,5000,2,2,0.0376,0.008,0.0296,3.022790798159631,3.068549709941988,-0.09251930386077212,-0.03037817845643611,3.045584718471847,6.276379115823165,0.12841295834052108,1.030406259552747,6.276379115823163,1.7763568394002505e-15,0.0296,6.276379115823165,0.12841295834052108,-0.015396875,-0.0043109375,4806.6741,232.4957,0.00024364950003800913
baseline,{},128,4.852030263919617,1.5793972284736488,5000,5000,10000,5000,2,2,-0.001,0.048,-0.049,3.635326065213041,3.672830566113224,-0.033558711742348396,-0.0091840269294827,3.6543131813181318,7.3752740548109585,0.15380488680187762,1.0091190449296212,7.375274054810961,-2.6645352591003757e-15,-0.049,7.3752740548109585,0.15380488680187762,0.0117375,0.0016921875,19188.515,552.6806,0.0008939336995361373
baseline,{},256,5.545177444479562,1.7129286210981716,5000,5000,10000,5000,2,2,0.0136,-0.0124,0.026,4.388692778555712,4.294305101020202,0.004769593918783765,0.0010986702544379407,4.341233763376338,8.673458691738347,0.17167070837113754,0.998962410744806,8.673458691738347,0.0,0.026,8.673458691738347,0.17167070837113754,0.007964453125,0.00077421875,78322.2581,1315.1265,0.0038776390006416478
baseline,{},512,6.238324625039508,1.830711656754555,5000,5000,10000,5000,2,2,-0.0478,-0.0004,-0.0474,4.6936538907781555,4.589317703540709,-0.017622644528905825,-0.0037970077926985273,4.641583348334833,9.318216883376678,0.185437620763566,1.0037756713686492,9.318216883376676,1.7763568394002505e-15,-0.0474,9.318216883376678,0.185437620763566,0.0250060546875,-0.002976953125,306357.9681,3126.2569,0.022273350400547495
baseline,{},1024,6.931471805599453,1.9360721724123813,5000,5000,10000,5000,2,2,-0.0132,-0.0254,0.0122,5.4177093018603735,5.447844408881776,-0.14336395279055814,-0.02638880778490043,5.432270737073707,11.152281616323265,0.22582200707068495,1.0264843337254996,11.152281616323267,-1.7763568394002505e-15,0.0122,11.152281616323265,0.22582200707068495,0.00919326171875,0.0004375,1.2384761303e6,7427.6851,0.09368906479956349
baseline,{},2048,7.6246189861593985,2.0313823522167063,500,500,1000,500,2,2,-0.062,0.016,-0.078,6.138432865731463,4.921587174348695,-0.03708216432865722,-0.006746580829158476,5.525996996996994,11.134184368737474,0.7482542025305627,1.007436700996051,11.134184368737472,1.7763568394002505e-15,-0.078,11.134184368737474,0.7482542025305627,0.02582666015625,-0.02758544921875,4.934955922e6,17787.79,0.3356148889997276
baseline,{},4096,8.317766166719343,2.118393729206336,500,500,1000,500,2,2,0.014,-0.108,0.122,6.8795631262525045,7.050436873747493,-0.3992865731462926,-0.05733189041791658,6.961752752752756,14.728573146292593,0.9750826641025796,1.0578207578880727,14.728573146292582,1.0658141036401503e-14,0.122,14.728573146292593,0.9750826641025796,0.00434716796875,-0.02554345703125,1.937874984e7,42656.238,1.1001267190022628
baseline,{},8192,9.010913347279288,2.1984364368798723,500,500,1000,500,2,2,-0.048,0.01,-0.058,7.20410420841683,6.178256513026053,0.04256513026052103,0.006380151711497391,6.685324324324324,13.297230460921842,0.8663829450756667,0.9945090032910089,13.29723046092184,1.7763568394002505e-15,-0.058,13.297230460921842,0.8663829450756667,0.016801025390625,-0.0326497802734375,7.7427331005e7,99416.597,4.617141930000391
