schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3478,48,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,4800,0,1653824189991942118,15403330306453123348,-2,44,212,"16,-2",16,-2,5.40000619366765e-5,71,ok,,,2026-07-18T22:35:28.959,2026-07-18T22:35:28.959
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3478,48,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,4800,1,1653824189991942118,3602628011924148003,1,35,173,"16,-1",16,-1,2.3999949917197227e-5,126,ok,,,2026-07-18T22:35:28.959,2026-07-18T22:35:28.959
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3478,48,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,4801,0,1815423344338392126,2161806203468341761,-1,22,60,"2,-16",2,-16,1.0999967344105244e-5,33,ok,,,2026-07-18T22:35:28.959,2026-07-18T22:35:28.959
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3478,48,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,4801,1,1815423344338392126,11602583444167726335,-1,49,239,"-3,-16",-3,-16,2.6999972760677338e-5,97,ok,,,2026-07-18T22:35:28.959,2026-07-18T22:35:28.959
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3478,48,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,4802,0,4895752813225697437,11794449318975772340,0,41,235,"-11,16",-11,16,2.8999987989664078e-5,77,ok,,,2026-07-18T22:35:28.959,2026-07-18T22:35:28.959
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3478,48,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,4802,1,4895752813225697437,15345892640674603949,-1,58,312,"6,16",6,16,3.50000336766243e-5,150,ok,,,2026-07-18T22:35:28.959,2026-07-18T22:35:28.959
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3478,48,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,4803,0,12500727258316903261,17440352367827823360,1,29,121,"-16,-3",-16,-3,1.7000013031065464e-5,49,ok,,,2026-07-18T22:35:28.959,2026-07-18T22:35:28.959
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3478,48,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,4803,1,12500727258316903261,14427232959374510461,3,53,471,"-16,5",-16,5,4.800001624971628e-5,161,ok,,,2026-07-18T22:35:28.959,2026-07-18T22:35:28.959
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3478,48,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,4804,0,313755509617084866,5530460750286371003,0,31,55,"-3,16",-3,16,1.1999974958598614e-5,38,ok,,,2026-07-18T22:35:28.959,2026-07-18T22:35:28.959
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3478,48,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,4804,1,313755509617084866,435033922398257876,2,45,609,"-16,-1",-16,-1,3.799994010478258e-5,103,ok,,,2026-07-18T22:35:28.959,2026-07-18T22:35:28.959
