schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2712,2,beta,"{""a"":0.5}",site_iid,beta,0.5,16,200,0,3450349442511128536,16805763450873642258,1,56,188,"8,16",8,16,3.39999096468091e-5,75,ok,,,2026-07-18T15:50:19.514,2026-07-18T15:50:19.514
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2712,2,beta,"{""a"":0.5}",site_iid,beta,0.5,16,200,1,3450349442511128536,8859168025092432228,1,32,1224,"-16,12",-16,12,0.00012400001287460327,269,ok,,,2026-07-18T15:50:19.514,2026-07-18T15:50:19.514
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2712,2,beta,"{""a"":0.5}",site_iid,beta,0.5,16,201,0,8739962310168302967,8071347523868793859,-1,33,217,"-11,16",-11,16,2.9000104404985905e-5,63,ok,,,2026-07-18T15:50:19.514,2026-07-18T15:50:19.514
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2712,2,beta,"{""a"":0.5}",site_iid,beta,0.5,16,201,1,8739962310168302967,1213485406209419342,-1,46,210,"16,-6",16,-6,3.800005652010441e-5,145,ok,,,2026-07-18T15:50:19.514,2026-07-18T15:50:19.514
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2712,2,beta,"{""a"":0.5}",site_iid,beta,0.5,16,202,0,2198634797252619341,3273264630316276433,0,22,110,"16,-2",16,-2,1.9000028260052204e-5,48,ok,,,2026-07-18T15:50:19.514,2026-07-18T15:50:19.514
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2712,2,beta,"{""a"":0.5}",site_iid,beta,0.5,16,202,1,2198634797252619341,10208568134581954193,0,50,170,"16,6",16,6,2.5999965146183968e-5,105,ok,,,2026-07-18T15:50:19.514,2026-07-18T15:50:19.514
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2712,2,beta,"{""a"":0.5}",site_iid,beta,0.5,16,203,0,9086435091919817567,14641116455661856306,2,42,240,"-4,-16",-4,-16,3.899994771927595e-5,92,ok,,,2026-07-18T15:50:19.514,2026-07-18T15:50:19.514
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2712,2,beta,"{""a"":0.5}",site_iid,beta,0.5,16,203,1,9086435091919817567,774563491521894153,1,35,129,"-16,-1",-16,-1,1.1999974958598614e-5,112,ok,,,2026-07-18T15:50:19.514,2026-07-18T15:50:19.514
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2712,2,beta,"{""a"":0.5}",site_iid,beta,0.5,16,204,0,13852640967190322162,8153254987534903242,-1,38,624,"10,-16",10,-16,5.9999991208314896e-5,109,ok,,,2026-07-18T15:50:19.514,2026-07-18T15:50:19.514
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2712,2,beta,"{""a"":0.5}",site_iid,beta,0.5,16,204,1,13852640967190322162,3435003114761768900,-1,29,113,"-16,3",-16,3,1.9000028260052204e-5,149,ok,,,2026-07-18T15:50:19.514,2026-07-18T15:50:19.514
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2712,2,beta,"{""a"":0.5}",site_iid,beta,0.5,16,205,0,6648255670643866718,16261513827446195744,2,46,546,"16,14",16,14,8.199992589652538e-5,178,ok,,,2026-07-18T15:50:19.514,2026-07-18T15:50:19.514
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2712,2,beta,"{""a"":0.5}",site_iid,beta,0.5,16,205,1,6648255670643866718,7607749414836756,-1,46,208,"6,-16",6,-16,2.5999965146183968e-5,216,ok,,,2026-07-18T15:50:19.514,2026-07-18T15:50:19.514
