schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1180,0,exponential,{},site_iid,exponential,,128,0,0,5086301930593400392,10620566570959324420,0,513,7953,"53,-128",53,-128,0.0012809999752789736,1523,ok,,,2026-07-18T12:50:05.307,2026-07-18T12:50:05.308
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1180,0,exponential,{},site_iid,exponential,,128,0,1,5086301930593400392,6725499710019180398,2,521,20021,"-41,128",-41,128,0.003061999916099012,3044,ok,,,2026-07-18T12:50:05.308,2026-07-18T12:50:05.312
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1180,0,exponential,{},site_iid,exponential,,128,1,0,5831586994218618437,10294532565344438182,1,704,42732,"98,128",98,128,0.008692999952472746,3416,ok,,,2026-07-18T12:50:05.312,2026-07-18T12:50:05.320
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1180,0,exponential,{},site_iid,exponential,,128,1,1,5831586994218618437,9412245664392227975,0,594,13826,"128,108",128,108,0.0017890000017359853,3616,ok,,,2026-07-18T12:50:05.320,2026-07-18T12:50:05.322
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1180,0,exponential,{},site_iid,exponential,,128,2,0,8832177324537611621,2598761238158812237,-1,412,6158,"-128,-42",-128,-42,0.0010179999517276883,1274,ok,,,2026-07-18T12:50:05.322,2026-07-18T12:50:05.323
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1180,0,exponential,{},site_iid,exponential,,128,2,1,8832177324537611621,10310463772645185145,4,542,30140,"-6,-128",-6,-128,0.008273000014014542,3027,ok,,,2026-07-18T12:50:05.323,2026-07-18T12:50:05.331
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1180,0,exponential,{},site_iid,exponential,,128,3,0,15893144806424400438,591243556595656088,1,631,21437,"-51,-128",-51,-128,0.003951999940909445,2571,ok,,,2026-07-18T12:50:05.331,2026-07-18T12:50:05.335
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1180,0,exponential,{},site_iid,exponential,,128,3,1,15893144806424400438,17957942739858234984,-1,514,20672,"-128,-82",-128,-82,0.0028199999360367656,3427,ok,,,2026-07-18T12:50:05.335,2026-07-18T12:50:05.338
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1180,0,exponential,{},site_iid,exponential,,128,4,0,10303829270666494577,13198635521378528887,0,284,18398,"-20,-128",-20,-128,0.002814000006765127,2520,ok,,,2026-07-18T12:50:05.338,2026-07-18T12:50:05.341
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1180,0,exponential,{},site_iid,exponential,,128,4,1,10303829270666494577,15246123063629758157,1,584,19066,"-128,68",-128,68,0.0028490000404417515,3482,ok,,,2026-07-18T12:50:05.341,2026-07-18T12:50:05.344
