schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4200,0,15812595145258797231,7255384440816241308,-1,456,7504,"128,36",128,36,0.0012629999546334147,1114,ok,,,2026-07-18T09:35:08.950,2026-07-18T09:35:08.951
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4200,1,15812595145258797231,1194425997014661768,1,307,13637,"-128,-19",-128,-19,0.001905999961309135,2159,ok,,,2026-07-18T09:35:08.951,2026-07-18T09:35:08.953
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4201,0,11946331286142067118,5767778406668693471,2,601,67869,"-77,128",-77,128,0.011630000080913305,3665,ok,,,2026-07-18T09:35:08.961,2026-07-18T09:35:08.973
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4201,1,11946331286142067118,9291012375008029806,-1,724,28492,"-128,-78",-128,-78,0.005467000068165362,3880,ok,,,2026-07-18T09:35:08.973,2026-07-18T09:35:08.978
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4202,0,17193521480920786592,7666291483644235100,-1,464,22106,"-28,128",-28,128,0.004607000038959086,2345,ok,,,2026-07-18T09:35:08.978,2026-07-18T09:35:08.983
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4202,1,17193521480920786592,9276416783432354292,-1,472,17912,"92,128",92,128,0.004006000002846122,3013,ok,,,2026-07-18T09:35:08.983,2026-07-18T09:35:08.987
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4203,0,9294266963909073286,11619310626018556393,-1,458,12340,"22,-128",22,-128,0.003161999979056418,1726,ok,,,2026-07-18T09:35:08.987,2026-07-18T09:35:08.990
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4203,1,9294266963909073286,9020835873069066719,-2,712,35282,"-128,-18",-128,-18,0.005869999993592501,3277,ok,,,2026-07-18T09:35:08.990,2026-07-18T09:35:08.996
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4204,0,12962438909345885422,11650953030764436387,-4,850,24122,"128,88",128,88,0.004389000008814037,2405,ok,,,2026-07-18T09:35:08.996,2026-07-18T09:35:09.001
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4204,1,12962438909345885422,5941596641786529451,-1,375,7527,"-128,-1",-128,-1,0.0014390000142157078,2854,ok,,,2026-07-18T09:35:09.001,2026-07-18T09:35:09.002
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4205,0,9918258033914024644,13803296980474838009,-1,486,79566,"-128,16",-128,16,0.011366999940946698,3396,ok,,,2026-07-18T09:35:09.002,2026-07-18T09:35:09.014
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4205,1,9918258033914024644,14547094418740772540,-1,736,185820,"-128,-32",-128,-32,0.026781999971717596,3961,ok,,,2026-07-18T09:35:09.014,2026-07-18T09:35:09.040
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4206,0,12243571063875001954,9254089650510934782,1,596,66474,"-128,60",-128,60,0.011798999970778823,3089,ok,,,2026-07-18T09:35:09.040,2026-07-18T09:35:09.052
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4206,1,12243571063875001954,5106720273766702567,-3,500,32218,"128,-14",128,-14,0.004932000068947673,3501,ok,,,2026-07-18T09:35:09.052,2026-07-18T09:35:09.057
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4207,0,12130076261654090730,18283280244483568965,2,394,11838,"16,128",16,128,0.0019210000755265355,1373,ok,,,2026-07-18T09:35:09.057,2026-07-18T09:35:09.059
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4207,1,12130076261654090730,4176567288697962374,-1,428,10534,"128,-22",128,-22,0.009172999998554587,2038,ok,,,2026-07-18T09:35:09.059,2026-07-18T09:35:09.068
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4208,0,5536988693191199015,15248675714282594413,1,504,21530,"128,-32",128,-32,0.0037170000141486526,1819,ok,,,2026-07-18T09:35:09.068,2026-07-18T09:35:09.072
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4208,1,5536988693191199015,10465985143836141429,1,616,41682,"-46,-128",-46,-128,0.006243999931029975,3447,ok,,,2026-07-18T09:35:09.072,2026-07-18T09:35:09.078
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,557,42,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,128,4209,0,13775742734916896984,2558338392091354385,4,508,37136,"128,-30",128,-30,0.0075559999095276,3066,ok,,,2026-07-18T09:35:09.078,2026-07-18T09:35:09.086
