schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,803,8,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,64,800,0,5941339221041821103,5299535909820992634,4,328,13506,"64,-36",64,-36,0.00423900003079325,964,ok,,,2026-07-18T10:29:14.184,2026-07-18T10:29:14.188
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,803,8,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,64,800,1,5941339221041821103,12834681742257013149,2,234,4662,"64,-32",64,-32,0.001057000015862286,992,ok,,,2026-07-18T10:29:14.188,2026-07-18T10:29:14.189
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,803,8,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,64,801,0,14782978356361600883,6203543296139822403,1,205,5675,"64,-23",64,-23,0.0017009999137371778,725,ok,,,2026-07-18T10:29:14.189,2026-07-18T10:29:14.191
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,803,8,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,64,801,1,14782978356361600883,6912926552464336301,3,289,10929,"41,64",41,64,0.002995000104419887,940,ok,,,2026-07-18T10:29:14.191,2026-07-18T10:29:14.194
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,803,8,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,64,802,0,8495126814557895300,11428620681071790589,1,207,20811,"-27,64",-27,64,0.010002000024542212,954,ok,,,2026-07-18T10:29:14.194,2026-07-18T10:29:14.204
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,803,8,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,64,802,1,8495126814557895300,4389167700399751926,1,201,3877,"-7,64",-7,64,0.0007999999215826392,975,ok,,,2026-07-18T10:29:14.204,2026-07-18T10:29:14.204
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,803,8,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,64,803,0,3288010173947939501,10333017132736921767,2,148,6740,"-10,-64",-10,-64,0.0012369999894872308,673,ok,,,2026-07-18T10:29:14.205,2026-07-18T10:29:14.206
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,803,8,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,64,803,1,3288010173947939501,15738217568550550057,0,263,14813,"-11,-64",-11,-64,0.0024580000899732113,940,ok,,,2026-07-18T10:29:14.206,2026-07-18T10:29:14.208
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,803,8,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,64,804,0,44571343731229837,13123088878997331953,0,256,6902,"-60,-64",-60,-64,0.001408000010997057,748,ok,,,2026-07-18T10:29:14.208,2026-07-18T10:29:14.210
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,803,8,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,64,804,1,44571343731229837,16608296664873525978,-1,312,8874,"-28,-64",-28,-64,0.0016270000487565994,896,ok,,,2026-07-18T10:29:14.210,2026-07-18T10:29:14.211
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,803,8,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,64,805,0,5820598483777946368,14893683173354763440,-3,158,2424,"64,-14",64,-14,0.0005550000350922346,438,ok,,,2026-07-18T10:29:14.211,2026-07-18T10:29:14.212
