schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3324,4,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,64,400,0,10787817248593120065,11711524769884721364,0,449,13139,"-64,-31",-64,-31,0.013143999967724085,982,ok,,,2026-07-18T16:57:46.095,2026-07-18T16:57:46.108
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3324,4,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,64,400,1,10787817248593120065,5385955741749754105,2,286,4886,"-64,0",-64,0,0.0015290000010281801,1001,ok,,,2026-07-18T16:57:46.108,2026-07-18T16:57:46.110
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3324,4,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,64,401,0,10837906901535566743,8923193402574200732,-2,135,4777,"-64,-5",-64,-5,0.005315000074915588,677,ok,,,2026-07-18T16:57:46.110,2026-07-18T16:57:46.115
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3324,4,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,64,401,1,10837906901535566743,291122010526303131,0,264,20470,"14,64",14,64,0.006149000022560358,1007,ok,,,2026-07-18T16:57:46.115,2026-07-18T16:57:46.121
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3324,4,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,64,402,0,8812558345728731880,8984616056861815820,0,313,14397,"-64,31",-64,31,0.004105999949388206,952,ok,,,2026-07-18T16:57:46.121,2026-07-18T16:57:46.126
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3324,4,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,64,402,1,8812558345728731880,12556170202052522856,-1,174,6400,"26,-64",26,-64,0.006786999991163611,1004,ok,,,2026-07-18T16:57:46.126,2026-07-18T16:57:46.132
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3324,4,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,64,403,0,6402013728701174026,10968837506806907002,1,173,7787,"64,-23",64,-23,0.003890999942086637,911,ok,,,2026-07-18T16:57:46.132,2026-07-18T16:57:46.136
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3324,4,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,64,403,1,6402013728701174026,1769840249277478091,0,270,4966,"32,64",32,64,0.0012649999698624015,975,ok,,,2026-07-18T16:57:46.136,2026-07-18T16:57:46.138
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3324,4,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,64,404,0,18287217651065833819,12406996183765665044,0,177,2485,"64,21",64,21,0.0008050000760704279,540,ok,,,2026-07-18T16:57:46.138,2026-07-18T16:57:46.138
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3324,4,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,64,404,1,18287217651065833819,16146147799005025554,-2,322,5744,"-64,-50",-64,-50,0.0022119999630376697,909,ok,,,2026-07-18T16:57:46.138,2026-07-18T16:57:46.141
