schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1329,9,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,32,900,0,5433562676172338315,9273543295963759757,-1,119,923,"32,-3",32,-3,0.00021700002253055573,267,ok,,,2026-07-18T13:18:58.936,2026-07-18T13:18:58.936
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1329,9,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,32,900,1,5433562676172338315,7284011182370128090,-3,124,1132,"2,-32",2,-32,0.00022899999748915434,472,ok,,,2026-07-18T13:18:58.936,2026-07-18T13:18:58.936
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1329,9,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,32,901,0,2848544095853656023,3860680703200609645,5,226,1856,"-32,-2",-32,-2,0.0004069999558851123,475,ok,,,2026-07-18T13:18:58.936,2026-07-18T13:18:58.937
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1329,9,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,32,901,1,2848544095853656023,13872179238898113446,1,97,731,"-25,-32",-25,-32,0.00015599990729242563,580,ok,,,2026-07-18T13:18:58.937,2026-07-18T13:18:58.937
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1329,9,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,32,902,0,15727566105241744498,12747251674556509232,0,127,719,"19,32",19,32,0.00021299999207258224,289,ok,,,2026-07-18T13:18:58.937,2026-07-18T13:18:58.937
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1329,9,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,32,902,1,15727566105241744498,14326928641151336239,-1,146,2380,"6,-32",6,-32,0.0004480000352486968,595,ok,,,2026-07-18T13:18:58.937,2026-07-18T13:18:58.938
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1329,9,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,32,903,0,6528883817644357248,15350378884191330196,3,101,3231,"32,-27",32,-27,0.0005439999513328075,483,ok,,,2026-07-18T13:18:58.938,2026-07-18T13:18:58.938
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1329,9,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,32,903,1,6528883817644357248,11671143533480135035,1,111,599,"19,-32",19,-32,0.00012700003571808338,562,ok,,,2026-07-18T13:18:58.938,2026-07-18T13:18:58.938
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1329,9,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,32,904,0,11483059446398734474,12197150308487699277,-3,87,1205,"32,1",32,1,0.00027100008446723223,344,ok,,,2026-07-18T13:18:58.938,2026-07-18T13:18:58.939
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1329,9,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,32,904,1,11483059446398734474,10903203897286827910,3,152,1186,"12,-32",12,-32,0.0002370000584051013,540,ok,,,2026-07-18T13:18:58.939,2026-07-18T13:18:58.939
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1329,9,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,32,905,0,8109969852981571981,4272996985323784056,-1,101,803,"-5,32",-5,32,0.00016499997582286596,229,ok,,,2026-07-18T13:18:58.939,2026-07-18T13:18:58.939
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,1329,9,lognormal,"{""sigma"":0.5}",site_iid,lognormal,0.5,32,905,1,8109969852981571981,11887288602778970779,0,126,1972,"18,32",18,32,0.00041500001680105925,582,ok,,,2026-07-18T13:18:58.939,2026-07-18T13:18:58.940
