schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2049,39,pareto,"{""alpha"":2.0}",site_iid,pareto,2.0,256,3900,0,14909696267177699339,15208706553165293645,-1,1020,15514,"186,-256",186,-256,0.0036949999630451202,3937,ok,,,2026-07-18T14:21:45.686,2026-07-18T14:21:45.690
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2049,39,pareto,"{""alpha"":2.0}",site_iid,pareto,2.0,256,3900,1,14909696267177699339,14431042672182472783,1,931,62019,"-256,3",-256,3,0.009513000026345253,11382,ok,,,2026-07-18T14:21:45.690,2026-07-18T14:21:45.699
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2049,39,pareto,"{""alpha"":2.0}",site_iid,pareto,2.0,256,3901,0,17076594590015435219,15134906085203508954,-1,2574,94200,"256,-62",256,-62,0.016423999913968146,11669,ok,,,2026-07-18T14:21:45.703,2026-07-18T14:21:45.719
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2049,39,pareto,"{""alpha"":2.0}",site_iid,pareto,2.0,256,3901,1,17076594590015435219,9009457104779523675,1,986,172492,"-62,-256",-62,-256,0.026110000093467534,15079,ok,,,2026-07-18T14:21:45.719,2026-07-18T14:21:45.745
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2049,39,pareto,"{""alpha"":2.0}",site_iid,pareto,2.0,256,3902,0,3330710949451508404,12744167665453252184,1,1486,85788,"256,18",256,18,0.01774199993815273,11371,ok,,,2026-07-18T14:21:45.745,2026-07-18T14:21:45.763
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2049,39,pareto,"{""alpha"":2.0}",site_iid,pareto,2.0,256,3902,1,3330710949451508404,16696324690322564439,-1,1743,58189,"256,61",256,61,0.009664000011980534,13654,ok,,,2026-07-18T14:21:45.763,2026-07-18T14:21:45.773
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2049,39,pareto,"{""alpha"":2.0}",site_iid,pareto,2.0,256,3903,0,10148210041499866766,85406745273773267,-2,1149,103465,"-55,256",-55,256,0.01565600000321865,11665,ok,,,2026-07-18T14:21:45.776,2026-07-18T14:21:45.791
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2049,39,pareto,"{""alpha"":2.0}",site_iid,pareto,2.0,256,3903,1,10148210041499866766,16798046880704820602,3,1959,45829,"-256,67",-256,67,0.011071000015363097,13749,ok,,,2026-07-18T14:21:45.791,2026-07-18T14:21:45.802
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2049,39,pareto,"{""alpha"":2.0}",site_iid,pareto,2.0,256,3904,0,14961100424007785892,10488290551607558315,-1,1006,182134,"-256,182",-256,182,0.04176900000311434,13482,ok,,,2026-07-18T14:21:45.803,2026-07-18T14:21:45.844
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,2049,39,pareto,"{""alpha"":2.0}",site_iid,pareto,2.0,256,3904,1,14961100424007785892,4089107150857118403,0,1498,38310,"-98,256",-98,256,0.007521999999880791,14392,ok,,,2026-07-18T14:21:45.844,2026-07-18T14:21:45.852
