schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1700,0,6935627394481367889,9094976086658795768,2,5911,1117067,"227,1024",227,1024,0.23182300000917166,150355,ok,,,2026-07-18T23:02:41.104,2026-07-18T23:02:41.336
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1700,1,6935627394481367889,7074340310514064531,1,9265,576745,"-523,-1024",-523,-1024,0.12206299998797476,194043,ok,,,2026-07-18T23:02:41.336,2026-07-18T23:02:41.458
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1701,0,18161763122613516326,13287670085912807053,-2,7473,1785373,"-1024,-683",-1024,-683,0.3580250000813976,191369,ok,,,2026-07-18T23:02:41.458,2026-07-18T23:02:41.816
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1701,1,18161763122613516326,16933494713442842809,-1,4405,716407,"-1024,-71",-1024,-71,0.13078000000678003,214982,ok,,,2026-07-18T23:02:41.816,2026-07-18T23:02:41.947
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1702,0,554272383408374115,11857380312624902733,0,5154,1192908,"-1024,-286",-1024,-286,0.20711499999742955,145626,ok,,,2026-07-18T23:02:41.947,2026-07-18T23:02:42.154
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1702,1,554272383408374115,16519529616634350608,0,7314,605850,"-1024,662",-1024,662,0.1315019999165088,187407,ok,,,2026-07-18T23:02:42.155,2026-07-18T23:02:42.286
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1703,0,16867009690135954621,10056970922385194175,2,6344,1263628,"1024,-2",1024,-2,0.19573499995749444,157974,ok,,,2026-07-18T23:02:42.286,2026-07-18T23:02:42.482
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1703,1,16867009690135954621,3344219096923816292,-3,12204,741126,"-928,1024",-928,1024,0.14340099995024502,204662,ok,,,2026-07-18T23:02:42.482,2026-07-18T23:02:42.626
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1704,0,6163428347658077001,4587572853001544014,2,7442,1394332,"-1024,-26",-1024,-26,0.22178699995856732,161969,ok,,,2026-07-18T23:02:42.662,2026-07-18T23:02:42.883
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1704,1,6163428347658077001,10265011858287950273,-1,8863,830285,"1024,-665",1024,-665,0.14324399991892278,199803,ok,,,2026-07-18T23:02:42.883,2026-07-18T23:02:43.027
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1705,0,4711222425143622989,10309503210102001803,3,14266,1967188,"1024,-522",1024,-522,0.3756070000817999,195090,ok,,,2026-07-18T23:02:43.027,2026-07-18T23:02:43.402
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1705,1,4711222425143622989,7467217862067236332,-3,9122,1395274,"-1024,-914",-1024,-914,0.27746000001206994,232151,ok,,,2026-07-18T23:02:43.403,2026-07-18T23:02:43.680
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1706,0,529975420493646071,15647643776693548704,-2,5906,2065646,"314,-1024",314,-1024,0.3839219999499619,205098,ok,,,2026-07-18T23:02:43.680,2026-07-18T23:02:44.064
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1706,1,529975420493646071,8280316329697489975,2,8217,3014823,"-789,-1024",-789,-1024,0.5404499999713153,250604,ok,,,2026-07-18T23:02:44.064,2026-07-18T23:02:44.605
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1707,0,11434406728599494038,10434652270447754250,-2,11304,1566126,"-1024,526",-1024,526,0.25212600000668317,175001,ok,,,2026-07-18T23:02:44.605,2026-07-18T23:02:44.857
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1707,1,11434406728599494038,12110016228551386843,-6,10876,1382356,"1024,8",1024,8,0.2838459999766201,224631,ok,,,2026-07-18T23:02:44.857,2026-07-18T23:02:45.141
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1708,0,14178394245779593606,4739904776693218114,1,5611,1232163,"39,-1024",39,-1024,0.2007789999479428,143693,ok,,,2026-07-18T23:02:45.141,2026-07-18T23:02:45.342
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1708,1,14178394245779593606,6726437748010050354,1,8080,1141822,"-1024,392",-1024,392,0.26317299995571375,212319,ok,,,2026-07-18T23:02:45.342,2026-07-18T23:02:45.605
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1709,0,10691942064974562541,1925205194804353644,0,4464,181524,"238,1024",238,1024,0.031279000104404986,40813,ok,,,2026-07-18T23:02:45.605,2026-07-18T23:02:45.637
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1709,1,10691942064974562541,4734410743980143629,-3,8204,1235914,"1024,904",1024,904,0.21506399998907,169929,ok,,,2026-07-18T23:02:45.637,2026-07-18T23:02:45.852
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1710,0,6578170212838442395,7697548802996176785,1,6678,665478,"1024,-922",1024,-922,0.16055299993604422,114301,ok,,,2026-07-18T23:02:45.852,2026-07-18T23:02:46.012
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1710,1,6578170212838442395,8843828355177946633,3,13939,1186001,"-247,1024",-247,1024,0.21548300003632903,202929,ok,,,2026-07-18T23:02:46.013,2026-07-18T23:02:46.228
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1711,0,10150311846142846353,12107333304770224465,-1,5929,725939,"437,1024",437,1024,0.1324079999467358,114372,ok,,,2026-07-18T23:02:46.228,2026-07-18T23:02:46.361
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1711,1,10150311846142846353,9926657137030701733,-2,6337,721889,"-1024,-247",-1024,-247,0.12644699995871633,170962,ok,,,2026-07-18T23:02:46.361,2026-07-18T23:02:46.487
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1712,0,7854985373061215917,6257206644030249231,-3,6473,563933,"-1024,-921",-1024,-921,0.1336010000668466,101061,ok,,,2026-07-18T23:02:46.487,2026-07-18T23:02:46.621
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1712,1,7854985373061215917,16602700955940412751,2,5174,2066546,"1024,-354",1024,-354,0.34800300002098083,214815,ok,,,2026-07-18T23:02:46.621,2026-07-18T23:02:46.969
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1713,0,15646753984061660969,3191873226716394194,4,4982,1211064,"-1024,626",-1024,626,0.2535389999393374,153731,ok,,,2026-07-18T23:02:46.969,2026-07-18T23:02:47.223
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1713,1,15646753984061660969,6979910558181509701,0,5342,1047688,"-72,1024",-72,1024,0.19094600004609674,208011,ok,,,2026-07-18T23:02:47.223,2026-07-18T23:02:47.414
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1714,0,12086382917209281539,6154819006674693003,-1,4240,1185110,"-1024,-38",-1024,-38,0.2353299999376759,144474,ok,,,2026-07-18T23:02:47.414,2026-07-18T23:02:47.649
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1714,1,12086382917209281539,13066580558596280157,1,8861,2181493,"175,1024",175,1024,0.4030880000209436,234787,ok,,,2026-07-18T23:02:47.649,2026-07-18T23:02:48.052
batch_v6_julia,2f619b8+source.e0a560f34bd4,1.12.6,3777,17,triangular,"{""a"":0.8}",site_iid,triangular,0.8,1024,1715,0,4984160002325271753,1920331472675460901,4,6896,1171678,"86,1024",86,1024,0.21551500004716218,149098,ok,,,2026-07-18T23:02:48.053,2026-07-18T23:02:48.268
