distribution,distribution_params,variance_kind,L_left,L_right,L_mid_geometric,p_local
baseline,{},annealed,16,32,22.627416997969522,1.3946235636312225
baseline,{},annealed,32,64,45.254833995939045,0.7828949929774538
baseline,{},annealed,64,128,90.50966799187809,1.2803014233569767
baseline,{},annealed,128,256,181.01933598375618,1.0715787439353335
baseline,{},annealed,256,512,362.03867196751236,1.0739780498079332
baseline,{},annealed,512,1024,724.0773439350247,0.9213940178111751
baseline,{},annealed,1024,2048,1448.1546878700494,1.0207412904616289
baseline,{},annealed,2048,4096,2896.309375740099,3.133396315417127
baseline,{},annealed,4096,8192,5792.618751480198,-0.6824757589351421
bernoulli,"{""a"":0.8}",annealed,16,32,22.627416997969522,0.585712261905853
bernoulli,"{""a"":0.8}",annealed,32,64,45.254833995939045,1.6257557420059778
bernoulli,"{""a"":0.8}",annealed,64,128,90.50966799187809,0.9805617341547801
bernoulli,"{""a"":0.8}",annealed,128,256,181.01933598375618,1.1517364994004653
bernoulli,"{""a"":0.8}",annealed,256,512,362.03867196751236,1.0222649163569975
bernoulli,"{""a"":0.8}",annealed,512,1024,724.0773439350247,0.8532369801585143
bernoulli,"{""a"":0.8}",annealed,1024,2048,1448.1546878700494,1.436196431485048
bernoulli,"{""a"":0.8}",annealed,2048,4096,2896.309375740099,0.07654672409615668
beta,"{""a"":0.5}",annealed,16,32,22.627416997969522,1.2991022450799112
beta,"{""a"":0.5}",annealed,32,64,45.254833995939045,0.7008092219226386
beta,"{""a"":0.5}",annealed,64,128,90.50966799187809,0.9440643901835252
beta,"{""a"":0.5}",annealed,128,256,181.01933598375618,1.535799472845244
beta,"{""a"":0.5}",annealed,256,512,362.03867196751236,1.639851556348318
beta,"{""a"":0.5}",annealed,512,1024,724.0773439350247,0.20759602710417638
beta,"{""a"":0.5}",annealed,1024,2048,1448.1546878700494,0.919819929647675
beta,"{""a"":0.5}",annealed,2048,4096,2896.309375740099,0.7154400365364422
exponential,{},annealed,16,32,22.627416997969522,1.4108713350852073
exponential,{},annealed,32,64,45.254833995939045,0.9886123089538565
exponential,{},annealed,64,128,90.50966799187809,1.062432567496411
exponential,{},annealed,128,256,181.01933598375618,1.650341863889987
exponential,{},annealed,256,512,362.03867196751236,0.528043600876626
exponential,{},annealed,512,1024,724.0773439350247,1.0360994482841248
exponential,{},annealed,1024,2048,1448.1546878700494,1.2870655387107364
exponential,{},annealed,2048,4096,2896.309375740099,1.555246169773208
gamma,"{""shape"":0.5}",annealed,16,32,22.627416997969522,1.1752129138369078
gamma,"{""shape"":0.5}",annealed,32,64,45.254833995939045,1.0690815513836849
gamma,"{""shape"":0.5}",annealed,64,128,90.50966799187809,1.5863351796797807
gamma,"{""shape"":0.5}",annealed,128,256,181.01933598375618,0.8653600085994001
gamma,"{""shape"":0.5}",annealed,256,512,362.03867196751236,0.9319452003314455
gamma,"{""shape"":0.5}",annealed,512,1024,724.0773439350247,1.02152770204715
gamma,"{""shape"":0.5}",annealed,1024,2048,1448.1546878700494,0.39381635966880635
gamma,"{""shape"":0.5}",annealed,2048,4096,2896.309375740099,1.8835156826527655
gamma,"{""shape"":1.0}",annealed,16,32,22.627416997969522,0.9181012762589279
gamma,"{""shape"":1.0}",annealed,32,64,45.254833995939045,1.375468184346741
gamma,"{""shape"":1.0}",annealed,64,128,90.50966799187809,1.216268883313811
gamma,"{""shape"":1.0}",annealed,128,256,181.01933598375618,0.7201005882320068
gamma,"{""shape"":1.0}",annealed,256,512,362.03867196751236,1.020263999385315
gamma,"{""shape"":1.0}",annealed,512,1024,724.0773439350247,1.1145815569280186
gamma,"{""shape"":1.0}",annealed,1024,2048,1448.1546878700494,1.5996332582418065
gamma,"{""shape"":1.0}",annealed,2048,4096,2896.309375740099,2.0627644810374655
