distribution,distribution_params,variance_kind,fit_min_L,n_sizes,L_values,intercept_log_C,p,p_se,p_ci_low,p_ci_high,p_bootstrap_ci_low,p_bootstrap_ci_high,r2,sse,aic,bic
baseline,{},annealed,,10,16 32 64 128 256 512 1024 2048 4096 8192,-0.5111751138305956,1.1442030954381404,0.04543901817232986,1.0551426198203737,1.233263571055907,1.0701231651492946,1.2125305489911602,0.9875406153405833,0.02258011605669841,-56.93270673467237,-56.32753654868428
bernoulli,"{""a"":0.8}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,-0.3656385048449933,1.0618625191097695,0.040224939346040274,0.9830216379915305,1.1407034002280083,0.98147311327099,1.1432875357798633,0.9900548461391364,0.012475259686528265,-55.23109158507857,-54.83664243040614
beta,"{""a"":0.5}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,-0.3919775378151189,1.052041005307235,0.04363921190042806,0.9665081499823961,1.1375738606320742,0.9686521186599067,1.1244024783660735,0.9880989050373192,0.014682925547958558,-53.76465108481215,-53.370201930139714
exponential,{},annealed,,9,16 32 64 128 256 512 1024 2048 4096,-0.5090673394767167,1.148433736335659,0.02956132034722753,1.090493548455093,1.2063739242162248,1.065290165521766,1.229985614040399,0.9953833792776302,0.006737619088098286,-60.77545920343377,-60.38101004876133
gamma,"{""shape"":0.5}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,-0.43747064159829097,1.0984653887807243,0.035849024785554566,1.0282013002010373,1.1687294773604113,1.0244050884877427,1.1637741894809956,0.9925996189717752,0.009908627239961262,-57.30416636251878,-56.90971720784634
gamma,"{""shape"":1.0}",annealed,,10,16 32 64 128 256 512 1024 2048 4096 8192,-0.5201576931688772,1.1462228673563675,0.034641828785239796,1.0783248829372976,1.2141208517754374,1.0673575234834334,1.216094631410457,0.9927457667488221,0.01312411158020942,-62.358892549164096,-61.753722363176
gamma,"{""shape"":2.0}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,-0.5383339103644589,1.159867109201509,0.03140680487827485,1.0983097716400902,1.2214244467629276,1.0784156989575087,1.235954551313753,0.9948937065411246,0.0076051242123506375,-59.68541837979968,-59.29096922512724
inverse_gamma,"{""alpha"":2.2}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,-0.340133622878128,1.0303400651923886,0.034173408245135754,0.9633601850319226,1.0973199453528548,0.9488640426482707,1.1086278360302664,0.9923584401019658,0.009003997972191754,-58.165800426372456,-57.77135127170002
lognormal,"{""sigma"":0.5}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,-0.4142710109005656,1.0786922961329135,0.04296505354972111,0.9944807911754602,1.162903801090367,0.997514941958376,1.1511985723411777,0.9890165904597957,0.014232772702372581,-54.044893527077555,-53.65044437240512
lognormal,"{""sigma"":1.0}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,-0.4503268507294742,1.1000415758577975,0.028960692727488437,1.0432786181119202,1.1568045336036747,1.0237913102480265,1.175883458253193,0.995171683367744,0.006466610311942818,-61.14495014242857,-60.75050098775613
pareto,"{""alpha"":2.0}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,-0.427000492252811,1.0951347928432644,0.02451002528607759,1.0470951432825524,1.1431744424039765,1.0198519775984343,1.1639097624659802,0.9965059404951999,0.004631762875887209,-64.14838078960221,-63.75393163492978
pareto,"{""alpha"":3.0}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,-0.3395987170977326,1.0110397893950833,0.026500585925460136,0.9590986409811815,1.0629809378089852,0.9271386434128229,1.0930623680748541,0.9952138214481727,0.005414642046694343,-62.74285773869542,-62.348408584022984
triangular,"{""a"":0.8}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,-0.3968577097511441,1.0595153691979466,0.03686063970106189,0.9872685153838654,1.131762223012028,0.9751277442425189,1.1393820930580627,0.9915987247505476,0.010475735748986944,-56.80326338968996,-56.40881423501752
uniform,"{""a"":0.7}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,-0.46007294774708596,1.1097766958123945,0.023313675675093855,1.0640818914892105,1.1554715001355784,1.0296684377906256,1.1841261403800487,0.9969202974130934,0.004190639478381053,-65.04913862501813,-64.65468947034569
weibull,"{""shape"":0.7}",annealed,,9,16 32 64 128 256 512 1024 2048 4096,-0.3530700494313954,1.0402061476272875,0.016387809930887842,1.0080860401627474,1.0723262550918276,0.9581948189585445,1.1129589050699298,0.9982656084312812,0.002070621100987938,-71.39418120734243,-70.99973205266998
