distribution,distribution_params,variance_kind,L,variance,log_variance,log_log_L,log_variance_over_log_log_L
baseline,{},annealed,16,1.9083960392078412,0.6462631192058906,1.0197814405382262,0.6337270845651026
baseline,{},annealed,32,2.6050825765153043,0.9574643739410407,1.242924991852436,0.7703315809219112
baseline,{},annealed,64,3.0047759551910396,1.100203007866882,1.4252465486463906,0.7719387280129081
baseline,{},annealed,128,3.660363072614524,1.2975623426611664,1.5793972284736488,0.8215554132098538
baseline,{},annealed,256,4.223447529505902,1.4406517446456883,1.7129286210981716,0.8410459880821395
baseline,{},annealed,512,4.7929598319663915,1.5671481395803892,1.830711656754555,0.8560322068187378
baseline,{},annealed,1024,5.281587357471497,1.664226688421011,1.9360721724123813,0.8595891786138087
baseline,{},annealed,2048,5.821242484969941,1.7615137243486076,2.0313823522167063,0.8671502548136201
baseline,{},annealed,4096,7.645787575150299,2.034154852407284,2.118393729206336,0.9602345514728216
baseline,{},annealed,8192,7.239322645290582,1.9795276447405634,2.1984364368798723,0.9004252347409257
bernoulli,"{""a"":0.8}",annealed,16,2.1051683936787366,0.7443954609317801,1.0197814405382262,0.7299558820553733
bernoulli,"{""a"":0.8}",annealed,32,2.3990992996498255,0.8750933751017308,1.242924991852436,0.7040596824732804
bernoulli,"{""a"":0.8}",annealed,64,3.2268411705852933,1.1715036929509712,1.4252465486463906,0.8219656410068782
bernoulli,"{""a"":0.8}",annealed,128,3.7533844422211122,1.322657950883526,1.5793972284736488,0.8374447713586028
bernoulli,"{""a"":0.8}",annealed,256,4.377382441220612,1.4764509295849628,1.7129286210981716,0.8619453907182653
bernoulli,"{""a"":0.8}",annealed,512,4.937486493246613,1.5968563946785088,1.830711656754555,0.8722599153104101
bernoulli,"{""a"":0.8}",annealed,1024,5.401916958479238,1.6867538828863364,1.9360721724123813,0.8712246924062806
bernoulli,"{""a"":0.8}",annealed,2048,6.194352705410828,1.8236380230055063,2.0313823522167063,0.8977325322411593
bernoulli,"{""a"":0.8}",annealed,4096,6.2357474949899805,1.8302984588731581,2.118393729206336,0.8640029630180629
beta,"{""a"":0.5}",annealed,16,1.9383299059811958,0.661826729105527,1.0197814405382262,0.6489887958308245
beta,"{""a"":0.5}",annealed,32,2.590142821410705,0.9517130175929215,1.242924991852436,0.7657043054339934
beta,"{""a"":0.5}",annealed,64,2.943165332666331,1.0794856459494169,1.4252465486463906,0.7574027433882541
beta,"{""a"":0.5}",annealed,128,3.4042131065532764,1.2250138134969133,1.5793972284736488,0.7756210986141742
beta,"{""a"":0.5}",annealed,256,4.1790805402701325,1.4300912558979466,1.7129286210981716,0.8348808224017555
beta,"{""a"":0.5}",annealed,512,5.069478489244621,1.6232379502304963,1.830711656754555,0.8866704618618841
beta,"{""a"":0.5}",annealed,1024,5.181581790895444,1.6451103746947084,1.9360721724123813,0.8497154177082514
beta,"{""a"":0.5}",annealed,2048,5.65634869739479,1.73277857757703,2.0313823522167063,0.8530046427183781
beta,"{""a"":0.5}",annealed,4096,6.01965531062124,1.7950300003095767,2.118393729206336,0.8473542833711518
exponential,{},annealed,16,1.8848529705941202,0.6338498181730235,1.0197814405382262,0.6215545733392506
exponential,{},annealed,32,2.582290145072535,0.9486766583313574,1.242924991852436,0.7632613911137666
exponential,{},annealed,64,3.09232116058029,1.1289219935654904,1.4252465486463906,0.7920889158704993
exponential,{},annealed,128,3.642596298149074,1.2926966961156816,1.5793972284736488,0.818474714790377
exponential,{},annealed,256,4.540645322661331,1.5130691435074621,1.7129286210981716,0.8833229387792131
exponential,{},annealed,512,4.8320157578789384,1.5752637217776388,1.830711656754555,0.8604652272604367
exponential,{},annealed,1024,5.38936568284142,1.6844276939216436,1.9360721724123813,0.8700231933104104
exponential,{},annealed,2048,6.092741482965933,1.8070981418361143,2.0313823522167063,0.8895903520399071
exponential,{},annealed,4096,6.975627254509015,1.9424222526259285,2.118393729206336,0.9169316477129416
gamma,"{""shape"":0.5}",annealed,16,1.9301107821564307,0.6575774013505248,1.0197814405382262,0.6448218953695262
gamma,"{""shape"":0.5}",annealed,32,2.508835207041409,0.919818584494413,1.242924991852436,0.7400435187352132
gamma,"{""shape"":0.5}",annealed,64,3.0487607521504296,1.1147351972823825,1.4252465486463906,0.7821349915501201
gamma,"{""shape"":0.5}",annealed,128,3.8933495099019795,1.3592698436639166,1.5793972284736488,0.8606256989430922
gamma,"{""shape"":0.5}",annealed,256,4.370260292058409,1.4748225707337634,1.7129286210981716,0.8609947621683404
gamma,"{""shape"":0.5}",annealed,512,4.877290818163635,1.5845899054941974,1.830711656754555,0.8655595214285811
gamma,"{""shape"":0.5}",annealed,1024,5.431517663532707,1.6922185909406395,1.9360721724123813,0.8740472669632477
gamma,"{""shape"":0.5}",annealed,2048,5.639262525050099,1.7297532989905582,2.0313823522167063,0.8515153718368178
gamma,"{""shape"":0.5}",annealed,4096,6.64351102204409,1.8936405921197377,2.118393729206336,0.8939039830094272
gamma,"{""shape"":1.0}",annealed,16,1.9636829765953168,0.6748217796909534,1.0197814405382262,0.6617317719910573
gamma,"{""shape"":1.0}",annealed,32,2.4101528264132064,0.8796901589414791,1.242924991852436,0.7077580422857236
gamma,"{""shape"":1.0}",annealed,64,3.09710455227614,1.1304676596321308,1.4252465486463906,0.7931734061771823
gamma,"{""shape"":1.0}",annealed,128,3.7357788894447217,1.317956334847695,1.5793972284736488,0.8344679293387048
gamma,"{""shape"":1.0}",annealed,256,4.112834167083541,1.414112369224053,1.7129286210981716,0.8255524204607281
gamma,"{""shape"":1.0}",annealed,512,4.637994997498743,1.5342821602425778,1.830711656754555,0.838079636725818
gamma,"{""shape"":1.0}",annealed,1024,5.215917708854427,1.6517150478232168,1.9360721724123813,0.8531267952501738
gamma,"{""shape"":1.0}",annealed,2048,6.074965931863728,1.8041763812872216,2.0313823522167063,0.8881520405641259
gamma,"{""shape"":1.0}",annealed,4096,7.269302605210418,1.9836603591875903,2.118393729206336,0.9363983341901111
gamma,"{""shape"":1.0}",annealed,8192,7.407819639278558,2.0025361502978365,2.1984364368798723,0.9108910845473126
gamma,"{""shape"":2.0}",annealed,16,1.9483794358871755,0.6669979685356818,1.0197814405382262,0.6540597249775891
gamma,"{""shape"":2.0}",annealed,32,2.373561780890447,0.8643916881166297,1.242924991852436,0.6954495997609267
gamma,"{""shape"":2.0}",annealed,64,3.044897448724365,1.113467222014877,1.4252465486463906,0.7812453382696334
gamma,"{""shape"":2.0}",annealed,128,3.8406380690345148,1.3456385166070302,1.5793972284736488,0.8519949841291501
gamma,"{""shape"":2.0}",annealed,256,4.207491495747878,1.436866625868156,1.7129286210981716,0.8388362528188535
gamma,"{""shape"":2.0}",annealed,512,4.699725862931467,1.547504179979067,1.830711656754555,0.8453019754746349
gamma,"{""shape"":2.0}",annealed,1024,5.384328164082041,1.6834925422089506,1.9360721724123813,0.8695401784073412
gamma,"{""shape"":2.0}",annealed,2048,6.298997995991984,1.8403905724927314,2.0313823522167063,0.9059794038697053
gamma,"{""shape"":2.0}",annealed,4096,6.921266533066138,1.934598777892102,2.118393729206336,0.9132385312606202
inverse_gamma,"{""alpha"":2.2}",annealed,16,2.005708301660333,0.6959972660352182,1.0197814405382262,0.6824965020621289
inverse_gamma,"{""alpha"":2.2}",annealed,32,2.495158579289647,0.9143522860172307,1.242924991852436,0.735645587634773
inverse_gamma,"{""alpha"":2.2}",annealed,64,3.2611103051525756,1.1820677217955449,1.4252465486463906,0.8293777121707107
inverse_gamma,"{""alpha"":2.2}",annealed,128,3.55834892446223,1.2692966520188709,1.5793972284736488,0.803658908054142
inverse_gamma,"{""alpha"":2.2}",annealed,256,4.153576538269136,1.4239697795424313,1.7129286210981716,0.8313071321264476
inverse_gamma,"{""alpha"":2.2}",annealed,512,4.903255627813906,1.5898993983309975,1.830711656754555,0.8684597557812769
inverse_gamma,"{""alpha"":2.2}",annealed,1024,5.332235867933967,1.6737706376347592,1.9360721724123813,0.8645187206782743
inverse_gamma,"{""alpha"":2.2}",annealed,2048,5.485370741482967,1.7020846833268242,2.0313823522167063,0.837894787000319
inverse_gamma,"{""alpha"":2.2}",annealed,4096,6.2724609218436855,1.8361687691622992,2.118393729206336,0.866774076908841
lognormal,"{""sigma"":0.5}",annealed,16,1.9309314262852577,0.6580024907936758,1.0197814405382262,0.6452387390443107
lognormal,"{""sigma"":0.5}",annealed,32,2.4778389194597303,0.9073867768405437,1.242924991852436,0.7300414608995741
lognormal,"{""sigma"":0.5}",annealed,64,3.1609702351175586,1.1508790169023895,1.4252465486463906,0.8074946878457078
lognormal,"{""sigma"":0.5}",annealed,128,3.837662581290643,1.3448634784759848,1.5793972284736488,0.8515042664571972
lognormal,"{""sigma"":0.5}",annealed,256,4.128113806903452,1.4178205973010352,1.7129286210981716,0.8277172672799755
lognormal,"{""sigma"":0.5}",annealed,512,4.75767483741871,1.55975906936445,1.830711656754555,0.8519960331325778
lognormal,"{""sigma"":0.5}",annealed,1024,5.665362431215609,1.734370869700168,1.9360721724123813,0.8958193265797061
lognormal,"{""sigma"":0.5}",annealed,2048,5.495615230460922,1.7039505434556423,2.0313823522167063,0.8388133044457335
