distribution,distribution_params,L,log_L,log_log_L,observations,environments,walks_per_environment_min,walks_per_environment_max,mean_winding,annealed_variance,annealed_variance_se,quenched_variance,quenched_variance_se,environment_mean_variance,mean_exit_x_over_L,mean_exit_y_over_L,mean_raw_walk_length,mean_loop_erased_path_length,mean_runtime
baseline,{},16,2.772588722239781,1.0197814405382262,5000,5000,1,1,0.0242,1.9083960392078412,0.04239989039030071,NaN,NaN,1.9083960392078412,0.0132875,0.0203125,305.6164,40.546,1.079119985224679e-5
baseline,{},32,3.4657359027997265,1.242924991852436,5000,5000,1,1,0.0062,2.6050825765153043,0.05520834634720535,NaN,NaN,2.6050825765153043,-0.00950625,6.25e-6,1225.1104,97.7028,5.316379986470565e-5
baseline,{},64,4.1588830833596715,1.4252465486463906,5000,5000,1,1,0.035,3.0047759551910396,0.06405824300604446,NaN,NaN,3.004775955191039,0.0122125,0.002140625,4809.7802,232.8206,0.00015971239981008692
baseline,{},128,4.852030263919617,1.5793972284736488,5000,5000,1,1,-0.013,3.660363072614524,0.07435122860753438,NaN,NaN,3.660363072614524,0.0100921875,-0.0027203125,19821.6248,556.6916,0.0007219614002853631
baseline,{},256,5.545177444479562,1.7129286210981716,5000,5000,1,1,0.0346,4.223447529505902,0.08825895128849513,NaN,NaN,4.223447529505902,0.01933984375,0.01284140625,76364.7472,1321.5696,0.0030763100001728163
baseline,{},512,6.238324625039508,1.830711656754555,5000,5000,1,1,0.0374,4.7929598319663915,0.09723895512414238,NaN,NaN,4.792959831966392,0.02325546875,-0.0030625,309607.028,3128.7428,0.014345102000003681
baseline,{},1024,6.931471805599453,1.9360721724123813,5000,5000,1,1,0.0164,5.281587357471497,0.10853143686664486,NaN,NaN,5.281587357471496,0.013218359375,-0.0102056640625,1.2189213666e6,7399.1878,0.053173235399578696
baseline,{},2048,7.6246189861593985,2.0313823522167063,500,500,1,1,0.12,5.821242484969941,0.41140963376103784,NaN,NaN,5.8212424849699405,0.0009189453125,-0.0297509765625,5.048563244e6,17786.04,0.2945591079982696
baseline,{},4096,8.317766166719343,2.118393729206336,500,500,1,1,-0.248,7.645787575150299,0.47429454150503797,NaN,NaN,7.645787575150299,0.05248046875,0.05668701171875,2.0619354514e7,42985.87,1.1254361520003295
baseline,{},8192,9.010913347279288,2.1984364368798723,500,500,1,1,-0.034,7.239322645290582,0.44488630504961235,NaN,NaN,7.239322645290582,0.009995849609375,0.040685546875,7.954081787e7,100860.078,4.281807647999958
bernoulli,"{""a"":0.8}",16,2.772588722239781,1.0197814405382262,5000,5000,1,1,0.0292,2.1051683936787366,0.04503523949424996,NaN,NaN,2.105168393678736,0.0032125,0.000225,368.0766,41.6742,4.2157799960114064e-5
bernoulli,"{""a"":0.8}",32,3.4657359027997265,1.242924991852436,2000,2000,1,1,-0.0245,2.3990992996498255,0.080115359302433,NaN,NaN,2.399099299649826,-0.0198125,-0.0033125,1451.136,99.832,0.0001743280004884582
bernoulli,"{""a"":0.8}",64,4.1588830833596715,1.4252465486463906,2000,2000,1,1,0.0165,3.2268411705852933,0.10913549087958377,NaN,NaN,3.2268411705852937,-0.0220078125,0.01325,6140.5335,238.7115,0.0009155574994802009
bernoulli,"{""a"":0.8}",128,4.852030263919617,1.5793972284736488,2000,2000,1,1,0.0315,3.7533844422211122,0.1198074075974252,NaN,NaN,3.753384442221111,-0.013296875,-0.0074453125,24413.306,561.674,0.004270387000637129
bernoulli,"{""a"":0.8}",256,5.545177444479562,1.7129286210981716,2000,2000,1,1,-0.0575,4.377382441220612,0.1454939830242061,NaN,NaN,4.377382441220613,-0.013630859375,0.01637890625,100440.2315,1337.2925,0.017827748999581672
bernoulli,"{""a"":0.8}",512,6.238324625039508,1.830711656754555,2000,2000,1,1,0.0385,4.937486493246613,0.15762499137281474,NaN,NaN,4.937486493246615,0.0152294921875,-0.0033232421875,401320.591,3196.418,0.06825477549989592
bernoulli,"{""a"":0.8}",1024,6.931471805599453,1.9360721724123813,2000,2000,1,1,-0.028,5.401916958479238,0.16998609819198138,NaN,NaN,5.401916958479238,0.0138642578125,-0.01766552734375,1.6551189035e6,7597.3495,0.28391432899987556
bernoulli,"{""a"":0.8}",2048,7.6246189861593985,2.0313823522167063,500,500,1,1,0.006,6.194352705410828,0.4011972477383727,NaN,NaN,6.194352705410827,0.0220859375,0.027900390625,6.54565778e6,18176.684,0.9954835640006932
bernoulli,"{""a"":0.8}",4096,8.317766166719343,2.118393729206336,500,500,1,1,0.082,6.2357474949899805,0.44150995169034,NaN,NaN,6.235747494989978,-0.03254931640625,-0.02536083984375,2.628846076e7,42884.516,4.5122273759997915
beta,"{""a"":0.5}",16,2.772588722239781,1.0197814405382262,5000,5000,1,1,-0.0076,1.9383299059811958,0.04145200697952521,NaN,NaN,1.9383299059811958,0.0098875,0.01025,341.905,41.3266,7.475880000274629e-5
beta,"{""a"":0.5}",32,3.4657359027997265,1.242924991852436,2000,2000,1,1,-0.0515,2.590142821410705,0.08585935804019845,NaN,NaN,2.590142821410705,-0.00734375,-0.015765625,1402.6545,98.8485,0.0003225000006495975
beta,"{""a"":0.5}",64,4.1588830833596715,1.4252465486463906,2000,2000,1,1,0.0425,2.943165332666331,0.09856950379342015,NaN,NaN,2.943165332666331,0.0085625,-0.0092734375,5748.0765,236.0835,0.0011623750004800969
