schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2300,0,15815341645602190523,5920103238615544321,2,52,332,"2,16",2,16,4.799995804205537e-5,116,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2301,0,8937494960321053491,3607191414777383793,4,46,494,"-16,10",-16,10,5.299999611452222e-5,124,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2302,0,16584985391057634879,1747326252454792963,0,32,420,"4,16",4,16,4.2000028770416975e-5,98,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2303,0,1246060870883881224,16849101717536541382,0,42,1038,"16,-4",16,-4,8.699996396899223e-5,184,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2304,0,1763126236340235187,11544461083700512409,1,37,163,"16,-13",16,-13,2.500001573935151e-5,67,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2305,0,7522546632947062610,6650309398780069639,2,41,75,"3,16",3,16,1.8000020645558834e-5,53,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2306,0,3073337331671883738,13288161878202341394,2,35,975,"-16,-5",-16,-5,8.999998681247234e-5,179,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2307,0,15947117303247904669,3325027444288639358,1,70,334,"-4,-16",-4,-16,4.39999857917428e-5,114,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2308,0,16158820459045712168,14311271274863769934,2,50,354,"-16,-4",-16,-4,4.1000021155923605e-5,96,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2309,0,3500828871857202184,13488642992749232928,-3,58,406,"14,-16",14,-16,5.099998088553548e-5,129,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2310,0,7649431550481754171,6729613443219462608,-1,25,787,"16,3",16,3,7.800001185387373e-5,166,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2311,0,6053557210797452943,2073192239874997311,0,38,54,"6,16",6,16,1.3999990187585354e-5,42,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2312,0,5090407110367110013,14835981811607333944,0,45,253,"16,-5",16,-5,3.5999983083456755e-5,98,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2313,0,2467599705929920765,13776390984793815299,0,44,202,"-12,16",-12,16,2.600002335384488e-5,63,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2314,0,4482131916485217491,10362836231346038393,0,22,202,"-2,-16",-2,-16,2.099998528137803e-5,55,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2315,0,4697972048727798668,4103802944512450182,1,67,187,"-16,-3",-16,-3,3.200001083314419e-5,86,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3453,23,bernoulli,"{""a"":0.8}",site_iid,bernoulli,0.8,16,2316,0,15332522607180927131,7301993786500052509,-1,47,283,"-16,-13",-16,-13,3.6999990697950125e-5,92,ok,,,2026-07-15T11:06:52.964,2026-07-15T11:06:52.964
