schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1000,0,16085045120429287121,1976891526076719215,2,1414,56492,"108,-256",108,-256,0.010404999949969351,7655,ok,,,2026-07-14T19:36:22.486,2026-07-14T19:36:22.496
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1001,0,15419277189288587108,13996406791769860479,4,1171,82175,"159,-256",159,-256,0.02106399997137487,9338,ok,,,2026-07-14T19:36:22.497,2026-07-14T19:36:22.518
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1002,0,10179421019657664605,1128228101072454002,0,1503,61077,"256,-201",256,-201,0.013773999991826713,7917,ok,,,2026-07-14T19:36:22.518,2026-07-14T19:36:22.531
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1003,0,12607383538872353630,10063052036966372723,2,1138,25500,"-256,-94",-256,-94,0.00644500000635162,4672,ok,,,2026-07-14T19:36:22.532,2026-07-14T19:36:22.538
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1004,0,1222865012486018777,5211622165622784512,0,1023,52779,"256,133",256,133,0.01570200000423938,7245,ok,,,2026-07-14T19:36:22.538,2026-07-14T19:36:22.554
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1005,0,12092432421930067385,10081135716109139478,1,1230,234154,"-256,20",-256,20,0.06303800002206117,14254,ok,,,2026-07-14T19:36:22.554,2026-07-14T19:36:22.617
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1006,0,13944934310662658571,1367326016485614596,-1,1176,73696,"94,256",94,256,0.061953999975230545,8701,ok,,,2026-07-14T19:36:22.617,2026-07-14T19:36:22.679
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1007,0,13873700163790076834,1344670120388443538,-1,2283,161353,"-256,183",-256,183,0.03563599998597056,12994,ok,,,2026-07-14T19:36:22.679,2026-07-14T19:36:22.715
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1008,0,2977420976816747285,5689573425619790363,4,1596,53464,"58,256",58,256,0.014550000021699816,8169,ok,,,2026-07-14T19:36:22.715,2026-07-14T19:36:22.729
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1009,0,8410328637826424489,11957778551632807611,-7,3390,265136,"76,-256",76,-256,0.06912200001534075,14859,ok,,,2026-07-14T19:36:22.729,2026-07-14T19:36:22.798
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1010,0,7066614890638282079,13879785793432692118,1,947,67047,"-256,-121",-256,-121,0.014062999980524182,8313,ok,,,2026-07-14T19:36:22.799,2026-07-14T19:36:22.813
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1011,0,18089220149073244028,7862583103636578144,-1,1137,72833,"256,95",256,95,0.015981000033207238,8408,ok,,,2026-07-14T19:36:22.813,2026-07-14T19:36:22.829
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1012,0,14739102473068992732,2183699743233665154,4,1972,126308,"256,-78",256,-78,0.026766999973915517,11290,ok,,,2026-07-14T19:36:22.829,2026-07-14T19:36:22.855
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1013,0,549366676241623408,14735212162182931789,2,1029,34501,"37,256",37,256,0.007597999996505678,4943,ok,,,2026-07-14T19:36:22.855,2026-07-14T19:36:22.863
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1014,0,8358972213469073478,12207840781446780854,1,922,54474,"2,256",2,256,0.021410999994259328,7731,ok,,,2026-07-14T19:36:22.863,2026-07-14T19:36:22.885
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1015,0,13729221636875133264,15593880245345777280,-2,1411,30177,"-27,-256",-27,-256,0.018570000014733523,6044,ok,,,2026-07-14T19:36:22.885,2026-07-14T19:36:22.903
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1016,0,16710897658910992534,2233618296335467765,-3,1230,124540,"160,-256",160,-256,0.03648800001246855,11858,ok,,,2026-07-14T19:36:22.903,2026-07-14T19:36:22.940
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1017,0,10406012167118510258,1158720815111797485,-1,1504,81376,"-144,256",-144,256,0.017224000010173768,8741,ok,,,2026-07-14T19:36:22.940,2026-07-14T19:36:22.957
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1018,0,8466797233647184232,10786681356480549086,-3,1138,32486,"110,-256",110,-256,0.00959199998760596,6038,ok,,,2026-07-14T19:36:22.957,2026-07-14T19:36:22.967
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1019,0,10226297138799953752,17783680970618155853,-5,2295,145531,"167,-256",167,-256,0.044098999991547316,12113,ok,,,2026-07-14T19:36:22.967,2026-07-14T19:36:23.011
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1020,0,7219344498044346855,4058304057468259165,1,1244,75580,"80,-256",80,-256,0.021736000024247915,9684,ok,,,2026-07-14T19:36:23.011,2026-07-14T19:36:23.033
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1021,0,6845155396339380670,6286999444107872705,2,1962,118392,"-126,256",-126,256,0.029867000004742295,11721,ok,,,2026-07-14T19:36:23.033,2026-07-14T19:36:23.063
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1022,0,18412183360544350218,14712883722358473738,-2,2050,69632,"178,-256",178,-256,0.017470000020693988,8641,ok,,,2026-07-14T19:36:23.063,2026-07-14T19:36:23.080
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1023,0,2526976526120760293,10328585688207127353,1,1227,28131,"-256,-3",-256,-3,0.01075499999569729,5521,ok,,,2026-07-14T19:36:23.081,2026-07-14T19:36:23.091
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1024,0,16883252060562428631,5328043873687587083,-1,1150,32516,"256,98",256,98,0.00790900003630668,5574,ok,,,2026-07-14T19:36:23.091,2026-07-14T19:36:23.099
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1025,0,16109316512157614915,12542212354719686314,0,998,34238,"-172,256",-172,256,0.006434999988414347,5596,ok,,,2026-07-14T19:36:22.486,2026-07-14T19:36:22.492
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1026,0,15408019888248685204,5059943601152012745,-4,1144,131344,"256,122",256,122,0.02847800002200529,11425,ok,,,2026-07-14T19:36:22.492,2026-07-14T19:36:22.521
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1027,0,16158616308588161596,11757602541126487968,-1,986,58804,"-256,12",-256,12,0.0128009999752976,7272,ok,,,2026-07-14T19:36:22.521,2026-07-14T19:36:22.534
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1028,0,16028247095643650987,583709748738851673,-2,1752,49032,"4,256",4,256,0.016727000009268522,8180,ok,,,2026-07-14T19:36:22.534,2026-07-14T19:36:22.551
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1029,0,7359430063009572052,7432765343321686942,-1,895,38823,"-11,256",-11,256,0.008796999987680465,5658,ok,,,2026-07-14T19:36:22.551,2026-07-14T19:36:22.559
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1030,0,5806457096269147326,2167668716934655852,-2,1289,145507,"129,-256",129,-256,0.04462699999567121,12616,ok,,,2026-07-14T19:36:22.559,2026-07-14T19:36:22.604
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1031,0,5424823522201464597,6779296957871362915,0,844,33550,"84,256",84,256,0.011236000049393624,6523,ok,,,2026-07-14T19:36:22.604,2026-07-14T19:36:22.615
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1032,0,4445637818768372605,8357401371793268674,-4,1273,130347,"-256,-77",-256,-77,0.0700329999672249,9728,ok,,,2026-07-14T19:36:22.615,2026-07-14T19:36:22.685
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1033,0,8071210383100475595,1962257489956407552,1,1162,57356,"256,-166",256,-166,0.01316099998075515,8492,ok,,,2026-07-14T19:36:22.686,2026-07-14T19:36:22.699
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1034,0,786937768756132129,18266321950347854810,-1,1287,41447,"256,-7",256,-7,0.01260700001148507,6407,ok,,,2026-07-14T19:36:22.699,2026-07-14T19:36:22.711
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1035,0,6151998518293168921,17940790984370510195,-2,1580,113628,"-94,-256",-94,-256,0.025107000023126602,10941,ok,,,2026-07-14T19:36:22.712,2026-07-14T19:36:22.737
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1036,0,13594975097877989684,12665684126756282871,-1,1377,34913,"-141,-256",-141,-256,0.009438999986741692,5982,ok,,,2026-07-14T19:36:22.737,2026-07-14T19:36:22.746
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1037,0,15250904310636194282,678893472689954989,0,1541,279199,"-169,256",-169,256,0.07377100002486259,14615,ok,,,2026-07-14T19:36:22.746,2026-07-14T19:36:22.820
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1038,0,2293853489547164944,5790529411289158153,2,951,118889,"-139,256",-139,256,0.031146999972406775,12066,ok,,,2026-07-14T19:36:22.820,2026-07-14T19:36:22.851
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1039,0,18219936031310902314,7545457338710382072,2,1126,194322,"-256,98",-256,98,0.04121400002622977,12152,ok,,,2026-07-14T19:36:22.851,2026-07-14T19:36:22.893
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1040,0,6172618604209403257,5281563681698498495,-1,1503,65903,"147,-256",147,-256,0.02845699997851625,8366,ok,,,2026-07-14T19:36:22.893,2026-07-14T19:36:22.921
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1041,0,10201119987400859892,15710895142168589033,0,977,39677,"256,9",256,9,0.013395999965723604,6416,ok,,,2026-07-14T19:36:22.921,2026-07-14T19:36:22.935
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1042,0,10671959081660761202,15283686023891175422,-1,1737,87865,"256,15",256,15,0.018921000009868294,9838,ok,,,2026-07-14T19:36:22.935,2026-07-14T19:36:22.954
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1043,0,13759157722084194096,6528059343048434288,1,918,84190,"-22,-256",-22,-256,0.023612999997567385,9437,ok,,,2026-07-14T19:36:22.954,2026-07-14T19:36:22.977
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1044,0,15154959078209392489,8747549617026583364,2,963,27623,"256,23",256,23,0.0070760000380687416,5186,ok,,,2026-07-14T19:36:22.977,2026-07-14T19:36:22.984
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1045,0,4143260641903461402,8418063797719535433,1,1059,36821,"9,-256",9,-256,0.017486999975517392,5599,ok,,,2026-07-14T19:36:22.984,2026-07-14T19:36:23.002
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1046,0,8975386306756847422,9792362494172525603,1,1963,57119,"-25,-256",-25,-256,0.017035999975632876,8441,ok,,,2026-07-14T19:36:23.002,2026-07-14T19:36:23.019
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2830,10,beta,"{""a"":0.5}",site_iid,beta,0.5,256,1047,0,17818949663745568129,6696044582944563921,1,1203,55461,"25,-256",25,-256,0.012588000041432679,8104,ok,,,2026-07-14T19:36:23.019,2026-07-14T19:36:23.032
