schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1095,5,exponential,{},site_iid,exponential,,16,500,0,11632170068798696902,1670277367660861137,2,44,298,"-6,16",-6,16,3.7999998312443495e-5,82,ok,,,2026-07-14T15:25:32.052,2026-07-14T15:25:32.052
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1095,5,exponential,{},site_iid,exponential,,16,501,0,1185961211076992777,15768308407237192178,2,32,140,"-16,6",-16,6,2.300000051036477e-5,62,ok,,,2026-07-14T15:25:32.052,2026-07-14T15:25:32.053
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1095,5,exponential,{},site_iid,exponential,,16,502,0,7708250369886221695,18337708552166472032,0,35,203,"3,-16",3,-16,2.700003096833825e-5,64,ok,,,2026-07-14T15:25:32.053,2026-07-14T15:25:32.053
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1095,5,exponential,{},site_iid,exponential,,16,503,0,3668525438519774761,2138618023964878306,-2,42,296,"-16,2",-16,2,3.9000005926936865e-5,96,ok,,,2026-07-14T15:25:32.053,2026-07-14T15:25:32.053
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1095,5,exponential,{},site_iid,exponential,,16,504,0,712831246454732455,2550535585830154795,1,30,136,"0,16",0,16,2.2000051103532314e-5,59,ok,,,2026-07-14T15:25:32.053,2026-07-14T15:25:32.053
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1095,5,exponential,{},site_iid,exponential,,16,505,0,2765223981210742112,16611103014851220957,-1,27,871,"1,16",1,16,9.399995906278491e-5,215,ok,,,2026-07-14T15:25:32.053,2026-07-14T15:25:32.053
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1095,5,exponential,{},site_iid,exponential,,16,506,0,11865828222930652692,11232203651015514624,0,25,129,"16,-3",16,-3,1.8000020645558834e-5,48,ok,,,2026-07-14T15:25:32.053,2026-07-14T15:25:32.053
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1095,5,exponential,{},site_iid,exponential,,16,507,0,6847877620035014755,17771489635896481721,0,37,439,"-7,16",-7,16,4.499999340623617e-5,109,ok,,,2026-07-14T15:25:32.053,2026-07-14T15:25:32.053
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1095,5,exponential,{},site_iid,exponential,,16,508,0,6426874085906668576,15833815506108757456,-1,36,382,"0,-16",0,-16,3.7999998312443495e-5,93,ok,,,2026-07-14T15:25:32.053,2026-07-14T15:25:32.053
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1095,5,exponential,{},site_iid,exponential,,16,509,0,17877655385552879831,12883624395563002693,0,47,403,"-16,11",-16,11,4.600000102072954e-5,106,ok,,,2026-07-14T15:25:32.053,2026-07-14T15:25:32.053
