schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3400,0,2363471504791598189,14974214851132344961,2,3221,597533,"161,-512",161,-512,0.08494000002974644,33407,ok,,,2026-07-13T13:21:22.018,2026-07-13T13:21:22.103
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3401,0,14746789686476599760,17932848409713640991,0,2068,191244,"144,-512",144,-512,0.06650499999523163,17540,ok,,,2026-07-13T13:21:22.103,2026-07-13T13:21:22.169
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3402,0,15157442693607722828,15065994843788179427,-3,1999,148843,"512,-157",512,-157,0.02134400000795722,11147,ok,,,2026-07-13T13:21:22.169,2026-07-13T13:21:22.191
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3403,0,4287247327526101393,3782207625572550084,4,5466,1740162,"-398,-512",-398,-512,0.2878599999821745,55012,ok,,,2026-07-13T13:21:22.191,2026-07-13T13:21:22.478
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3404,0,3041815870105377346,764497102802262198,0,1996,771774,"512,180",512,180,0.14824799995403737,43372,ok,,,2026-07-13T13:21:22.479,2026-07-13T13:21:22.627
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3405,0,17410866200057757687,4671226829321188521,-1,3738,1191210,"132,512",132,512,0.23087800003122538,44146,ok,,,2026-07-13T13:21:22.627,2026-07-13T13:21:22.858
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3406,0,6348275371693835721,9063540408922999233,0,3127,446611,"512,243",512,243,0.10200700000859797,28458,ok,,,2026-07-13T13:21:22.858,2026-07-13T13:21:22.960
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3407,0,11913148419270466489,5837980197278094191,-1,4222,496428,"0,512",0,512,0.09899199998471886,28215,ok,,,2026-07-13T13:21:22.960,2026-07-13T13:21:23.059
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3408,0,12849969774930686722,17254375122026824354,4,3964,547012,"-512,-38",-512,-38,0.11019100004341453,35339,ok,,,2026-07-13T13:21:23.059,2026-07-13T13:21:23.169
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3409,0,6958939518640354186,10269603282497996268,-2,2995,173053,"251,512",251,512,0.030654000001959503,16060,ok,,,2026-07-13T13:21:23.170,2026-07-13T13:21:23.200
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3410,0,10182609953283165556,9285935896533604725,-1,2893,205277,"-512,-133",-512,-133,0.09541200002422556,17409,ok,,,2026-07-13T13:21:23.200,2026-07-13T13:21:23.296
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3411,0,16913962875846527731,16767390064765587077,4,2945,782497,"512,79",512,79,0.1541330000036396,41990,ok,,,2026-07-13T13:21:23.296,2026-07-13T13:21:23.450
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3412,0,878478817330485537,844441237683796312,0,4370,678532,"512,294",512,294,0.15596699999878183,38252,ok,,,2026-07-13T13:21:23.450,2026-07-13T13:21:23.606
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3413,0,14707998947594396481,5126282353599398384,-3,2830,324738,"-512,342",-512,342,0.09237399999983609,24314,ok,,,2026-07-13T13:21:23.606,2026-07-13T13:21:23.699
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3414,0,10569101725754652279,1968635908384272469,-2,3574,810726,"512,-428",512,-428,0.16011399996932596,43541,ok,,,2026-07-13T13:21:23.699,2026-07-13T13:21:23.859
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3415,0,2982732733945546293,16337815858173541378,4,3896,1243562,"-512,164",-512,164,0.2683459999971092,42852,ok,,,2026-07-13T13:21:23.859,2026-07-13T13:21:24.128
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3416,0,13086741224135825914,11044073061751526439,0,2844,494796,"-76,512",-76,512,0.09132100001443177,29092,ok,,,2026-07-13T13:21:24.128,2026-07-13T13:21:24.219
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3417,0,6611461941114224294,18409401441932227370,-2,3915,876211,"-512,411",-512,411,0.1938369999988936,45823,ok,,,2026-07-13T13:21:24.219,2026-07-13T13:21:24.413
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3418,0,16950522061815056299,17332786522265225169,0,4194,183852,"512,-340",512,-340,0.061882999958470464,21756,ok,,,2026-07-13T13:21:24.413,2026-07-13T13:21:24.475
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3419,0,10837639722394492311,15305566320930204783,2,3352,1134772,"-316,512",-316,512,0.2124710000352934,43399,ok,,,2026-07-13T13:21:24.475,2026-07-13T13:21:24.688
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3420,0,7914043120821792511,17140089471611602882,4,8111,1020301,"512,197",512,197,0.2837990000261925,50839,ok,,,2026-07-13T13:21:24.688,2026-07-13T13:21:24.972
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3421,0,13644092279451835596,14511180764309367339,0,2048,394890,"-512,-218",-512,-218,0.07219600002281368,23535,ok,,,2026-07-13T13:21:24.972,2026-07-13T13:21:25.044
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3422,0,11150138463901683057,6091558548394584682,3,2918,1213720,"-512,232",-512,232,0.2071569999679923,51686,ok,,,2026-07-13T13:21:25.044,2026-07-13T13:21:25.251
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3423,0,4370310710701818176,1662505348512861220,1,2646,1187760,"68,512",68,512,0.19952399999601766,49491,ok,,,2026-07-13T13:21:25.252,2026-07-13T13:21:25.451
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3424,0,4047416263793739892,15932646791811939169,4,1860,786826,"512,-116",512,-116,0.1262529999949038,39861,ok,,,2026-07-13T13:21:25.451,2026-07-13T13:21:25.577
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3425,0,4809007237458027339,4778695008840651540,3,4620,462068,"-122,-512",-122,-512,0.06544499995652586,32534,ok,,,2026-07-13T13:21:22.018,2026-07-13T13:21:22.083
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3426,0,9934018916001928395,4235217002817589380,-3,2870,103700,"512,-110",512,-110,0.019333000003825873,13163,ok,,,2026-07-13T13:21:22.094,2026-07-13T13:21:22.114
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3427,0,13125348843547798009,12855460779579619949,3,1856,435302,"12,-512",12,-512,0.09636000002501532,29343,ok,,,2026-07-13T13:21:22.114,2026-07-13T13:21:22.210
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3428,0,6458906359080170738,16273971162634482263,-2,3071,2115495,"-277,-512",-277,-512,0.3438740000128746,57909,ok,,,2026-07-13T13:21:22.210,2026-07-13T13:21:22.554
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3429,0,3016731725969247472,13237004598122376984,-2,2685,256507,"512,-65",512,-65,0.05947300000116229,22620,ok,,,2026-07-13T13:21:22.554,2026-07-13T13:21:22.614
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3430,0,15445497591052829790,1776143950660274880,1,3986,612134,"44,-512",44,-512,0.15615799999795854,37116,ok,,,2026-07-13T13:21:22.614,2026-07-13T13:21:22.770
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,649,34,gamma,"{""shape"":0.5}",site_iid,gamma,0.5,512,3431,0,4857756275063153216,12860303265160247260,1,2336,1090280,"512,16",512,16,0.2096460000029765,43600,ok,,,2026-07-13T13:21:22.770,2026-07-13T13:21:22.980
