schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,900,0,16411894299100030428,2749885882628700504,-2,86,404,"-32,20",-32,20,0.00011600001016631722,164,ok,,,2026-07-14T15:09:10.871,2026-07-14T15:09:10.871
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,901,0,8451975657543608537,3999639616356902751,0,124,640,"-32,14",-32,14,0.0001799999736249447,254,ok,,,2026-07-14T15:09:10.872,2026-07-14T15:09:10.872
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,902,0,3093253473239617579,14588195290141329164,-2,135,2553,"3,-32",3,-32,0.00041200005216524005,400,ok,,,2026-07-14T15:09:10.872,2026-07-14T15:09:10.872
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,903,0,928636286600504192,17752202490173834681,1,105,2051,"-32,1",-32,1,0.0003659999929368496,383,ok,,,2026-07-14T15:09:10.872,2026-07-14T15:09:10.872
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,904,0,17874891162313299087,103104504403237441,-1,69,281,"-11,32",-11,32,7.300003198906779e-5,116,ok,,,2026-07-14T15:09:10.873,2026-07-14T15:09:10.873
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,905,0,17082359544526777315,15645540426121704860,-2,111,883,"-32,11",-32,11,0.0001889999839477241,244,ok,,,2026-07-14T15:09:10.873,2026-07-14T15:09:10.873
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,906,0,1655763461775270712,12559476371855760836,1,81,1257,"3,32",3,32,0.0002680000034160912,327,ok,,,2026-07-14T15:09:10.873,2026-07-14T15:09:10.873
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,907,0,17663737626947649690,17980335166219410361,-1,70,776,"32,-10",32,-10,0.00016500003403052688,235,ok,,,2026-07-14T15:09:10.873,2026-07-14T15:09:10.873
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,908,0,10575131397067613138,16439160309062510589,1,82,1744,"-32,2",-32,2,0.0003349999897181988,388,ok,,,2026-07-14T15:09:10.873,2026-07-14T15:09:10.874
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,909,0,2373346810721366563,4451240806202409261,0,81,639,"3,-32",3,-32,0.00013599998783320189,194,ok,,,2026-07-14T15:09:10.874,2026-07-14T15:09:10.874
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,910,0,10594799054241714563,11176952048759359247,2,100,1690,"0,-32",0,-32,0.00039000000106170774,436,ok,,,2026-07-14T15:09:10.874,2026-07-14T15:09:10.874
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,911,0,10133890143098496534,14699992132803731918,1,68,436,"2,32",2,32,0.00012799998512491584,203,ok,,,2026-07-14T15:09:10.874,2026-07-14T15:09:10.874
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,912,0,18227510019166374152,11810187467309860773,-3,78,1004,"-32,-16",-32,-16,0.00021299999207258224,272,ok,,,2026-07-14T15:09:10.874,2026-07-14T15:09:10.874
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,913,0,644592143647824971,17522019551620791152,0,76,796,"-32,-8",-32,-8,0.00016200001118704677,213,ok,,,2026-07-14T15:09:10.875,2026-07-14T15:09:10.875
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,914,0,13512642956928503221,16417261847022087284,1,74,1322,"32,12",32,12,0.00028300000121816993,359,ok,,,2026-07-14T15:09:10.875,2026-07-14T15:09:10.875
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,915,0,10759906187488360839,13207279175337057996,-2,91,371,"17,32",17,32,0.00010199996177107096,154,ok,,,2026-07-14T15:09:10.875,2026-07-14T15:09:10.875
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,969,9,gamma,"{""shape"":2.0}",site_iid,gamma,2.0,32,916,0,8666293008330882577,3020227807951525439,0,111,487,"-32,25",-32,25,0.00013099994976073503,193,ok,,,2026-07-14T15:09:10.875,2026-07-14T15:09:10.875
