schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3388,8,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,800,0,13160720169620595668,6187791477921624597,1,2247,311061,"129,-512",129,-512,0.05787000001873821,35404,ok,,,2026-07-15T10:52:57.913,2026-07-15T10:52:57.971
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3388,8,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,801,0,13613465310902840816,16143042055801030769,-3,3136,714468,"-512,-294",-512,-294,0.11849600001005456,51773,ok,,,2026-07-15T10:52:57.971,2026-07-15T10:52:58.090
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3388,8,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,802,0,12176050889490021159,12970149759245393047,0,1928,428454,"206,-512",206,-512,0.08330199995543808,42072,ok,,,2026-07-15T10:52:58.090,2026-07-15T10:52:58.173
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3388,8,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,803,0,6402001562723547059,17935473008079266125,-1,1510,68756,"-34,-512",-34,-512,0.012717000034172088,13309,ok,,,2026-07-15T10:52:58.173,2026-07-15T10:52:58.186
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3388,8,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,804,0,3754292156799420977,17476388202593936072,-4,2237,295691,"512,127",512,127,0.084789999993518,35077,ok,,,2026-07-15T10:52:58.186,2026-07-15T10:52:58.271
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3388,8,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,805,0,2992923513135438617,10553939839655461066,-1,2988,114390,"-512,-374",-512,-374,0.020856000017374754,19371,ok,,,2026-07-15T10:52:58.271,2026-07-15T10:52:58.292
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3388,8,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,806,0,8903348439325414610,15603742009018754323,0,2978,154440,"-98,512",-98,512,0.03590100002475083,25283,ok,,,2026-07-15T10:52:58.292,2026-07-15T10:52:58.328
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3388,8,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,807,0,3003328134906619597,5466820802040315829,2,3159,418501,"-143,512",-143,512,0.06192100001499057,38588,ok,,,2026-07-15T10:52:58.328,2026-07-15T10:52:58.390
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3388,8,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,808,0,545360895254308184,10995248245395746268,3,3669,326607,"-167,512",-167,512,0.0621089999913238,38360,ok,,,2026-07-15T10:52:58.390,2026-07-15T10:52:58.452
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,3388,8,inverse_gamma,"{""alpha"":2.2}",site_iid,inverse_gamma,2.2,512,809,0,17726670198124803360,16266189458891467264,1,4016,469404,"-512,-132",-512,-132,0.09584299998823553,46369,ok,,,2026-07-15T10:52:58.452,2026-07-15T10:52:58.548
