schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1724,24,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,2400,0,1085830350071098734,4667787794809844979,3,1905,61753,"-149,512",-149,512,0.00640499999281019,12450,ok,,,2026-07-14T16:26:40.173,2026-07-14T16:26:40.180
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1724,24,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,2401,0,4593686132343180443,13647166986517128562,0,2882,304740,"-512,84",-512,84,0.025031000026501715,32346,ok,,,2026-07-14T16:26:40.180,2026-07-14T16:26:40.205
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1724,24,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,2402,0,18072612404977750761,11362707815422808465,-1,2658,720432,"512,-162",512,-162,0.07327900000382215,51795,ok,,,2026-07-14T16:26:40.205,2026-07-14T16:26:40.278
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1724,24,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,2403,0,4766434027475420530,5764798179563133518,1,4329,170719,"512,-419",512,-419,0.018970999983139336,27462,ok,,,2026-07-14T16:26:40.278,2026-07-14T16:26:40.297
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1724,24,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,2404,0,10438546423119127388,7713100479517879958,-2,3345,223693,"512,-35",512,-35,0.02157500002067536,28181,ok,,,2026-07-14T16:26:40.297,2026-07-14T16:26:40.319
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1724,24,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,2405,0,6902983088769706516,15405799762581109085,1,3638,329160,"-154,-512",-154,-512,0.03260400000726804,36489,ok,,,2026-07-14T16:26:40.319,2026-07-14T16:26:40.352
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1724,24,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,2406,0,17903145306953397546,9893360908309378163,-2,2170,298782,"-6,512",-6,512,0.028775999962817878,33948,ok,,,2026-07-14T16:26:40.352,2026-07-14T16:26:40.380
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1724,24,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,2407,0,12409654267298795503,14575897275331542368,1,2324,233322,"512,-406",512,-406,0.027605000010225922,26789,ok,,,2026-07-14T16:26:40.381,2026-07-14T16:26:40.408
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1724,24,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,2408,0,1116631286029311069,12913488562325997828,-3,2939,332987,"171,512",171,512,0.03140799998072907,33136,ok,,,2026-07-14T16:26:40.408,2026-07-14T16:26:40.440
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1724,24,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,2409,0,16068846005817831043,10505012284370607678,3,3098,90256,"512,-114",512,-114,0.009875999996438622,16688,ok,,,2026-07-14T16:26:40.440,2026-07-14T16:26:40.450
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1724,24,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,2410,0,6547207562559817751,2256472500471231441,-1,4615,535317,"-512,307",-512,307,0.050060999987181276,44615,ok,,,2026-07-14T16:26:40.450,2026-07-14T16:26:40.500
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1724,24,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,2411,0,8506894274079523959,4796308849097724769,3,3835,210357,"-512,-331",-512,-331,0.028258000034838915,28566,ok,,,2026-07-14T16:26:40.500,2026-07-14T16:26:40.528
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1724,24,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,2412,0,10937629851112900881,12285491525259536391,-2,2709,241891,"512,89",512,89,0.023683000006712973,28094,ok,,,2026-07-14T16:26:40.528,2026-07-14T16:26:40.552
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,1724,24,lognormal,"{""sigma"":1.0}",site_iid,lognormal,1.0,512,2413,0,17021580659080868224,17557301161708621984,3,4932,476642,"512,-126",512,-126,0.04601699998602271,44024,ok,,,2026-07-14T16:26:40.552,2026-07-14T16:26:40.598
