schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2319,19,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,512,1900,0,4085986556855997399,11339963044904041948,2,1914,386868,"512,-94",512,-94,0.05358500004513189,44581,ok,,,2026-07-14T19:03:30.690,2026-07-14T19:03:30.744
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2319,19,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,512,1901,0,5008763101858124990,7143088139270509875,1,3478,251772,"44,512",44,512,0.04563499998766929,36290,ok,,,2026-07-14T19:03:30.744,2026-07-14T19:03:30.789
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2319,19,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,512,1902,0,15527116536691938128,5215367171968285387,-2,3897,784399,"512,-449",512,-449,0.16812700004084036,59322,ok,,,2026-07-14T19:03:30.790,2026-07-14T19:03:30.958
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2319,19,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,512,1903,0,8791368587325348425,2327874727153741479,1,3830,1071714,"-90,-512",-90,-512,0.1846590000204742,60727,ok,,,2026-07-14T19:03:30.958,2026-07-14T19:03:31.142
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2319,19,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,512,1904,0,1927587044758092955,17340659068060151057,-2,2223,220507,"512,-133",512,-133,0.04451500001596287,30776,ok,,,2026-07-14T19:03:31.142,2026-07-14T19:03:31.187
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2319,19,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,512,1905,0,7312034416204680416,7853215441060691978,0,4634,533216,"-512,48",-512,48,0.14446500001940876,50210,ok,,,2026-07-14T19:03:31.187,2026-07-14T19:03:31.332
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2319,19,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,512,1906,0,3294898672825596320,7304980377748293918,-1,4491,194651,"-512,411",-512,411,0.03914800001075491,33384,ok,,,2026-07-14T19:03:31.332,2026-07-14T19:03:31.371
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2319,19,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,512,1907,0,5630655489231274068,14572763847839553810,-1,3226,97676,"-512,300",-512,300,0.026215000019874424,20965,ok,,,2026-07-14T19:03:31.371,2026-07-14T19:03:31.397
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2319,19,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,512,1908,0,3536931430821710449,14305209832480501042,0,1960,123484,"-24,-512",-24,-512,0.022754999983590096,21722,ok,,,2026-07-14T19:03:31.397,2026-07-14T19:03:31.420
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2319,19,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,512,1909,0,11463494330512661576,14712955749337335855,1,2066,155026,"-512,-88",-512,-88,0.035961000015959144,27050,ok,,,2026-07-14T19:03:31.420,2026-07-14T19:03:31.456
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2319,19,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,512,1910,0,13674017722157456604,4084657695351660485,0,1827,299397,"512,-27",512,-27,0.061627999995835125,42965,ok,,,2026-07-14T19:03:31.456,2026-07-14T19:03:31.518
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2319,19,pareto,"{""alpha"":3.0}",site_iid,pareto,3.0,512,1911,0,10061141486396160080,2730795011537212836,-3,3990,451508,"-240,-512",-240,-512,0.09874699998181313,49054,ok,,,2026-07-14T19:03:31.518,2026-07-14T19:03:31.616
