schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4000,0,13899581824301318235,12267930202291383167,-1,77,1833,"-32,5",-32,5,0.00023200002033263445,294,ok,,,2026-07-15T10:31:16.416,2026-07-15T10:31:16.416
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4001,0,13291357493169737777,13559924866061936262,-2,102,4366,"32,16",32,16,0.0004409999819472432,481,ok,,,2026-07-15T10:31:16.416,2026-07-15T10:31:16.416
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4002,0,15393409312704329233,16747904659706991365,2,79,359,"-32,13",-32,13,5.6999968364834785e-5,109,ok,,,2026-07-15T10:31:16.416,2026-07-15T10:31:16.416
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4003,0,1392513056898604288,16234651502638130206,2,86,4918,"-32,-8",-32,-8,0.0005410000449046493,582,ok,,,2026-07-15T10:31:16.416,2026-07-15T10:31:16.417
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4004,0,10983459745490493663,6597393302630604839,-1,103,539,"32,-23",32,-23,9.899999713525176e-5,169,ok,,,2026-07-15T10:31:16.417,2026-07-15T10:31:16.417
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4005,0,11235203441916497308,12751652168488090162,0,79,951,"-32,19",-32,19,0.0001550000160932541,270,ok,,,2026-07-15T10:31:16.417,2026-07-15T10:31:16.417
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4006,0,7478625889591435725,18132386086746600841,2,76,492,"-32,-10",-32,-10,7.800001185387373e-5,119,ok,,,2026-07-15T10:31:16.417,2026-07-15T10:31:16.417
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4007,0,4044215337050485445,3577169143943820987,1,113,365,"-3,-32",-3,-32,7.199996616691351e-5,145,ok,,,2026-07-15T10:31:16.417,2026-07-15T10:31:16.417
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4008,0,14832542487571788198,619770465326075963,2,101,931,"-32,-3",-32,-3,0.00013599998783320189,234,ok,,,2026-07-15T10:31:16.417,2026-07-15T10:31:16.418
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4009,0,7034781384823430224,14294237303742032634,0,114,912,"-32,-4",-32,-4,0.0001170000177808106,181,ok,,,2026-07-15T10:31:16.418,2026-07-15T10:31:16.418
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4010,0,12319118900981006924,5126744601958991543,0,87,341,"32,-15",32,-15,5.6999968364834785e-5,115,ok,,,2026-07-15T10:31:16.418,2026-07-15T10:31:16.418
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4011,0,15565302684184802765,8780027723080052756,-1,62,382,"-12,32",-12,32,7.700000423938036e-5,135,ok,,,2026-07-15T10:31:16.418,2026-07-15T10:31:16.418
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4012,0,2185481064975139812,14894639012431442659,2,101,2999,"17,32",17,32,0.0003440000000409782,432,ok,,,2026-07-15T10:31:16.418,2026-07-15T10:31:16.418
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4013,0,9915318154534479600,8078678315786840344,1,86,600,"24,-32",24,-32,0.00010000000474974513,160,ok,,,2026-07-15T10:31:16.418,2026-07-15T10:31:16.418
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4014,0,2972905659147440109,16269835135836848832,1,95,1665,"-23,-32",-23,-32,0.0004360000020824373,338,ok,,,2026-07-15T10:31:16.418,2026-07-15T10:31:16.419
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4015,0,8766245446881491686,16523074188061985848,0,60,1742,"32,8",32,8,0.0001990000018849969,271,ok,,,2026-07-15T10:31:16.419,2026-07-15T10:31:16.419
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4016,0,4853977306966037961,10709900893605925032,-1,135,1929,"-7,32",-7,32,0.00025800004368647933,301,ok,,,2026-07-15T10:31:16.419,2026-07-15T10:31:16.419
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4017,0,478436498584444760,3420942223890047543,-2,68,384,"-6,32",-6,32,5.9999991208314896e-5,116,ok,,,2026-07-15T10:31:16.419,2026-07-15T10:31:16.419
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4018,0,6217494429328205271,17255111743982730789,0,104,1102,"8,-32",8,-32,0.00016600004164502025,246,ok,,,2026-07-15T10:31:16.419,2026-07-15T10:31:16.419
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4019,0,1508046690243778223,7791952200517827199,2,81,2493,"7,32",7,32,0.0002530000056140125,285,ok,,,2026-07-15T10:31:16.419,2026-07-15T10:31:16.420
batch_v6_julia,2f619b8+source.020484b0bc41,1.12.6,2980,40,weibull,"{""shape"":0.7}",site_iid,weibull,0.7,32,4020,0,2489203911102669601,17433837679645724500,2,132,7762,"-32,6",-32,6,0.0006830000202171504,645,ok,,,2026-07-15T10:31:16.420,2026-07-15T10:31:16.420
