task_id,environment_model,distribution,distribution_params,L,batch_id,num_environments,walks_per_environment,base_seed
0,temporal_iid,baseline,{},16,0,100,1,43991317802439118
1,temporal_iid,baseline,{},16,1,100,1,8332018989822828899
2,temporal_iid,baseline,{},16,2,100,1,16230445606733491876
3,temporal_iid,baseline,{},16,3,100,1,12381287803168536963
4,temporal_iid,baseline,{},16,4,100,1,796160388664836595
5,temporal_iid,baseline,{},16,5,100,1,880144249217836218
6,temporal_iid,baseline,{},16,6,100,1,2359000003435621766
7,temporal_iid,baseline,{},16,7,100,1,7547729307805691501
8,temporal_iid,baseline,{},16,8,100,1,11528053050890239177
9,temporal_iid,baseline,{},16,9,100,1,1908273862596981875
10,temporal_iid,baseline,{},16,10,100,1,13592314726803798463
11,temporal_iid,baseline,{},16,11,100,1,4065395071934757451
12,temporal_iid,baseline,{},16,12,100,1,6437716944134019006
13,temporal_iid,baseline,{},16,13,100,1,13631695329578502852
14,temporal_iid,baseline,{},16,14,100,1,9279052195703219163
15,temporal_iid,baseline,{},16,15,100,1,17203475573120095498
16,temporal_iid,baseline,{},16,16,100,1,5556569987614441216
17,temporal_iid,baseline,{},16,17,100,1,8159307614136762954
18,temporal_iid,baseline,{},16,18,100,1,11178021342997684671
19,temporal_iid,baseline,{},16,19,100,1,10857685140383049173
20,temporal_iid,baseline,{},32,0,100,1,13846898028712093721
21,temporal_iid,baseline,{},32,1,100,1,786146455962959061
22,temporal_iid,baseline,{},32,2,100,1,12536135895844206267
23,temporal_iid,baseline,{},32,3,100,1,17284753373212948385
24,temporal_iid,baseline,{},32,4,100,1,5648693262713857560
25,temporal_iid,baseline,{},32,5,100,1,6637640191109198717
26,temporal_iid,baseline,{},32,6,100,1,3777857590279391314
27,temporal_iid,baseline,{},32,7,100,1,13501139986461370566
28,temporal_iid,baseline,{},32,8,100,1,10366140664169477308
29,temporal_iid,baseline,{},32,9,100,1,8783863699737856536
30,temporal_iid,baseline,{},32,10,100,1,12318083238811280716
31,temporal_iid,baseline,{},32,11,100,1,10966138941960476280
32,temporal_iid,baseline,{},32,12,100,1,4594109682086698760
33,temporal_iid,baseline,{},32,13,100,1,10673581762828974748
34,temporal_iid,baseline,{},32,14,100,1,12407932891066835233
35,temporal_iid,baseline,{},32,15,100,1,3256393296960833477
36,temporal_iid,baseline,{},32,16,100,1,613733536856289201
37,temporal_iid,baseline,{},32,17,100,1,4846115219941521000
38,temporal_iid,baseline,{},32,18,100,1,17809978814749978940
39,temporal_iid,baseline,{},32,19,100,1,13699808849086261124
40,temporal_iid,baseline,{},64,0,100,1,6442941982118463710
41,temporal_iid,baseline,{},64,1,100,1,1370136533500667890
42,temporal_iid,baseline,{},64,2,100,1,9130189218097775082
43,temporal_iid,baseline,{},64,3,100,1,13319944054809896858
44,temporal_iid,baseline,{},64,4,100,1,14924822794658704803
45,temporal_iid,baseline,{},64,5,100,1,5036418865162722716
46,temporal_iid,baseline,{},64,6,100,1,15583748976522368201
47,temporal_iid,baseline,{},64,7,100,1,8822163943103879272
48,temporal_iid,baseline,{},64,8,100,1,5842629048040085908
49,temporal_iid,baseline,{},64,9,100,1,15095918246979350399
50,temporal_iid,baseline,{},64,10,100,1,4195150892181134283
51,temporal_iid,baseline,{},64,11,100,1,18351389750995014355
52,temporal_iid,baseline,{},64,12,100,1,10266553171720508004
53,temporal_iid,baseline,{},64,13,100,1,5771468801247201800
54,temporal_iid,baseline,{},64,14,100,1,792552867992060267
55,temporal_iid,baseline,{},64,15,100,1,857440309457770682
56,temporal_iid,baseline,{},64,16,100,1,4913270112898172161
57,temporal_iid,baseline,{},64,17,100,1,13247263318450745647
58,temporal_iid,baseline,{},64,18,100,1,4389459987398349514
59,temporal_iid,baseline,{},64,19,100,1,11310751970359928098
60,temporal_iid,baseline,{},128,0,100,1,8441566439015712252
61,temporal_iid,baseline,{},128,1,100,1,9691791866104881200
62,temporal_iid,baseline,{},128,2,100,1,9105153745161942947
63,temporal_iid,baseline,{},128,3,100,1,5878349487149270295
64,temporal_iid,baseline,{},128,4,100,1,13659472145657164270
65,temporal_iid,baseline,{},128,5,100,1,6407447086598742703
66,temporal_iid,baseline,{},128,6,100,1,8673718119449624739
67,temporal_iid,baseline,{},128,7,100,1,997986358745382094
68,temporal_iid,baseline,{},128,8,100,1,7636218911682845035
69,temporal_iid,baseline,{},128,9,100,1,7456957199893594665
70,temporal_iid,baseline,{},128,10,100,1,16397267608041586225
71,temporal_iid,baseline,{},128,11,100,1,11253094364343250119
72,temporal_iid,baseline,{},128,12,100,1,18279458001655261104
73,temporal_iid,baseline,{},128,13,100,1,9239077099256920405
74,temporal_iid,baseline,{},128,14,100,1,17850481671845964400
75,temporal_iid,baseline,{},128,15,100,1,17296687925970080744
76,temporal_iid,baseline,{},128,16,100,1,5865416517364501159
77,temporal_iid,baseline,{},128,17,100,1,2972742260920885038
78,temporal_iid,baseline,{},128,18,100,1,18125369570958514867
79,temporal_iid,baseline,{},128,19,100,1,13333555140547316587
80,temporal_iid,baseline,{},256,0,100,1,3980488094625404790
81,temporal_iid,baseline,{},256,1,100,1,15640336241142990030
82,temporal_iid,baseline,{},256,2,100,1,13019204162668504177
83,temporal_iid,baseline,{},256,3,100,1,5569381815264280883
84,temporal_iid,baseline,{},256,4,100,1,2580297858228201048
85,temporal_iid,baseline,{},256,5,100,1,18231995142315691386
86,temporal_iid,baseline,{},256,6,100,1,13254604099482799013
87,temporal_iid,baseline,{},256,7,100,1,17038222255718159838
88,temporal_iid,baseline,{},256,8,100,1,11817891002369565667
89,temporal_iid,baseline,{},256,9,100,1,10977599779680289440
90,temporal_iid,baseline,{},256,10,100,1,6668128742389468464
91,temporal_iid,baseline,{},256,11,100,1,3135589286257336555
92,temporal_iid,baseline,{},256,12,100,1,10039626234516152292
93,temporal_iid,baseline,{},256,13,100,1,1414041743835130933
94,temporal_iid,baseline,{},256,14,100,1,335530448670070447
95,temporal_iid,baseline,{},256,15,100,1,11429906939185944831
96,temporal_iid,baseline,{},256,16,100,1,13782626852461657607
97,temporal_iid,baseline,{},256,17,100,1,10290392284115830246
98,temporal_iid,baseline,{},256,18,100,1,11623963746748305032
99,temporal_iid,baseline,{},256,19,100,1,13660765526397378947
100,temporal_iid,baseline,{},512,0,100,1,5342481256159827040
101,temporal_iid,baseline,{},512,1,100,1,5066541962742377573
102,temporal_iid,baseline,{},512,2,100,1,16117059522936939907
103,temporal_iid,baseline,{},512,3,100,1,17462851981860736965
104,temporal_iid,baseline,{},512,4,100,1,9209270949304651332
105,temporal_iid,baseline,{},512,5,100,1,10835642116528980492
106,temporal_iid,baseline,{},512,6,100,1,15503985893655631290
107,temporal_iid,baseline,{},512,7,100,1,6108485029791197401
108,temporal_iid,baseline,{},512,8,100,1,8932472727761519074
109,temporal_iid,baseline,{},512,9,100,1,13460988026143368990
110,temporal_iid,baseline,{},1024,0,100,1,864342428167180261
111,temporal_iid,baseline,{},1024,1,100,1,136921001200614228
112,temporal_iid,baseline,{},1024,2,100,1,9024677400346773452
113,temporal_iid,baseline,{},1024,3,100,1,17124193454535437496
114,temporal_iid,baseline,{},1024,4,100,1,15612516393718367686
115,temporal_iid,gamma,"{""shape"":0.5}",16,0,100,1,6725845996336856798
116,temporal_iid,gamma,"{""shape"":0.5}",16,1,100,1,6164670109252670889
117,temporal_iid,gamma,"{""shape"":0.5}",16,2,100,1,17276166294827750190
118,temporal_iid,gamma,"{""shape"":0.5}",16,3,100,1,6435997008535778239
119,temporal_iid,gamma,"{""shape"":0.5}",16,4,100,1,15310958152427904885
120,temporal_iid,gamma,"{""shape"":0.5}",16,5,100,1,418166564771132256
121,temporal_iid,gamma,"{""shape"":0.5}",16,6,100,1,17339864570880194201
122,temporal_iid,gamma,"{""shape"":0.5}",16,7,100,1,17558559004011570616
123,temporal_iid,gamma,"{""shape"":0.5}",16,8,100,1,7134435556593963995
124,temporal_iid,gamma,"{""shape"":0.5}",16,9,100,1,837499322918196009
125,temporal_iid,gamma,"{""shape"":0.5}",16,10,100,1,16129737730091255393
126,temporal_iid,gamma,"{""shape"":0.5}",16,11,100,1,18160292222483062890
127,temporal_iid,gamma,"{""shape"":0.5}",16,12,100,1,14645146758937196651
128,temporal_iid,gamma,"{""shape"":0.5}",16,13,100,1,16585479886212723041
129,temporal_iid,gamma,"{""shape"":0.5}",16,14,100,1,2815050326136741656
130,temporal_iid,gamma,"{""shape"":0.5}",16,15,100,1,18019028660001492313
131,temporal_iid,gamma,"{""shape"":0.5}",16,16,100,1,2539210454324484326
132,temporal_iid,gamma,"{""shape"":0.5}",16,17,100,1,16402961365677623951
133,temporal_iid,gamma,"{""shape"":0.5}",16,18,100,1,16682909096152999417
134,temporal_iid,gamma,"{""shape"":0.5}",16,19,100,1,2028704169226563653
135,temporal_iid,gamma,"{""shape"":0.5}",32,0,100,1,4982291542435190777
136,temporal_iid,gamma,"{""shape"":0.5}",32,1,100,1,11269396407193187028
137,temporal_iid,gamma,"{""shape"":0.5}",32,2,100,1,12741204656289576741
138,temporal_iid,gamma,"{""shape"":0.5}",32,3,100,1,16403849263439176526
139,temporal_iid,gamma,"{""shape"":0.5}",32,4,100,1,8319597465992583931
140,temporal_iid,gamma,"{""shape"":0.5}",32,5,100,1,13313145834431242056
141,temporal_iid,gamma,"{""shape"":0.5}",32,6,100,1,5725999029392690540
142,temporal_iid,gamma,"{""shape"":0.5}",32,7,100,1,16486343482470764650
143,temporal_iid,gamma,"{""shape"":0.5}",32,8,100,1,7868488264744634934
144,temporal_iid,gamma,"{""shape"":0.5}",32,9,100,1,10242209512818306693
145,temporal_iid,gamma,"{""shape"":0.5}",32,10,100,1,9528646348911272658
146,temporal_iid,gamma,"{""shape"":0.5}",32,11,100,1,12252228437585657603
147,temporal_iid,gamma,"{""shape"":0.5}",32,12,100,1,5818223814723650845
148,temporal_iid,gamma,"{""shape"":0.5}",32,13,100,1,18184514952298098891
149,temporal_iid,gamma,"{""shape"":0.5}",32,14,100,1,8168513797152863603
150,temporal_iid,gamma,"{""shape"":0.5}",32,15,100,1,14461447753791788169
151,temporal_iid,gamma,"{""shape"":0.5}",32,16,100,1,10591538279279080055
152,temporal_iid,gamma,"{""shape"":0.5}",32,17,100,1,3006377485621985283
153,temporal_iid,gamma,"{""shape"":0.5}",32,18,100,1,7670685344050036463
154,temporal_iid,gamma,"{""shape"":0.5}",32,19,100,1,14082295263813130129
155,temporal_iid,gamma,"{""shape"":0.5}",64,0,100,1,109059404020745817
156,temporal_iid,gamma,"{""shape"":0.5}",64,1,100,1,9596454198822504079
157,temporal_iid,gamma,"{""shape"":0.5}",64,2,100,1,948901408052579112
158,temporal_iid,gamma,"{""shape"":0.5}",64,3,100,1,10546939768127240622
159,temporal_iid,gamma,"{""shape"":0.5}",64,4,100,1,6911243058904915093
160,temporal_iid,gamma,"{""shape"":0.5}",64,5,100,1,6130329091659082316
161,temporal_iid,gamma,"{""shape"":0.5}",64,6,100,1,6969591489587084046
162,temporal_iid,gamma,"{""shape"":0.5}",64,7,100,1,15334081351224546313
163,temporal_iid,gamma,"{""shape"":0.5}",64,8,100,1,4552565483870931193
164,temporal_iid,gamma,"{""shape"":0.5}",64,9,100,1,1931938329555170037
165,temporal_iid,gamma,"{""shape"":0.5}",64,10,100,1,8387206376022765354
166,temporal_iid,gamma,"{""shape"":0.5}",64,11,100,1,1336122519817385693
167,temporal_iid,gamma,"{""shape"":0.5}",64,12,100,1,12909333977114234461
168,temporal_iid,gamma,"{""shape"":0.5}",64,13,100,1,10255963627951574667
169,temporal_iid,gamma,"{""shape"":0.5}",64,14,100,1,2713260895997692605
170,temporal_iid,gamma,"{""shape"":0.5}",64,15,100,1,11802587678155202020
171,temporal_iid,gamma,"{""shape"":0.5}",64,16,100,1,658464811635498141
