task_id,environment_model,distribution,distribution_params,L,batch_id,num_environments,walks_per_environment,base_seed
0,temporal_iid,baseline,{},16,0,100,1,3487654125812608894
1,temporal_iid,baseline,{},32,0,100,1,3667304481584017841
2,temporal_iid,baseline,{},64,0,100,1,18102888098245635550
3,temporal_iid,gamma,"{""shape"":0.5}",16,0,100,1,13968010611998987012
4,temporal_iid,gamma,"{""shape"":0.5}",32,0,100,1,5764009262554455201
5,temporal_iid,gamma,"{""shape"":0.5}",64,0,100,1,9722223619294593300
6,temporal_iid,lognormal,"{""sigma"":1.0}",16,0,100,1,3869969884879810587
7,temporal_iid,lognormal,"{""sigma"":1.0}",32,0,100,1,2169738996145776353
8,temporal_iid,lognormal,"{""sigma"":1.0}",64,0,100,1,14029786950631590212
9,temporal_iid,pareto,"{""alpha"":2.0}",16,0,100,1,12811919486575768063
10,temporal_iid,pareto,"{""alpha"":2.0}",32,0,100,1,1541460082132082736
11,temporal_iid,pareto,"{""alpha"":2.0}",64,0,100,1,133227605877093051
