environment_model,distribution,distribution_params,L,log_L,log_log_L,observations,environments,walks_per_environment_min,walks_per_environment_max,mean_winding,annealed_variance,annealed_variance_se,mean_exit_x_over_L,mean_exit_y_over_L,mean_raw_walk_length,mean_loop_erased_path_length,mean_runtime,total_raw_steps,total_north_steps,total_east_steps,total_south_steps,total_west_steps,north_step_frequency,east_step_frequency,south_step_frequency,west_step_frequency
temporal_iid,gamma,"{""shape"":0.5}",16,2.772588722239781,1.0197814405382262,2000,2000,1,1,-0.02,1.921560780390197,0.06810079148869634,-0.02778125,0.01759375,302.261,40.37,5.4110501194372776e-5,604522,151436,150662,150873,151551,0.25050535795223333,0.2492250075266078,0.24957404362454966,0.2506955908966092
temporal_iid,gamma,"{""shape"":0.5}",32,3.4657359027997265,1.242924991852436,2000,2000,1,1,0.0505,2.491195347673842,0.09105863478092512,-0.000234375,0.007359375,1200.182,96.493,0.00021481250156648457,2400364,600258,600152,599787,600167,0.25006957278146147,0.2500254128123901,0.2498733525415312,0.2500316618646172
temporal_iid,gamma,"{""shape"":0.5}",64,4.1588830833596715,1.4252465486463906,2000,2000,1,1,-0.013,3.001331665832919,0.0999067634778383,-0.00596875,-0.017375,4990.921,231.572,0.000973954497370869,9981842,2495633,2493794,2497857,2494558,0.25001728137952894,0.24983304684646382,0.2502400859480645,0.24990958582594275
temporal_iid,gamma,"{""shape"":0.5}",128,4.852030263919617,1.5793972284736488,2000,2000,1,1,-0.034,3.766727363681842,0.13306586420895686,0.005484375,0.004046875,19253.396,550.772,0.003879309000330977,38506792,9623662,9630954,9622626,9629550,0.24992115676631801,0.2501105259560443,0.2498942524217546,0.25007406485588307
temporal_iid,gamma,"{""shape"":0.5}",256,5.545177444479562,1.7129286210981716,2000,2000,1,1,0.0435,4.405810655327665,0.1466097524517873,0.013841796875,-0.012107421875,78334.739,1317.645,0.01760189599986188,156669478,39159442,39175741,39165641,39168654,0.24994939984417386,0.25005343414752423,0.24998896721925631,0.25000819878904557
temporal_iid,gamma,"{""shape"":0.5}",512,6.238324625039508,1.830711656754555,1000,1000,1,1,-0.033,4.554465465465464,0.20214547681907158,0.01451953125,-0.001328125,310682.996,3174.066,0.08258865000447259,310682996,77673970,77670905,77674650,77663471,0.2500103674808131,0.25000050211953023,0.25001255620697055,0.2499765741926861
temporal_iid,gamma,"{""shape"":0.5}",1024,6.931471805599453,1.9360721724123813,500,500,1,1,0.066,5.436517034068137,0.34828333369263625,0.026,-0.02491015625,1.205902424e6,7449.172,0.7767212820053101,602951212,150721694,150754191,150734448,150740879,0.2499732830788306,0.250027179645175,0.2499944357023699,0.2500051015736245
temporal_iid,gamma,"{""shape"":0.5}",2048,7.6246189861593985,2.0313823522167063,100,100,1,1,-0.12,5.096565656565656,0.6976633068695566,0.0732080078125,-0.087431640625,4.68230843e6,18019.05,0.7885401699878275,468230843,117050481,117063484,117068387,117048491,0.24998455943236528,0.25001232992248656,0.25002280125318443,0.24998030939196375
temporal_iid,gamma,"{""shape"":0.5}",4096,8.317766166719343,2.118393729206336,100,100,1,1,-0.36,6.353939393939394,1.0102018502876966,0.0448779296875,-0.02331298828125,1.870621973e7,40335.71,3.4498437999840825,1870621973,467641705,467673698,467651254,467655316,0.24999262905589745,0.2500097319235328,0.24999773377515008,0.24999990524541968
temporal_iid,gamma,"{""shape"":0.5}",5000,8.517193191416238,2.1420868489375264,100,100,1,1,-0.47,6.5344444444444445,0.9868661613319599,0.05453,-0.024770000000000007,3.017752612e7,53981.72,6.041337109988089,3017752612,754456924,754426822,754469309,754399557,0.2500062201917829,0.24999624521905642,0.25001032423926206,0.24998721034989863
temporal_iid,gamma,"{""shape"":0.5}",8192,9.010913347279288,2.1984364368798723,100,100,1,1,-0.2,9.07070707070707,1.3807848160796008,0.11614501953125,0.092969970703125,7.628491013e7,101429.95,20.23634570998838,7628491013,1907153015,1907178145,1907076854,1907082999,0.25000396693788435,0.2500072611673666,0.24999398318095653,0.24999478871379252
