distribution,distribution_params,variance_kind,model,intercept,coefficient,n_sizes,sse,r2,aic,bic
baseline,{},annealed,a_plus_b_log_L,-0.6763685485721638,0.8986572962984327,10,1.01605699826454,0.9692351949619475,-18.866556447572638,-18.261386261584548
baseline,{},annealed,a_plus_b_log_L_squared,1.7083296341963883,0.07523869297350028,10,1.1810517834630527,0.9642393803495807,-17.361797096079414,-16.75662691009132
bernoulli,"{""a"":0.8}",annealed,a_plus_b_log_L,-0.1666018777474907,0.8041180667749296,9,0.2031088784091999,0.9892209520952435,-30.12113906794201,-29.72668991326957
bernoulli,"{""a"":0.8}",annealed,a_plus_b_log_L_squared,1.8950111658031705,0.07061037365264689,9,0.810579010844342,0.9569823335301054,-17.665079322352742,-17.270630167680302
beta,"{""a"":0.5}",annealed,a_plus_b_log_L,-0.11302500663962967,0.7614067746304912,9,0.2851065417464905,0.9832264461262258,-27.069052236957937,-26.674603082285497
beta,"{""a"":0.5}",annealed,a_plus_b_log_L_squared,1.8421282030571646,0.06677019310037126,9,0.8730916910449058,0.9486337618674912,-16.996453485441826,-16.602004330769386
exponential,{},annealed,a_plus_b_log_L,-0.5534550565619583,0.8819185083693752,9,0.14120902952362804,0.9937414061689103,-33.39264726352589,-32.99819810885345
exponential,{},annealed,a_plus_b_log_L_squared,1.6809620862361943,0.07822739343812636,9,0.42978587528472945,0.980951251936078,-23.375234624993062,-22.980785470320622
gamma,"{""shape"":0.5}",annealed,a_plus_b_log_L,-0.27225634238047913,0.8173910485875275,9,0.1853925726146185,0.9904661124522455,-30.94253838859015,-30.54808923391771
gamma,"{""shape"":0.5}",annealed,a_plus_b_log_L_squared,1.8180523529578148,0.07193298706005594,9,0.7314286458351883,0.9623859879592113,-18.589821670510926,-18.195372515838486
gamma,"{""shape"":1.0}",annealed,a_plus_b_log_L,-0.7066105227884298,0.899421228252322,10,0.4883054006618922,0.9849998176084539,-26.193993408388845,-25.588823222400755
gamma,"{""shape"":1.0}",annealed,a_plus_b_log_L_squared,1.6742763153740854,0.07545361026034843,10,0.5255547158987055,0.9838555613259,-25.458860654834396,-24.853690468846303
gamma,"{""shape"":2.0}",annealed,a_plus_b_log_L,-0.658631191555922,0.894610536360084,9,0.16747501536531373,0.9927932632592084,-31.85731110359408,-31.46286194892164
gamma,"{""shape"":2.0}",annealed,a_plus_b_log_L_squared,1.5987462477822776,0.07962404850013123,9,0.30868254390299327,0.9867168614641759,-26.353998261792807,-25.959549107120367
inverse_gamma,"{""alpha"":2.2}",annealed,a_plus_b_log_L,-0.04028221639610585,0.7580113257418417,9,0.1647245945669899,0.9901529269179462,-32.00634410714042,-31.61189495246798
inverse_gamma,"{""alpha"":2.2}",annealed,a_plus_b_log_L_squared,1.9001139248246095,0.06665027979457948,9,0.6618508223371564,0.9604352134901086,-19.48945702709009,-19.09500787241765
lognormal,"{""sigma"":0.5}",annealed,a_plus_b_log_L,-0.1949955202077076,0.7946093256216821,9,0.31426070182452437,0.9830274831658322,-26.192812588682997,-25.798363434010557
lognormal,"{""sigma"":0.5}",annealed,a_plus_b_log_L_squared,1.8398288653616452,0.06984638363533512,9,0.8716052118311622,0.9529265541486222,-17.01178946287006,-16.61734030819762
lognormal,"{""sigma"":1.0}",annealed,a_plus_b_log_L,-0.3043311615286761,0.8154178484469855,9,0.06276614294640256,0.9967360536612371,-40.690076479534895,-40.29562732486246
lognormal,"{""sigma"":1.0}",annealed,a_plus_b_log_L_squared,1.7719655751555856,0.07202341509278383,9,0.46884370006959564,0.9756193290449444,-22.59239364975175,-22.19794449507931
pareto,"{""alpha"":2.0}",annealed,a_plus_b_log_L,-0.4602443546112909,0.8560903802885451,9,0.17243522583179052,0.9919043009174342,-31.594623735110304,-31.200174580437864
pareto,"{""alpha"":2.0}",annealed,a_plus_b_log_L_squared,1.691700170607115,0.07643813470649741,9,0.1678540326995823,0.9921193843544673,-31.836965968087696,-31.442516813415256
pareto,"{""alpha"":3.0}",annealed,a_plus_b_log_L,0.023153411027829307,0.7216490652768883,9,0.10050520865539353,0.9933497727380175,-36.45293272470832,-36.05848357003588
pareto,"{""alpha"":3.0}",annealed,a_plus_b_log_L_squared,1.8674622269953862,0.06354154331528672,9,0.5104239858306402,0.96622627273598,-21.827643180887115,-21.433194026214675
triangular,"{""a"":0.8}",annealed,a_plus_b_log_L,-0.2307424393289148,0.7891289801349809,9,0.2550003019722714,0.9859939145634208,-28.073436142600805,-27.678986987928365
triangular,"{""a"":0.8}",annealed,a_plus_b_log_L_squared,1.7654389813805862,0.07008947604588052,9,0.4391098643956891,0.9758815568875698,-23.182071925736352,-22.787622771063912
uniform,"{""a"":0.7}",annealed,a_plus_b_log_L,-0.4666325830438849,0.8514769781232823,9,0.1446751972833324,0.993125356828857,-33.17439780705437,-32.77994865238193
uniform,"{""a"":0.7}",annealed,a_plus_b_log_L_squared,1.6842820817569177,0.07571498838750243,9,0.31094672272827106,0.9852245042403032,-26.28822441532711,-25.89377526065467
weibull,"{""shape"":0.7}",annealed,a_plus_b_log_L,-0.11595548252380095,0.7750241629296069,9,0.0276389369266745,0.9984063387732358,-48.07178887610164,-47.677339721429206
weibull,"{""shape"":0.7}",annealed,a_plus_b_log_L_squared,1.8603333158701654,0.06837172540946128,9,0.43596880593865717,0.9748620367003854,-23.24668245387003,-22.85223329919759
