distribution,distribution_params,variance_kind,L_left,L_right,L_mid_geometric,p_local
baseline,{},annealed,16,32,22.627416997969522,1.1586432952838628
baseline,{},annealed,32,64,45.254833995939045,1.1524986296606043
baseline,{},annealed,64,128,90.50966799187809,1.046637104725672
baseline,{},annealed,128,256,181.01933598375618,1.2142056854846597
baseline,{},annealed,256,512,362.03867196751236,0.6087774087523481
baseline,{},annealed,512,1024,724.0773439350247,1.7053145217653924
baseline,{},annealed,1024,2048,1448.1546878700494,-0.017039707023058133
baseline,{},annealed,2048,4096,2896.309375740099,3.2153187269653993
baseline,{},annealed,4096,8192,5792.618751480198,-1.2772379151265851
bernoulli,"{""a"":0.8}",annealed,16,32,22.627416997969522,0.7162573861215332
bernoulli,"{""a"":0.8}",annealed,32,64,45.254833995939045,1.3034293722281436
bernoulli,"{""a"":0.8}",annealed,64,128,90.50966799187809,1.438291089793327
bernoulli,"{""a"":0.8}",annealed,128,256,181.01933598375618,0.40348997909151135
bernoulli,"{""a"":0.8}",annealed,256,512,362.03867196751236,1.6198085502170367
bernoulli,"{""a"":0.8}",annealed,512,1024,724.0773439350247,1.4097277926338234
bernoulli,"{""a"":0.8}",annealed,1024,2048,1448.1546878700494,-0.13855135136839053
bernoulli,"{""a"":0.8}",annealed,2048,4096,2896.309375740099,1.7098170587495687
beta,"{""a"":0.5}",annealed,16,32,22.627416997969522,1.4375588193666626
beta,"{""a"":0.5}",annealed,32,64,45.254833995939045,0.8980046435087389
beta,"{""a"":0.5}",annealed,64,128,90.50966799187809,0.9685024404732936
beta,"{""a"":0.5}",annealed,128,256,181.01933598375618,1.3739813349416763
beta,"{""a"":0.5}",annealed,256,512,362.03867196751236,1.0411339972942497
beta,"{""a"":0.5}",annealed,512,1024,724.0773439350247,1.1092806971125926
beta,"{""a"":0.5}",annealed,1024,2048,1448.1546878700494,2.344518360823604
beta,"{""a"":0.5}",annealed,2048,4096,2896.309375740099,-1.2192805924350418
exponential,{},annealed,16,32,22.627416997969522,1.0609083915564963
exponential,{},annealed,32,64,45.254833995939045,1.3600149397170889
exponential,{},annealed,64,128,90.50966799187809,0.9804166211655574
exponential,{},annealed,128,256,181.01933598375618,0.8099085188806987
exponential,{},annealed,256,512,362.03867196751236,1.2668028755754421
exponential,{},annealed,512,1024,724.0773439350247,1.2863925123733952
exponential,{},annealed,1024,2048,1448.1546878700494,0.6688058233122686
exponential,{},annealed,2048,4096,2896.309375740099,1.5573558356931922
gamma,"{""shape"":0.5}",annealed,16,32,22.627416997969522,1.2064543421984146
gamma,"{""shape"":0.5}",annealed,32,64,45.254833995939045,1.0061080564061895
