distribution,distribution_params,variance_kind,fit_min_L,n_sizes,L_values,intercept_log_C,p,p_se,p_ci_low,p_ci_high,p_bootstrap_ci_low,p_bootstrap_ci_high,r2,sse,aic,bic
baseline,{},annealed,,8,32 64 128 256 512 1024 2048 4096,-0.31699377236679194,1.0085075398830292,0.04301358058455496,0.9242009219373015,1.092814157828757,0.8941640910552205,1.1027279004819222,0.9892033328053462,0.007184653751202122,-52.12199594239914,-51.96311285903947
bernoulli,"{""a"":0.8}",annealed,,8,32 64 128 256 512 1024 2048 4096,-0.3133334309807285,1.0348977788941949,0.05937176301021409,0.9185291233941753,1.1512664343942145,0.9168471073243716,1.1366683262708037,0.9806347324171774,0.013688458429848617,-46.96515034611723,-46.80626726275756
beta,"{""a"":0.5}",annealed,,8,32 64 128 256 512 1024 2048 4096,-0.21051512470541955,0.9510332037061281,0.036481057347910704,0.8795303313042231,1.022536076108033,0.8335527941932502,1.0639555643653655,0.9912486044454243,0.0051680830650672515,-54.75755985079129,-54.59867676743162
exponential,{},annealed,,8,32 64 128 256 512 1024 2048 4096,-0.2285000645874149,0.954156113617023,0.06480626371113017,0.8271358367432079,1.0811763904908382,0.8356088981965255,1.0614170966580552,0.9730667371062237,0.016309048278327392,-45.563814062123825,-45.404930978764156
gamma,"{""shape"":0.5}",annealed,,8,32 64 128 256 512 1024 2048 4096,-0.3630055779688055,1.0519978490824056,0.06464418207243615,0.9252952522204307,1.1787004459443804,0.9368841970923489,1.1557632912096851,0.9778460624287493,0.01622757184296162,-45.603880476087504,-45.444997392727835
gamma,"{""shape"":1.0}",annealed,,8,32 64 128 256 512 1024 2048 4096,-0.41540166075567964,1.083554371671712,0.04650784439448667,0.992398996658518,1.174709746684906,0.9644942081071756,1.187334022633052,0.9890672833862784,0.008399376955616147,-50.87231431611231,-50.71343123275264
gamma,"{""shape"":2.0}",annealed,,8,32 64 128 256 512 1024 2048 4096,-0.5272419528269394,1.1434120749650276,0.057587293430489364,1.0305409798412684,1.2562831700887869,1.0260655956705966,1.2574566414502717,0.9850087065311199,0.01287798710128959,-47.45341914523747,-47.2945360618778
inverse_gamma,"{""alpha"":2.2}",annealed,,8,32 64 128 256 512 1024 2048 4096,-0.41114594401083204,1.0819376658871804,0.04682872864206881,0.9901533577487256,1.1737219740256353,0.9508714877559313,1.1930312228777025,0.9888848019189524,0.008515681022145963,-50.762300245061,-50.60341716170133
lognormal,"{""sigma"":0.5}",annealed,,8,32 64 128 256 512 1024 2048 4096,-0.27983584385247307,0.9940227687089694,0.0931854322101454,0.8113793215770845,1.1766662158408545,0.876311585093694,1.101425109293642,0.9499115270672557,0.03372024323687074,-39.75278779299204,-39.59390470963237
lognormal,"{""sigma"":1.0}",annealed,,8,32 64 128 256 512 1024 2048 4096,-0.42704401621637667,1.092034938820462,0.032137531006647936,1.029045378047432,1.155024499593492,0.9749968574694385,1.1971794913193805,0.9948304555622154,0.004010695292393895,-56.78585763799461,-56.62697455463494
pareto,"{""alpha"":2.0}",annealed,,8,32 64 128 256 512 1024 2048 4096,-0.3899293877624701,1.0598392262027099,0.03500648970132715,0.9912265063881087,1.128451946017311,0.9546714266912941,1.166473374875665,0.9934966845355128,0.004758737822703507,-55.41771480702584,-55.25883172366617
pareto,"{""alpha"":3.0}",annealed,,8,32 64 128 256 512 1024 2048 4096,-0.4332177656294576,1.0992421216690125,0.05238149212333535,0.9965743971072751,1.2019098462307498,0.9873395328231346,1.2059610351772967,0.9865586415481589,0.010654924625947113,-48.969397033528956,-48.81051395016929
triangular,"{""a"":0.8}",annealed,,8,32 64 128 256 512 1024 2048 4096,-0.1676070783711232,0.9356834993216291,0.07183210032759904,0.794892582679535,1.0764744159637232,0.8134602158479108,1.0440463287732784,0.9658462468209202,0.020036957692411064,-43.91694694180652,-43.75806385844685
uniform,"{""a"":0.7}",annealed,,8,32 64 128 256 512 1024 2048 4096,-0.3898020308051462,1.0572549008802619,0.028811357682704115,1.0007846398221618,1.113725161938362,0.947316103506945,1.1545271898086307,0.9955640312075329,0.00322345861730843,-58.53393546231411,-58.37505237895444
weibull,"{""shape"":0.7}",annealed,,8,32 64 128 256 512 1024 2048 4096,-0.4294920644634923,1.1064706925551027,0.04359648097302689,1.02102158984797,1.1919197952622353,0.9757139858018984,1.2155858850623988,0.9907711488351197,0.007380699461077604,-51.90662726893553,-51.74774418557586
baseline,{},quenched,,8,32 64 128 256 512 1024 2048 4096,-0.27213714025888414,0.9769089128252528,0.04824254309975203,0.8823535283497388,1.0714642973007669,0.8691334349356996,1.0776529460664692,0.9855790144637504,0.009037640000928599,-50.28638993747715,-50.127506854117485
bernoulli,"{""a"":0.8}",quenched,,8,32 64 128 256 512 1024 2048 4096,-0.5295032352362468,1.0869270780304225,0.05436756190650909,0.9803666566936647,1.1934874993671805,0.9535533995305981,1.219996764034611,0.9852103091217163,0.01147821528884025,-48.3739672360056,-48.21508415264593
beta,"{""a"":0.5}",quenched,,8,32 64 128 256 512 1024 2048 4096,-0.34904202471290846,0.9707628996650849,0.03713691538451492,0.8979745455114356,1.0435512538187341,0.8385040092563331,1.0827835035426863,0.9912955820312936,0.005355577485949421,-54.472466256505605,-54.313583173145936
exponential,{},quenched,,8,32 64 128 256 512 1024 2048 4096,-0.45848598301341137,1.0264904947765874,0.06385543349928507,0.9013338451179886,1.1516471444351861,0.9053861024595801,1.1532495720787383,0.9773082154891607,0.01583398999008059,-45.800303408733996,-45.64142032537433
gamma,"{""shape"":0.5}",quenched,,8,32 64 128 256 512 1024 2048 4096,-0.6419066817310071,1.1076575019391117,0.04012084667502599,1.0290206424560608,1.1862943614221626,0.983296816911682,1.2215859759056245,0.9921895672220848,0.00625078886371238,-53.23591317347623,-53.07703009011656
gamma,"{""shape"":1.0}",quenched,,8,32 64 128 256 512 1024 2048 4096,-0.5292499812220406,1.0936885454568606,0.05079062788972781,0.9941389147929941,1.1932381761207271,0.9749054252737528,1.2013029228833956,0.9872253971853535,0.010017556819279613,-49.46286068118351,-49.30397759782384
gamma,"{""shape"":2.0}",quenched,,8,32 64 128 256 512 1024 2048 4096,-0.5814584334151947,1.137967593968494,0.04890351050258465,1.042116713383428,1.2338184745535599,1.013351610019941,1.2516228961929177,0.9890406281087655,0.009286984536763594,-50.06866330328445,-49.909780219924784
inverse_gamma,"{""alpha"":2.2}",quenched,,8,32 64 128 256 512 1024 2048 4096,-0.5277858044084769,1.1157742055312345,0.0648612932719297,0.9886460707182523,1.2429023403442168,0.9691015403906814,1.2461217680601484,0.9801275048131842,0.016336757353196847,-45.55023359456296,-45.39135051120329
