distribution,distribution_params,variance_kind,L,variance,log_variance,log_log_L,log_variance_over_log_log_L
baseline,{},annealed,16,1.9349658331666326,0.6600896690476276,1.0197814405382262,0.6472854307872494
baseline,{},quenched,16,1.9281111111111113,0.6565408247721475,1.0197814405382262,0.643805426019162
baseline,{},annealed,32,2.4752578915783188,0.9063445892098573,1.242924991852436,0.7292029649022146
baseline,{},quenched,32,2.473622222222222,0.9056835631279787,1.242924991852436,0.7286711338696006
baseline,{},annealed,64,3.046885217043412,1.1141198284844958,1.4252465486463906,0.7817032284993896
baseline,{},quenched,64,3.0698222222222222,1.1216196518514314,1.4252465486463906,0.7869653520064126
baseline,{},annealed,128,3.662384916983396,1.298114551865449,1.5793972284736488,0.8219050460915174
baseline,{},quenched,128,3.6006444444444443,1.2811128417869453,1.5793972284736488,0.8111403633556014
baseline,{},annealed,256,4.208441528305661,1.4370923958592199,1.7129286210981716,0.8389680563209277
baseline,{},quenched,256,4.187466666666667,1.4320959369204975,1.7129286210981716,0.836051146137292
baseline,{},annealed,512,4.78520328065613,1.565528506898288,1.830711656754555,0.8551475056829114
baseline,{},quenched,512,4.774444444444444,1.5632776204506842,1.830711656754555,0.8539179912264436
baseline,{},annealed,1024,5.208032606521303,1.6502021657394537,1.9360721724123813,0.8523453770234566
baseline,{},quenched,1024,5.174022222222223,1.6436503787337835,1.9360721724123813,0.8489613156754199
baseline,{},annealed,2048,5.326108216432868,1.6726208057044487,2.0313823522167063,0.8233904384761608
baseline,{},quenched,2048,5.223,1.6530719494541617,2.0313823522167063,0.8137670132116089
baseline,{},annealed,4096,6.141959919839674,1.8151438964095292,2.118393729206336,0.8568491642436931
baseline,{},quenched,4096,5.9239999999999995,1.7790118964055524,2.118393729206336,0.8397928448702809
baseline,{},annealed,8192,6.896909819639281,1.9310734590612622,2.1984364368798723,0.8783849406180401
baseline,{},quenched,8192,6.979999999999998,1.9430489167742808,2.1984364368798723,0.8838322019134427
bernoulli,"{""a"":0.8}",annealed,16,2.030495659131826,0.7082799303097835,1.0197814405382262,0.6945409105856677
bernoulli,"{""a"":0.8}",quenched,16,1.8059333333333334,0.5910775403230533,1.0197814405382262,0.5796119803975751
bernoulli,"{""a"":0.8}",annealed,32,2.6790832916458225,0.9854746806524518,1.242924991852436,0.792867379055365
bernoulli,"{""a"":0.8}",quenched,32,2.331277777777778,0.8464165197396561,1.242924991852436,0.6809876101036235
bernoulli,"{""a"":0.8}",annealed,64,3.132373936968488,1.1417911633928128,1.4252465486463906,0.801118349998612
bernoulli,"{""a"":0.8}",quenched,64,2.7166111111111118,0.9993851884778093,1.4252465486463906,0.7012016197667431
bernoulli,"{""a"":0.8}",annealed,128,3.9029692346173133,1.3617376056712063,1.5793972284736488,0.8621881697153592
bernoulli,"{""a"":0.8}",quenched,128,3.355277777777778,1.210534562161077,1.5793972284736488,0.7664535180493853
bernoulli,"{""a"":0.8}",annealed,256,4.017046273136568,1.3905468746378005,1.7129286210981716,0.811794991052406
bernoulli,"{""a"":0.8}",quenched,256,3.5578333333333334,1.2691517453509074,1.7129286210981716,0.7409250623281923
bernoulli,"{""a"":0.8}",annealed,512,4.938563031515758,1.5970744045762337,1.830711656754555,0.8723790000919598
bernoulli,"{""a"":0.8}",quenched,512,4.441166666666668,1.4909171046908078,1.830711656754555,0.814392096750983
bernoulli,"{""a"":0.8}",annealed,1024,5.370244122061034,1.6808733678340444,1.9360721724123813,0.8681873495137558
bernoulli,"{""a"":0.8}",quenched,1024,4.616111111111111,1.529552599780725,1.9360721724123813,0.7900287094539842
bernoulli,"{""a"":0.8}",annealed,2048,6.412729458917834,1.858284992923798,2.0313823522167063,0.9147883907212154
bernoulli,"{""a"":0.8}",quenched,2048,5.654000000000001,1.7323632592713987,2.0313823522167063,0.8528001916433857
bernoulli,"{""a"":0.8}",annealed,4096,6.289523046092185,1.8388852405069755,2.118393729206336,0.86805640290293
bernoulli,"{""a"":0.8}",quenched,4096,5.8649999999999975,1.7690024821054384,2.118393729206336,0.8350678430152839
beta,"{""a"":0.5}",annealed,16,2.003866213242648,0.6950784211351216,1.0197814405382262,0.6815954806632577
beta,"{""a"":0.5}",quenched,16,1.7990666666666668,0.5872680119063856,1.0197814405382262,0.5758763481677347
beta,"{""a"":0.5}",annealed,32,2.625256628314157,0.9651786544323779,1.242924991852436,0.7765381344483955
beta,"{""a"":0.5}",quenched,32,2.3561111111111113,0.8570124255903347,1.242924991852436,0.6895125862044633
beta,"{""a"":0.5}",annealed,64,3.1944362181090553,1.1614106147031806,1.4252465486463906,0.8148840043192634
beta,"{""a"":0.5}",quenched,64,2.857777777777778,1.0500443220331994,1.4252465486463906,0.7367457392059398
beta,"{""a"":0.5}",annealed,128,3.4888221610805417,1.2495641895901475,1.5793972284736488,0.7911652414369141
beta,"{""a"":0.5}",quenched,128,3.157944444444445,1.149921323672517,1.5793972284736488,0.7280760678450834
beta,"{""a"":0.5}",annealed,256,4.291435467733872,1.4566212848345725,1.7129286210981716,0.8503689335873912
beta,"{""a"":0.5}",quenched,256,3.8169444444444447,1.339450218887573,1.7129286210981716,0.7819649939813845
beta,"{""a"":0.5}",annealed,512,4.564241870935465,1.5182524259802563,1.830711656754555,0.8293236241647036
beta,"{""a"":0.5}",quenched,512,4.040055555555555,1.396258443253647,1.830711656754555,0.7626861598340958
beta,"{""a"":0.5}",annealed,1024,5.2814157078539345,1.664194188266175,1.9360721724123813,0.8595723919695404
beta,"{""a"":0.5}",quenched,1024,4.833111111111111,1.5754903826899496,1.9360721724123813,0.8137560185717972
beta,"{""a"":0.5}",annealed,2048,5.514933867735469,1.7074596612891393,2.0313823522167063,0.8405407575909614
beta,"{""a"":0.5}",quenched,2048,4.995,1.608437412100517,2.0313823522167063,0.7917945188139205
beta,"{""a"":0.5}",annealed,4096,5.993887775551103,1.790740245921584,2.118393729206336,0.8453292800259994
beta,"{""a"":0.5}",quenched,4096,5.487,1.7023816580768383,2.118393729206336,0.8036190980959153
exponential,{},annealed,16,2.0322526905381073,0.7091448775644985,1.0197814405382262,0.6953890798308919
exponential,{},quenched,16,1.819911111111111,0.5987876598471499,1.0197814405382262,0.5871725411389309
exponential,{},annealed,32,2.487914957478738,0.911444993215069,1.242924991852436,0.7333065142222827
exponential,{},quenched,32,2.2214444444444443,0.7981576349534761,1.242924991852436,0.6421607419478422
exponential,{},annealed,64,3.176507253626815,1.1557822452498825,1.4252465486463906,0.8109349546207087
exponential,{},quenched,64,2.780111111111111,1.022490894929425,1.4252465486463906,0.7174133457123768
exponential,{},annealed,128,3.7386470735367676,1.3187238009372737,1.5793972284736488,0.8349538527503347
exponential,{},quenched,128,3.2886111111111114,1.190465320967435,1.5793972284736488,0.7537466189667288
exponential,{},annealed,256,3.965482741370685,1.3776275983367556,1.7129286210981716,0.8042527758416157
exponential,{},quenched,256,3.4623333333333335,1.2419427355775647,1.7129286210981716,0.7250405651937474
exponential,{},annealed,512,4.775335417708853,1.5634642160120178,1.830711656754555,0.8540199163770512
exponential,{},quenched,512,4.32161111111111,1.4636282751171237,1.830711656754555,0.7994859647705589
exponential,{},annealed,1024,5.262124812406203,1.6605349019122815,1.9360721724123813,0.8576823351803176
