distribution,distribution_params,variance_kind,model,intercept,coefficient,n_sizes,sse,r2,aic,bic
baseline,{},annealed,a_plus_b_log_L,0.078781350339165,0.7261004108272766,8,0.15595781373202672,0.9855524796130812,-27.500890198228117,-27.342007114868444
baseline,{},annealed,a_plus_b_log_L_squared,2.1118519081265004,0.06029074104352587,8,0.46906888004015534,0.9565466965387601,-18.691577577937217,-18.532694494577544
bernoulli,"{""a"":0.8}",annealed,a_plus_b_log_L,-0.16295341668352759,0.8071912641921409,8,0.3696976334960797,0.9726504402654316,-20.596090847092274,-20.4372077637326
bernoulli,"{""a"":0.8}",annealed,a_plus_b_log_L_squared,2.078680662856458,0.06752057352543255,8,0.5668654186289754,0.9580643254823034,-17.176599216185753,-17.01771613282608
beta,"{""a"":0.5}",annealed,a_plus_b_log_L,0.2373430783587711,0.7013128371222954,8,0.10016980426250416,0.990008015617159,-31.042640256746218,-30.883757173386545
beta,"{""a"":0.5}",annealed,a_plus_b_log_L_squared,2.1931887703828292,0.05844255663131058,8,0.3226609473792657,0.9678144210133681,-21.684757978198846,-21.525874894839173
exponential,{},annealed,a_plus_b_log_L,0.28472948819934274,0.6844081157516124,8,0.35503075111490046,0.9637988906517546,-20.919939296633807,-20.761056213274134
exponential,{},annealed,a_plus_b_log_L_squared,2.2005817172242024,0.05684178389546836,8,0.629049861026282,0.9358582243002914,-16.34389037432963,-16.185007290969956
gamma,"{""shape"":0.5}",annealed,a_plus_b_log_L,-0.054530213113910264,0.773763247937677,8,0.5196249546708394,0.9587632007914252,-17.87271608258838,-17.713832999228707
gamma,"{""shape"":0.5}",annealed,a_plus_b_log_L_squared,2.127481402387864,0.06383246596885389,8,1.026507545582807,0.9185376199453328,-12.42623386754439,-12.267350784184718
gamma,"{""shape"":1.0}",annealed,a_plus_b_log_L,-0.49602181416240665,0.8533571636808657,8,0.17413003600595023,0.9882889525452807,-26.61915573755554,-26.46027265419587
gamma,"{""shape"":1.0}",annealed,a_plus_b_log_L_squared,1.8451628256856165,0.07215188607850216,8,0.08070979450296359,0.9945718943430727,-32.77069506756086,-32.61181198420119
gamma,"{""shape"":2.0}",annealed,a_plus_b_log_L,-0.5562551826180266,0.8606719560074259,8,0.40809474737438456,0.9734241237441522,-19.805579594086367,-19.646696510726695
gamma,"{""shape"":2.0}",annealed,a_plus_b_log_L_squared,1.8359743596013884,0.07193843250160338,8,0.6550433657650284,0.9573423781051142,-16.019963039547786,-15.861079956188114
inverse_gamma,"{""alpha"":2.2}",annealed,a_plus_b_log_L,-0.378085937275106,0.8337986883846233,8,0.24242685134721542,0.9830129743298733,-23.971974397736997,-23.813091314377324
inverse_gamma,"{""alpha"":2.2}",annealed,a_plus_b_log_L_squared,1.9217695769616094,0.0701670780767336,8,0.28555196840943986,0.9799911660339184,-22.66218225742494,-22.50329917406527
lognormal,"{""sigma"":0.5}",annealed,a_plus_b_log_L,0.04226740124761896,0.7421605759338167,8,0.818001103710625,0.9314485291969553,-14.24266507824515,-14.083781994885477
lognormal,"{""sigma"":0.5}",annealed,a_plus_b_log_L_squared,2.101048305581118,0.062141471455473586,8,0.963282365788705,0.9192734304710517,-12.93480189687223,-12.775918813512558
lognormal,"{""sigma"":1.0}",annealed,a_plus_b_log_L,-0.4646287308964814,0.8504228108357775,8,0.11525907061594799,0.9921641049568154,-29.920115504449484,-29.76123242108981
lognormal,"{""sigma"":1.0}",annealed,a_plus_b_log_L_squared,1.8809056388818246,0.07157076231741608,8,0.1582074394437693,0.9892442574462263,-27.386317926983725,-27.227434843624053
pareto,"{""alpha"":2.0}",annealed,a_plus_b_log_L,-0.2689476186209685,0.8006727037225096,8,0.09157380403029927,0.9929709354142232,-31.760412576676558,-31.601529493316885
pareto,"{""alpha"":2.0}",annealed,a_plus_b_log_L_squared,1.9492245076614378,0.06711923772422376,8,0.23074314079374036,0.9822885108187976,-24.36713338740077,-24.208250304041098
pareto,"{""alpha"":3.0}",annealed,a_plus_b_log_L,-0.49241241655157975,0.8608829691953224,8,0.33713296693301953,0.9779539304079325,-21.333755259968665,-21.174872176608993
