distribution,distribution_params,L,log_L,log_log_L,observations,environments,walks_per_environment_min,walks_per_environment_max,mean_winding,annealed_variance,annealed_variance_se,quenched_variance,quenched_variance_se,environment_mean_variance,mean_exit_x_over_L,mean_exit_y_over_L,mean_raw_walk_length,mean_loop_erased_path_length,mean_runtime
baseline,{},32,3.4657359027997265,1.242924991852436,5000,500,10,10,-0.0154,2.4752578915783188,0.051653097673940156,2.473622222222222,0.05259206652897158,0.2490008416833668,0.00244375,-0.00068125,1208.9496,97.64,0.005095571678457781
baseline,{},64,4.1588830833596715,1.4252465486463906,5000,500,10,10,-0.0304,3.046885217043412,0.06640141627024156,3.0698222222222222,0.07010382982854294,0.28400384769539083,-0.004009375,-0.00744375,4828.0038,233.2886,0.01892603340263013
baseline,{},128,4.852030263919617,1.5793972284736488,5000,500,10,10,-0.0234,3.662384916983396,0.07969513858367351,3.6006444444444443,0.08353567453823045,0.42191627254508995,-0.002315625,-0.0071140625,19421.3498,554.3182,0.08151919260534923
baseline,{},256,5.545177444479562,1.7129286210981716,5000,500,10,10,-0.0004,4.208441528305661,0.08805778960133014,4.187466666666667,0.09224478885166752,0.43975935871743493,-0.01124296875,-0.00082265625,77719.3796,1311.932,0.404281447867956
baseline,{},512,6.238324625039508,1.830711656754555,5000,500,10,10,-0.0124,4.78520328065613,0.09629807179456824,4.774444444444444,0.10214396092189822,0.4882226853707414,0.014717578125,0.00073515625,310048.0142,3105.1558,2.0533325183579
baseline,{},1024,6.931471805599453,1.9360721724123813,5000,500,10,10,0.003,5.208032606521303,0.10148686849572516,5.174022222222223,0.10691998856423347,0.5514739478957913,0.002258984375,0.01710390625,1.2399043368e6,7458.7796,13.062287323184242
baseline,{},2048,7.6246189861593985,2.0313823522167063,500,100,5,5,0.112,5.326108216432868,0.3372872791023211,5.223,0.3881576660809029,1.1485414141414145,-0.006451171875,-0.002345703125,5.066327476e6,17561.128,0.21964773033199997
baseline,{},4096,8.317766166719343,2.118393729206336,500,100,5,5,0.018,6.141959919839674,0.42631855661974327,5.9239999999999995,0.4157386513936685,1.4045212121212123,-0.0704521484375,0.0023759765625,1.95137193e7,41921.32,0.9453068775980001
bernoulli,"{""a"":0.8}",32,3.4657359027997265,1.242924991852436,2000,200,10,10,0.0525,2.6790832916458225,0.09987416522318165,2.331277777777778,0.08705499613751791,0.5825062814070352,0.034734375,0.001765625,1447.671,99.715,0.006605213338683825
bernoulli,"{""a"":0.8}",64,4.1588830833596715,1.4252465486463906,2000,200,10,10,0.0685,3.132373936968488,0.10679062255170278,2.7166111111111118,0.09832845153761686,0.6893042713567838,0.00865625,-0.045921875,6016.455,238.897,0.02530739723169245
