task_id,environment_model,distribution,distribution_params,L,batch_id,num_environments,walks_per_environment,base_seed
0,site_iid,baseline,{},2048,0,10,5,2502797842639448889
1,site_iid,baseline,{},2048,1,10,5,16795378440973441357
2,site_iid,baseline,{},2048,2,10,5,10952330105118054220
3,site_iid,baseline,{},2048,3,10,5,5238651549802707107
4,site_iid,baseline,{},2048,4,10,5,6829037679158890219
5,site_iid,baseline,{},2048,5,10,5,1284086335897536347
6,site_iid,baseline,{},2048,6,10,5,3619042065180661333
7,site_iid,baseline,{},2048,7,10,5,5688441048435117388
8,site_iid,baseline,{},2048,8,10,5,18185741923926713015
9,site_iid,baseline,{},2048,9,10,5,7136602930651381946
10,site_iid,baseline,{},4096,0,10,5,16400929672403250130
11,site_iid,baseline,{},4096,1,10,5,11616111432023572154
12,site_iid,baseline,{},4096,2,10,5,18199969268183178041
13,site_iid,baseline,{},4096,3,10,5,7160443771397523837
14,site_iid,baseline,{},4096,4,10,5,16171038129819497154
15,site_iid,baseline,{},4096,5,10,5,8157438923114659626
16,site_iid,baseline,{},4096,6,10,5,10862501111733784903
17,site_iid,baseline,{},4096,7,10,5,17320863909095886430
18,site_iid,baseline,{},4096,8,10,5,11990414694439598328
19,site_iid,baseline,{},4096,9,10,5,13490592709117838148
20,site_iid,gamma,"{""shape"":0.5}",2048,0,10,5,488792026918009351
21,site_iid,gamma,"{""shape"":0.5}",2048,1,10,5,244823947606950784
22,site_iid,gamma,"{""shape"":0.5}",2048,2,10,5,7543918050799772021
23,site_iid,gamma,"{""shape"":0.5}",2048,3,10,5,2739343809328666664
24,site_iid,gamma,"{""shape"":0.5}",2048,4,10,5,4526144050001167480
25,site_iid,gamma,"{""shape"":0.5}",2048,5,10,5,1253056867366285411
26,site_iid,gamma,"{""shape"":0.5}",2048,6,10,5,15059599213209886781
27,site_iid,gamma,"{""shape"":0.5}",2048,7,10,5,10489810063890179952
28,site_iid,gamma,"{""shape"":0.5}",2048,8,10,5,5697641492514822055
29,site_iid,gamma,"{""shape"":0.5}",2048,9,10,5,7673491083437093591
30,site_iid,gamma,"{""shape"":0.5}",4096,0,10,5,10135727268342047180
31,site_iid,gamma,"{""shape"":0.5}",4096,1,10,5,594093841511725902
32,site_iid,gamma,"{""shape"":0.5}",4096,2,10,5,2846958439508402891
33,site_iid,gamma,"{""shape"":0.5}",4096,3,10,5,14935765209473584566
34,site_iid,gamma,"{""shape"":0.5}",4096,4,10,5,847005497585739916
35,site_iid,gamma,"{""shape"":0.5}",4096,5,10,5,7893888152633986974
36,site_iid,gamma,"{""shape"":0.5}",4096,6,10,5,9025681398771348498
37,site_iid,gamma,"{""shape"":0.5}",4096,7,10,5,16646692122151683260
38,site_iid,gamma,"{""shape"":0.5}",4096,8,10,5,1937069288397174711
39,site_iid,gamma,"{""shape"":0.5}",4096,9,10,5,10899402371880059657
40,site_iid,gamma,"{""shape"":1.0}",2048,0,10,5,2601134818262332016
41,site_iid,gamma,"{""shape"":1.0}",2048,1,10,5,6175635208521117644
42,site_iid,gamma,"{""shape"":1.0}",2048,2,10,5,11323832993061023438
43,site_iid,gamma,"{""shape"":1.0}",2048,3,10,5,9318136568196766846
44,site_iid,gamma,"{""shape"":1.0}",2048,4,10,5,7775949326094479950
45,site_iid,gamma,"{""shape"":1.0}",2048,5,10,5,15581765480215948494
46,site_iid,gamma,"{""shape"":1.0}",2048,6,10,5,5571875073508317545
47,site_iid,gamma,"{""shape"":1.0}",2048,7,10,5,11206491747132396788
48,site_iid,gamma,"{""shape"":1.0}",2048,8,10,5,17820589387933997504
49,site_iid,gamma,"{""shape"":1.0}",2048,9,10,5,7782399640171355531
50,site_iid,gamma,"{""shape"":1.0}",4096,0,10,5,5884147126927610467
51,site_iid,gamma,"{""shape"":1.0}",4096,1,10,5,1197616654251303699
52,site_iid,gamma,"{""shape"":1.0}",4096,2,10,5,9305803928806964048
53,site_iid,gamma,"{""shape"":1.0}",4096,3,10,5,13440940774491156140
54,site_iid,gamma,"{""shape"":1.0}",4096,4,10,5,16296990139267146715
55,site_iid,gamma,"{""shape"":1.0}",4096,5,10,5,6252381640823011692
56,site_iid,gamma,"{""shape"":1.0}",4096,6,10,5,10496412731324984486
57,site_iid,gamma,"{""shape"":1.0}",4096,7,10,5,15224390786373404074
58,site_iid,gamma,"{""shape"":1.0}",4096,8,10,5,6893202916859478330
59,site_iid,gamma,"{""shape"":1.0}",4096,9,10,5,10884422247819615046
60,site_iid,gamma,"{""shape"":2.0}",2048,0,10,5,4412009199771796303
61,site_iid,gamma,"{""shape"":2.0}",2048,1,10,5,6985549037327174511
62,site_iid,gamma,"{""shape"":2.0}",2048,2,10,5,2167965449774947265
63,site_iid,gamma,"{""shape"":2.0}",2048,3,10,5,10039545711525916451
64,site_iid,gamma,"{""shape"":2.0}",2048,4,10,5,3501102024047621272
65,site_iid,gamma,"{""shape"":2.0}",2048,5,10,5,12035581905947579868
66,site_iid,gamma,"{""shape"":2.0}",2048,6,10,5,11363256869282382080
67,site_iid,gamma,"{""shape"":2.0}",2048,7,10,5,2537304318163051404
68,site_iid,gamma,"{""shape"":2.0}",2048,8,10,5,1280906672118878138
69,site_iid,gamma,"{""shape"":2.0}",2048,9,10,5,7442638499882057408
70,site_iid,gamma,"{""shape"":2.0}",4096,0,10,5,13915376388244315261
71,site_iid,gamma,"{""shape"":2.0}",4096,1,10,5,8568793207164908188
72,site_iid,gamma,"{""shape"":2.0}",4096,2,10,5,11003386832263598212
73,site_iid,gamma,"{""shape"":2.0}",4096,3,10,5,7805749189113356478
74,site_iid,gamma,"{""shape"":2.0}",4096,4,10,5,1117752383610291593
75,site_iid,gamma,"{""shape"":2.0}",4096,5,10,5,7908671205991943696
76,site_iid,gamma,"{""shape"":2.0}",4096,6,10,5,7401911033371006683
77,site_iid,gamma,"{""shape"":2.0}",4096,7,10,5,854936932871415726
78,site_iid,gamma,"{""shape"":2.0}",4096,8,10,5,1935535533659203603
79,site_iid,gamma,"{""shape"":2.0}",4096,9,10,5,12183659999372514143
80,site_iid,exponential,{},2048,0,10,5,14646603757009213451
81,site_iid,exponential,{},2048,1,10,5,15155963137047928781
82,site_iid,exponential,{},2048,2,10,5,6984891722121063907
83,site_iid,exponential,{},2048,3,10,5,16770162254740790722
84,site_iid,exponential,{},2048,4,10,5,4705768582325786476
85,site_iid,exponential,{},2048,5,10,5,18428858293555865751
86,site_iid,exponential,{},2048,6,10,5,379610014674021518
87,site_iid,exponential,{},2048,7,10,5,2219158569041125143
88,site_iid,exponential,{},2048,8,10,5,16212773045591575064
89,site_iid,exponential,{},2048,9,10,5,5975677272819975615
90,site_iid,exponential,{},4096,0,10,5,11674431948035409366
91,site_iid,exponential,{},4096,1,10,5,10601660560527863355
92,site_iid,exponential,{},4096,2,10,5,16044923713656977099
93,site_iid,exponential,{},4096,3,10,5,6396485783365402925
94,site_iid,exponential,{},4096,4,10,5,11772915110892024221
95,site_iid,exponential,{},4096,5,10,5,11022114877398782978
96,site_iid,exponential,{},4096,6,10,5,6943470843509989322
97,site_iid,exponential,{},4096,7,10,5,12788414746886303231
98,site_iid,exponential,{},4096,8,10,5,14425834066994249691
99,site_iid,exponential,{},4096,9,10,5,16761437322792919632
100,site_iid,lognormal,"{""sigma"":0.5}",2048,0,10,5,12887825993633726041
101,site_iid,lognormal,"{""sigma"":0.5}",2048,1,10,5,14891888327061755902
102,site_iid,lognormal,"{""sigma"":0.5}",2048,2,10,5,17607026753421235031
103,site_iid,lognormal,"{""sigma"":0.5}",2048,3,10,5,12955662863980480021
104,site_iid,lognormal,"{""sigma"":0.5}",2048,4,10,5,14934218684543152054
105,site_iid,lognormal,"{""sigma"":0.5}",2048,5,10,5,369145922991695835
106,site_iid,lognormal,"{""sigma"":0.5}",2048,6,10,5,1955025687873269077
107,site_iid,lognormal,"{""sigma"":0.5}",2048,7,10,5,17063227690725764188
108,site_iid,lognormal,"{""sigma"":0.5}",2048,8,10,5,7734664861495033650
109,site_iid,lognormal,"{""sigma"":0.5}",2048,9,10,5,9511117093201845979
110,site_iid,lognormal,"{""sigma"":0.5}",4096,0,10,5,16821828261970296556
111,site_iid,lognormal,"{""sigma"":0.5}",4096,1,10,5,13148341963606324161
112,site_iid,lognormal,"{""sigma"":0.5}",4096,2,10,5,5256491839508141648
113,site_iid,lognormal,"{""sigma"":0.5}",4096,3,10,5,1709474755897127651
114,site_iid,lognormal,"{""sigma"":0.5}",4096,4,10,5,12136078225465080958
115,site_iid,lognormal,"{""sigma"":0.5}",4096,5,10,5,12222183954943099073
116,site_iid,lognormal,"{""sigma"":0.5}",4096,6,10,5,9167369677748078847
117,site_iid,lognormal,"{""sigma"":0.5}",4096,7,10,5,3663565335484283035
118,site_iid,lognormal,"{""sigma"":0.5}",4096,8,10,5,1497194672298477821
119,site_iid,lognormal,"{""sigma"":0.5}",4096,9,10,5,12425061703610490009
120,site_iid,lognormal,"{""sigma"":1.0}",2048,0,10,5,2439096596234990114
121,site_iid,lognormal,"{""sigma"":1.0}",2048,1,10,5,9624183842229130611
122,site_iid,lognormal,"{""sigma"":1.0}",2048,2,10,5,10149949095788276814
123,site_iid,lognormal,"{""sigma"":1.0}",2048,3,10,5,16318343409223355459
124,site_iid,lognormal,"{""sigma"":1.0}",2048,4,10,5,839380341396486479
125,site_iid,lognormal,"{""sigma"":1.0}",2048,5,10,5,9179468789153027814
126,site_iid,lognormal,"{""sigma"":1.0}",2048,6,10,5,6576633617368591775
127,site_iid,lognormal,"{""sigma"":1.0}",2048,7,10,5,5593120498304506779
128,site_iid,lognormal,"{""sigma"":1.0}",2048,8,10,5,2010213397123706118
129,site_iid,lognormal,"{""sigma"":1.0}",2048,9,10,5,5072116746110555622
130,site_iid,lognormal,"{""sigma"":1.0}",4096,0,10,5,15550346243568332102
