task_id,distribution,distribution_params,L,batch_id,num_environments,walks_per_environment,base_seed
0,baseline,{},32,0,2,3,2502797842639448889
1,baseline,{},64,0,2,3,16795378440973441357
2,baseline,{},128,0,2,3,10952330105118054220
3,baseline,{},256,0,2,3,5238651549802707107
4,baseline,{},512,0,2,3,6829037679158890219
5,baseline,{},1024,0,2,3,1284086335897536347
6,gamma,"{""shape"":0.5}",32,0,2,3,3619042065180661333
7,gamma,"{""shape"":0.5}",64,0,2,3,5688441048435117388
8,gamma,"{""shape"":0.5}",128,0,2,3,18185741923926713015
9,gamma,"{""shape"":0.5}",256,0,2,3,7136602930651381946
10,gamma,"{""shape"":0.5}",512,0,2,3,16400929672403250130
11,gamma,"{""shape"":0.5}",1024,0,2,3,11616111432023572154
12,gamma,"{""shape"":1.0}",32,0,2,3,18199969268183178041
13,gamma,"{""shape"":1.0}",64,0,2,3,7160443771397523837
14,gamma,"{""shape"":1.0}",128,0,2,3,16171038129819497154
15,gamma,"{""shape"":1.0}",256,0,2,3,8157438923114659626
16,gamma,"{""shape"":1.0}",512,0,2,3,10862501111733784903
17,gamma,"{""shape"":1.0}",1024,0,2,3,17320863909095886430
18,gamma,"{""shape"":2.0}",32,0,2,3,11990414694439598328
19,gamma,"{""shape"":2.0}",64,0,2,3,13490592709117838148
20,gamma,"{""shape"":2.0}",128,0,2,3,488792026918009351
21,gamma,"{""shape"":2.0}",256,0,2,3,244823947606950784
22,gamma,"{""shape"":2.0}",512,0,2,3,7543918050799772021
23,gamma,"{""shape"":2.0}",1024,0,2,3,2739343809328666664
24,exponential,{},32,0,2,3,4526144050001167480
25,exponential,{},64,0,2,3,1253056867366285411
26,exponential,{},128,0,2,3,15059599213209886781
27,exponential,{},256,0,2,3,10489810063890179952
28,exponential,{},512,0,2,3,5697641492514822055
29,exponential,{},1024,0,2,3,7673491083437093591
30,lognormal,"{""sigma"":0.5}",32,0,2,3,10135727268342047180
31,lognormal,"{""sigma"":0.5}",64,0,2,3,594093841511725902
32,lognormal,"{""sigma"":0.5}",128,0,2,3,2846958439508402891
33,lognormal,"{""sigma"":0.5}",256,0,2,3,14935765209473584566
34,lognormal,"{""sigma"":0.5}",512,0,2,3,847005497585739916
35,lognormal,"{""sigma"":0.5}",1024,0,2,3,7893888152633986974
36,lognormal,"{""sigma"":1.0}",32,0,2,3,9025681398771348498
37,lognormal,"{""sigma"":1.0}",64,0,2,3,16646692122151683260
38,lognormal,"{""sigma"":1.0}",128,0,2,3,1937069288397174711
39,lognormal,"{""sigma"":1.0}",256,0,2,3,10899402371880059657
40,lognormal,"{""sigma"":1.0}",512,0,2,3,2601134818262332016
41,lognormal,"{""sigma"":1.0}",1024,0,2,3,6175635208521117644
42,pareto,"{""alpha"":2.0}",32,0,2,3,11323832993061023438
