task_id,environment_model,distribution,distribution_params,L,batch_id,num_environments,walks_per_environment,base_seed
0,site_iid,baseline,{},8192,0,10,5,13152392496067295265
1,site_iid,baseline,{},8192,1,10,5,5731335626005262255
2,site_iid,baseline,{},8192,2,10,5,4024974886454720788
3,site_iid,baseline,{},8192,3,10,5,15159545365163805344
4,site_iid,baseline,{},8192,4,10,5,11195932070728803317
5,site_iid,baseline,{},8192,5,10,5,5308114415075475116
6,site_iid,baseline,{},8192,6,10,5,6835322274326138143
7,site_iid,baseline,{},8192,7,10,5,2242955021529635935
8,site_iid,baseline,{},8192,8,10,5,14693177805790114976
9,site_iid,baseline,{},8192,9,10,5,798625668351244821
10,site_iid,gamma,"{""shape"":1.0}",8192,0,10,5,12181796373265408508
11,site_iid,gamma,"{""shape"":1.0}",8192,1,10,5,2253496996307079997
12,site_iid,gamma,"{""shape"":1.0}",8192,2,10,5,1150893370671430301
13,site_iid,gamma,"{""shape"":1.0}",8192,3,10,5,9452647832209360753
14,site_iid,gamma,"{""shape"":1.0}",8192,4,10,5,3049487462068961921
15,site_iid,gamma,"{""shape"":1.0}",8192,5,10,5,9869382966436677464
16,site_iid,gamma,"{""shape"":1.0}",8192,6,10,5,2657031492622428939
17,site_iid,gamma,"{""shape"":1.0}",8192,7,10,5,11627974677218643682
18,site_iid,gamma,"{""shape"":1.0}",8192,8,10,5,3222664877419255423
19,site_iid,gamma,"{""shape"":1.0}",8192,9,10,5,17079557421476843065
