schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
hpc_batch_v5_julia,eaaee72+source.d6bdc5ffd849,1.12.6,3,3,baseline,{},site_iid,baseline,,8192,30,0,8750638423666124735,15649283142462447620,2,95824,38205606,"6734,-8192",6734,-8192,2.3109591007232666,0,ok,,,2026-07-02T07:28:17.133,2026-07-02T07:28:19.445
hpc_batch_v5_julia,eaaee72+source.d6bdc5ffd849,1.12.6,3,3,baseline,{},site_iid,baseline,,8192,30,1,8750638423666124735,7296943609295298292,2,118885,90867993,"-8192,-4757",-8192,-4757,5.410761117935181,0,ok,,,2026-07-02T07:28:19.445,2026-07-02T07:28:24.856
hpc_batch_v5_julia,eaaee72+source.d6bdc5ffd849,1.12.6,3,3,baseline,{},site_iid,baseline,,8192,30,2,8750638423666124735,9748499119834648672,-2,112290,29990422,"-4904,-8192",-4904,-8192,1.7825169563293457,0,ok,,,2026-07-02T07:28:24.856,2026-07-02T07:28:26.639
hpc_batch_v5_julia,eaaee72+source.d6bdc5ffd849,1.12.6,3,3,baseline,{},site_iid,baseline,,8192,30,3,8750638423666124735,5686774661197628599,0,110102,44351884,"1414,8192",1414,8192,2.5200729370117188,0,ok,,,2026-07-02T07:28:26.639,2026-07-02T07:28:29.160
hpc_batch_v5_julia,eaaee72+source.d6bdc5ffd849,1.12.6,3,3,baseline,{},site_iid,baseline,,8192,30,4,8750638423666124735,2056319301687507945,1,146137,31319221,"8192,-6509",8192,-6509,1.8819851875305176,0,ok,,,2026-07-02T07:28:29.181,2026-07-02T07:28:31.064
hpc_batch_v5_julia,eaaee72+source.d6bdc5ffd849,1.12.6,3,3,baseline,{},site_iid,baseline,,8192,31,0,2809956604796542865,8056264802857207583,2,89973,133933353,"8192,5915",8192,5915,7.320621013641357,0,ok,,,2026-07-02T07:28:31.064,2026-07-02T07:28:38.385
hpc_batch_v5_julia,eaaee72+source.d6bdc5ffd849,1.12.6,3,3,baseline,{},site_iid,baseline,,8192,31,1,2809956604796542865,14926417447347441470,2,105875,147071859,"439,8192",439,8192,8.098978996276855,0,ok,,,2026-07-02T07:28:38.385,2026-07-02T07:28:46.484
hpc_batch_v5_julia,eaaee72+source.d6bdc5ffd849,1.12.6,3,3,baseline,{},site_iid,baseline,,8192,31,2,2809956604796542865,2210839177486510827,4,88032,22559074,"336,-8192",336,-8192,1.162787914276123,0,ok,,,2026-07-02T07:28:46.484,2026-07-02T07:28:47.648
hpc_batch_v5_julia,eaaee72+source.d6bdc5ffd849,1.12.6,3,3,baseline,{},site_iid,baseline,,8192,31,3,2809956604796542865,12479220749095629067,-2,120843,201563205,"3961,-8192",3961,-8192,11.017221212387085,0,ok,,,2026-07-02T07:28:47.648,2026-07-02T07:28:58.666
hpc_batch_v5_julia,eaaee72+source.d6bdc5ffd849,1.12.6,3,3,baseline,{},site_iid,baseline,,8192,31,4,2809956604796542865,15751181211623408484,2,86079,253446771,"-8192,4169",-8192,4169,11.871116161346436,0,ok,,,2026-07-02T07:28:58.666,2026-07-02T07:29:10.537
hpc_batch_v5_julia,eaaee72+source.d6bdc5ffd849,1.12.6,3,3,baseline,{},site_iid,baseline,,8192,32,0,6348254706535844694,14359321087406914845,-1,59352,25038000,"-910,-8192",-910,-8192,1.152946949005127,0,ok,,,2026-07-02T07:29:10.537,2026-07-02T07:29:11.691
