schema_version,code_version,julia_version,task_id,batch_id,distribution,distribution_params,environment_model,model,model_parameter,L,environment_id,walk_id,environment_seed,walk_seed,winding,loop_erased_path_length,raw_walk_length,exit_location,exit_x,exit_y,runtime,sampled_site_count,status,error_type,error_message,started_at_utc,finished_at_utc
hpc_batch_v5_julia,eaaee72+source.018cbbc5a1b9,1.12.6,11,1,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,8192,10,0,17507902957317816183,18366235561424268577,-3,106265,105015991,"-3521,8192",-3521,8192,29.141706999973394,5786881,ok,,,2026-07-02T07:59:28.911,2026-07-02T07:59:58.053
hpc_batch_v5_julia,eaaee72+source.018cbbc5a1b9,1.12.6,11,1,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,8192,10,1,17507902957317816183,16532104250576474493,9,117332,131900778,"8192,-3598",8192,-3598,409.6545580000384,7695554,ok,,,2026-07-02T07:59:58.054,2026-07-02T08:06:47.709
hpc_batch_v5_julia,eaaee72+source.018cbbc5a1b9,1.12.6,11,1,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,8192,10,2,17507902957317816183,17381648066452103661,-3,97137,256598895,"-4687,-8192",-4687,-8192,943.3997969999909,8296764,ok,,,2026-07-02T08:06:47.709,2026-07-02T08:22:31.109
hpc_batch_v5_julia,eaaee72+source.018cbbc5a1b9,1.12.6,11,1,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,8192,10,3,17507902957317816183,16036265941892932344,-7,142289,66910531,"4781,8192",4781,8192,349.7541560000391,8328182,ok,,,2026-07-02T08:22:31.110,2026-07-02T08:28:20.864
hpc_batch_v5_julia,eaaee72+source.018cbbc5a1b9,1.12.6,11,1,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,8192,10,4,17507902957317816183,12750702619374959234,3,118779,79034769,"1101,-8192",1101,-8192,7.254855000006501,8359693,ok,,,2026-07-02T08:28:20.864,2026-07-02T08:28:28.120
hpc_batch_v5_julia,eaaee72+source.018cbbc5a1b9,1.12.6,11,1,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,8192,11,0,9798843018042955853,18112102859117865788,-2,80896,64689336,"1356,8192",1356,8192,5.156374000012875,4318168,ok,,,2026-07-02T08:28:28.121,2026-07-02T08:28:33.278
hpc_batch_v5_julia,eaaee72+source.018cbbc5a1b9,1.12.6,11,1,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,8192,11,1,9798843018042955853,5587174660746186676,-5,110025,57169923,"-8192,4623",-8192,4623,4.835923000006005,6009249,ok,,,2026-07-02T08:28:33.278,2026-07-02T08:28:38.114
hpc_batch_v5_julia,eaaee72+source.018cbbc5a1b9,1.12.6,11,1,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,8192,11,2,9798843018042955853,14215351371632445376,2,63167,93269875,"1045,8192",1045,8192,7.765904999978375,7437014,ok,,,2026-07-02T08:28:38.114,2026-07-02T08:28:45.881
hpc_batch_v5_julia,eaaee72+source.018cbbc5a1b9,1.12.6,11,1,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,8192,11,3,9798843018042955853,16093483521870820816,-2,110528,51868148,"-3360,8192",-3360,8192,4.963853000022937,7810932,ok,,,2026-07-02T08:28:45.881,2026-07-02T08:28:50.845
hpc_batch_v5_julia,eaaee72+source.018cbbc5a1b9,1.12.6,11,1,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,8192,11,4,9798843018042955853,7357338321207512204,-5,227906,77621212,"5930,-8192",5930,-8192,7.507251999981236,8148853,ok,,,2026-07-02T08:28:50.845,2026-07-02T08:28:58.353
hpc_batch_v5_julia,eaaee72+source.018cbbc5a1b9,1.12.6,11,1,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,8192,12,0,16987783170099141040,5915315685357730000,2,111134,45681748,"-656,8192",-656,8192,4.473259999998845,3715060,ok,,,2026-07-02T08:28:58.354,2026-07-02T08:29:02.828
hpc_batch_v5_julia,eaaee72+source.018cbbc5a1b9,1.12.6,11,1,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,8192,12,1,16987783170099141040,16649549263143305267,-1,117065,47705233,"-8192,-5483",-8192,-5483,4.0551350000314415,5910743,ok,,,2026-07-02T08:29:02.828,2026-07-02T08:29:06.884
hpc_batch_v5_julia,eaaee72+source.018cbbc5a1b9,1.12.6,11,1,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,8192,12,2,16987783170099141040,6696620396806210316,2,92511,48578123,"4449,8192",4449,8192,3.8163380000041798,6966598,ok,,,2026-07-02T08:29:06.884,2026-07-02T08:29:10.700
hpc_batch_v5_julia,eaaee72+source.018cbbc5a1b9,1.12.6,11,1,gamma,"{""shape"":1.0}",site_iid,gamma,1.0,8192,12,3,16987783170099141040,1192973523299517993,-4,102673,82902563,"-2579,-8192",-2579,-8192,5.730510999972466,7661529,ok,,,2026-07-02T08:29:10.700,2026-07-02T08:29:16.431
