order,log_fit,log2_fit,power_fit
24,7.534151586,8.042397988,7.365209933
32,8.025705729,8.344550499,7.903458375
48,8.718512381,8.814840561,8.648230485
64,9.210066524,9.18004027,9.16781943
96,9.902873177,9.739190366,9.8889675
128,10.39442732,10.16743727,10.39337992
192,11.08723397,10.8154474,11.0949934
256,11.57878812,11.3067415,11.58667537
384,12.27159477,12.04361167,12.27170334
512,12.76314891,12.59795297,12.75246047
600,13.0341528,12.91476267,13.01574044
700,13.29754566,13.23029655,13.27046468
800,13.52570694,13.5096973,13.49021621
900,13.72695945,13.7608257,13.68337344
1000,13.90698596,13.98918444,13.85563162
1100,14.06983974,14.19878361,14.01103731
1200,14.21851359,14.39264058,14.15256824
1300,14.35528028,14.57308556,14.28247891
