model,filter,L,environments,component,estimate,bootstrap_low,bootstrap_high
kasteleyn_gamma,all,2,64,conditional,0.4631271353700036,0.24277170525791048,0.7132777084559899
kasteleyn_gamma,all,2,64,disorder,0.7723497057997591,0.14785239892701094,1.5477562100637026
kasteleyn_gamma,all,2,64,total,1.2354768411697628,0.4893346413803768,2.07986817869335
kasteleyn_gamma,all,4,192,conditional,1.1851080869644461,1.0033962644788714,1.379366702674463
kasteleyn_gamma,all,4,192,disorder,1.1547807796984462,0.783343025123659,1.5622589215976659
kasteleyn_gamma,all,4,192,total,2.3398888666628923,1.846530611636505,2.8615013138588137
kasteleyn_gamma,all,6,192,conditional,1.360857052646012,1.1699551655420417,1.5650865340085447
kasteleyn_gamma,all,6,192,disorder,1.5706671781383805,1.0996454138297294,2.0684270012246926
kasteleyn_gamma,all,6,192,total,2.9315242307843925,2.3535860473380774,3.5122557483045678
kasteleyn_gamma,all,8,192,conditional,1.6999492155872966,1.492404560550271,1.9107370139334492
kasteleyn_gamma,all,8,192,disorder,1.8907714734187377,1.3651608333492795,2.4198015208865473
kasteleyn_gamma,all,8,192,total,3.5907206890060346,2.9844926594668215,4.196180742015644
kasteleyn_gamma,all,10,128,conditional,1.8220339901117903,1.5674152676347162,2.0685229182121048
kasteleyn_gamma,all,10,128,disorder,2.3719144629751927,1.6684656377931535,3.0738635613320566
kasteleyn_gamma,all,10,128,total,4.193948453086983,3.3877951291354322,4.989593703593409
kasteleyn_gamma,all,12,96,conditional,1.884633586968933,1.5593013978473227,2.2149451630531685
kasteleyn_gamma,all,12,96,disorder,2.526198515429927,1.7037358437508967,3.4064097495472185
kasteleyn_gamma,all,12,96,total,4.41083210239886,3.451994891189327,5.385576846260457
kasteleyn_gamma,all,16,64,conditional,2.241115979190923,1.824232860153226,2.6622705705026872
kasteleyn_gamma,all,16,64,disorder,2.4207153277873736,1.430114465916754,3.442398525540161
kasteleyn_gamma,all,16,64,total,4.661831306978296,3.519141334165437,5.753292878868485
kasteleyn_gamma,all,20,32,conditional,2.057369802685106,1.5336105956935866,2.5762120114879385
kasteleyn_gamma,all,20,32,disorder,3.0663258531933333,1.564291477638948,4.59534749637372
kasteleyn_gamma,all,20,32,total,5.123695655878439,3.3945034845742588,6.809501516674232
