campaign,model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
original_min128,gamma,marginal,block_gls,0.2838625966,-0.01724254366,0.5787507026,0.96825,-0.1317237752,-3.556533876,10.765154,0.4816,0.9111474663,0.7195029456
original_min128,gamma,conditional,block_gls,-0.1993783228,-0.4947238003,0.09192369227,0.09185,-1.855770576,-3.577391179,7.05424203,0.28925,0.4865128095,0.5133768342
original_min128,gamma,disorder,block_gls,0.501940187,0.2022424298,0.8070043043,0.99945,6.927583793,-1.877087292,23.58688198,0.91065,1.03396335,0.6135024663
original_min128,uniform,marginal,block_gls,0.05835203704,-0.1905701483,0.2994621237,0.67195,-3.366843381,-3.58233811,2.2996403,0.0817,0.4140039444,0.4129515232
original_min128,uniform,conditional,block_gls,-0.003653881643,-0.353491313,0.3379639422,0.48545,-3.583089989,-3.582591273,1.46322751,0.05925,0.8307020901,0.8388697347
original_min128,uniform,disorder,block_gls,0.06787697226,-0.1677025566,0.3066633174,0.71075,-3.278370272,-3.582296844,2.740328681,0.0963,0.5801959238,0.6057157125
strong_min128,gamma,marginal,block_gls,0.5833038297,0.2506302476,0.9054091598,0.9996,8.440193202,-1.363708541,25.38582651,0.9405,0.9365547848,0.6699462603
strong_min128,gamma,conditional,block_gls,0.002343867784,-0.2824109328,0.2856566061,0.49575,-3.583258113,-3.582549303,1.403251044,0.05735,0.5710858516,0.581622866
strong_min128,gamma,disorder,block_gls,0.6077459567,0.2723445288,0.9425254425,0.9999,9.092875772,-1.037926254,26.90510068,0.95415,1.106045289,0.6377562124
strong_min128,uniform,marginal,block_gls,0.05825974683,-0.1914584384,0.2983211083,0.6662,-3.367365475,-3.582299629,2.233948554,0.08155,0.4167882464,0.4164770035
strong_min128,uniform,conditional,block_gls,-0.006679833838,-0.354474976,0.3321467815,0.4781,-3.58207863,-3.582547045,1.439674612,0.0581,0.8320019431,0.8395836147
strong_min128,uniform,disorder,block_gls,0.06914315477,-0.1723525873,0.307063763,0.71035,-3.265888361,-3.582123995,2.766789202,0.10015,0.5815122758,0.6074832511
weak_min128,gamma,marginal,block_gls,0.2418814164,-0.02247036344,0.5027584109,0.96415,-0.2839216538,-3.55655331,10.67172394,0.4563,0.71929334,0.782211898
weak_min128,gamma,conditional,block_gls,0.1854375428,-0.1428587364,0.5061146114,0.86245,-2.349862817,-3.580339386,5.606235599,0.2132,0.6056558672,0.5852960533
weak_min128,gamma,disorder,block_gls,0.08044919532,-0.1837301955,0.3461249136,0.7224,-3.227410987,-3.581992536,3.065483911,0.1032,0.7854288943,1.120832074
weak_min128,uniform,marginal,block_gls,0.05936280121,-0.1889372039,0.3014398941,0.67435,-3.359559011,-3.58232826,2.397028025,0.0829,0.4118851383,0.4093657713
weak_min128,uniform,conditional,block_gls,-0.004022747324,-0.3567150802,0.3374050201,0.48215,-3.583000813,-3.582432671,1.481425086,0.0579,0.8307817602,0.8369658465
weak_min128,uniform,disorder,block_gls,0.06810863089,-0.1728872424,0.3122492681,0.709,-3.278442579,-3.582251156,2.925876898,0.0968,0.5802307318,0.6070762124
symmetric_min128,gamma,marginal,block_gls,0.09523567145,-0.2137027467,0.3852669865,0.71905,-3.19555402,-3.582259969,2.872740618,0.0991,0.8426466456,0.8286879012
symmetric_min128,gamma,conditional,block_gls,-0.1523784939,-0.4723588805,0.1554298553,0.1598,-2.669431153,-3.58057881,5.207137703,0.1879,0.9263981997,1.375765399
symmetric_min128,gamma,disorder,block_gls,0.2559468538,-0.04008967098,0.5547194697,0.95465,-0.7739655874,-3.56947289,9.6137635,0.4126,1.155223178,1.348550799
symmetric_min128,uniform,marginal,block_gls,0.05918097096,-0.1894084387,0.3013166334,0.6739,-3.361035334,-3.582437233,2.331878712,0.08145,0.4152317772,0.4125937026
symmetric_min128,uniform,conditional,block_gls,-0.005195904884,-0.3520265119,0.3360566464,0.48065,-3.582653082,-3.582630894,1.385605746,0.05675,0.8315630542,0.8392117864
symmetric_min128,uniform,disorder,block_gls,0.06984199326,-0.1688440251,0.3082679698,0.7135,-3.26062044,-3.582043479,2.760408794,0.0963,0.5778082031,0.6027216958
original_min384,gamma,marginal,block_gls,0.6340659471,-0.9185707833,2.17386683,0.77945,-2.531714676,-3.176044988,4.419214739,0.16705,0.8016137613,1.341473851
original_min384,gamma,conditional,block_gls,-0.2947135826,-1.782530887,1.222658325,0.347,-3.029538663,-3.176911254,2.530714446,0.097,0.3393725828,1.23955502
original_min384,gamma,disorder,block_gls,0.9503042071,-0.6455733032,2.518784416,0.873,-1.814405274,-3.174351174,6.401805862,0.26835,0.7735785562,0.7177286344
original_min384,uniform,marginal,block_gls,0.02181775188,-1.130970671,1.209591338,0.5121,-3.176743263,-3.177061773,1.853652689,0.07365,0.6990143231,0.9970489177
original_min384,uniform,conditional,block_gls,-0.7037500425,-2.372746425,0.9638371572,0.20255,-2.500217097,-3.176169785,4.527270153,0.17405,1.036480027,1.134580496
original_min384,uniform,disorder,block_gls,0.6022995242,-0.5691052247,1.798331961,0.8431,-2.186464943,-3.175478306,5.661825551,0.2197,0.6678791665,0.6427362498
strong_min384,gamma,marginal,block_gls,0.5404955965,-1.187152898,2.200965114,0.7326,-2.790053061,-3.17674714,3.306457342,0.12675,0.479899517,1.020891674
strong_min384,gamma,conditional,block_gls,-0.1585696505,-1.626387176,1.275424643,0.4128,-3.132619377,-3.1770361,2.135804162,0.081,0.6595489155,0.9606098547
strong_min384,gamma,disorder,block_gls,0.9178505494,-0.8367880622,2.697560421,0.8458,-2.143761019,-3.175488602,5.75586338,0.2226,0.5389548516,0.4083679837
strong_min384,uniform,marginal,block_gls,0.01555290688,-1.178570724,1.201043043,0.50975,-3.177390901,-3.177032041,1.853328154,0.07575,0.7016785299,1.004394155
strong_min384,uniform,conditional,block_gls,-0.6706884645,-2.360672438,1.007247008,0.21335,-2.562859033,-3.176288365,4.477864673,0.16845,1.040083714,1.135334327
