model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,32,marginal,1024,64,training,0.7090645215,0.6998210225,0.6946348721
gamma,1,32,marginal,1536,96,training,0.7007051282,0.7411633658,0.743789352
gamma,1,32,marginal,2048,128,training,0.7995065065,0.7704962251,0.7746906477
gamma,1,32,marginal,2560,160,training,0.8003602757,0.7932485585,0.7963876702
gamma,1,32,marginal,3072,192,training,0.8237179487,0.8118385684,0.812642028
gamma,1,32,marginal,4096,256,training,0.8243847875,0.8411714278,0.8355945981
gamma,1,32,marginal,5120,320,heldout,0.9806170886,0.8639237611,0.85112611
gamma,1,32,marginal,6144,384,heldout,0.8153846154,0.8825137711,0.862342879
gamma,1,32,conditional,1024,64,training,0.5660428476,0.5458096229,0.5544469257
gamma,1,32,conditional,1536,96,training,0.5678424015,0.6025682652,0.598194802
gamma,1,32,conditional,2048,128,training,0.6431151151,0.6428391629,0.6358535387
gamma,1,32,conditional,2560,160,training,0.6797462406,0.6740756979,0.668847647
gamma,1,32,conditional,3072,192,training,0.7105629877,0.6995978053,0.698259679
gamma,1,32,conditional,4096,256,training,0.7374496644,0.7398687029,0.7491566646
gamma,1,32,conditional,5120,320,heldout,0.7777689873,0.7711052379,0.7924191565
gamma,1,32,conditional,6144,384,heldout,0.7897435897,0.7966273453,0.8302210689
gamma,1,32,disorder,1024,64,training,0.1430216739,0.1540113996,0.1401879464
gamma,1,32,disorder,1536,96,training,0.1328627267,0.1385951005,0.14559455
gamma,1,32,disorder,2048,128,training,0.1563913914,0.1276570623,0.138837109
gamma,1,32,disorder,2560,160,training,0.1206140351,0.1191728606,0.1275400232
gamma,1,32,disorder,3072,192,training,0.113154961,0.1122407632,0.1143823491
gamma,1,32,disorder,4096,256,training,0.08693512304,0.1013027249,0.08643793348
gamma,1,32,disorder,5120,320,heldout,0.2028481013,0.09281852325,0.0587069535
gamma,1,32,disorder,6144,384,heldout,0.02564102564,0.08588642578,0.03212181007
gamma,1,16,marginal,1024,128,training,0.7737354118,0.7803797406,0.7699578033
gamma,1,16,marginal,1536,192,training,0.8163334506,0.8101565373,0.815433643
gamma,1,16,marginal,2048,256,training,0.8052882883,0.8312835108,0.8397125006
gamma,1,16,marginal,2560,320,training,0.8926033835,0.8476708646,0.8539791323
gamma,1,16,marginal,3072,384,training,0.8612430323,0.8610603076,0.8626749167
gamma,1,16,marginal,4096,512,training,0.8635346756,0.8821872811,0.8709802461
gamma,1,16,marginal,5120,640,heldout,0.8662974684,0.8985746349,0.8728568468
gamma,1,16,marginal,6144,768,heldout,0.9932692308,0.9119640778,0.8714292387
gamma,1,16,conditional,1024,128,training,0.6179788263,0.628169831,0.603966407
gamma,1,16,conditional,1536,192,training,0.643290924,0.6529780864,0.6652333919
gamma,1,16,conditional,2048,256,training,0.6539319319,0.6705798237,0.6901549187
gamma,1,16,conditional,2560,320,training,0.7427286967,0.6842327918,0.6988828203
gamma,1,16,conditional,3072,384,training,0.7220680045,0.695388079,0.6991377724
gamma,1,16,conditional,4096,512,training,0.6643400447,0.7129898163,0.6869631178
gamma,1,16,conditional,5120,640,heldout,0.7227848101,0.7266427844,0.6669169857
gamma,1,16,conditional,6144,768,heldout,0.7304487179,0.7377980716,0.6436618404
gamma,1,16,disorder,1024,128,training,0.1557565855,0.1522099096,0.1659913963
gamma,1,16,disorder,1536,192,training,0.1730425266,0.157178451,0.1502002511
gamma,1,16,disorder,2048,256,training,0.1513563564,0.1607036872,0.1495575819
gamma,1,16,disorder,2560,320,training,0.1498746867,0.1634380728,0.1550963121
gamma,1,16,disorder,3072,384,training,0.1391750279,0.1656722286,0.1635371443
gamma,1,16,disorder,4096,512,training,0.1991946309,0.1691974648,0.1840171283
gamma,1,16,disorder,5120,640,heldout,0.1435126582,0.1719318504,0.2059398612
gamma,1,16,disorder,6144,768,heldout,0.2628205128,0.1741660062,0.2277673983
gamma,1,8,marginal,1024,256,training,0.8523302212,0.8147809939,0.8599214704
gamma,1,8,marginal,1536,384,training,0.8593456848,0.8632165883,0.8403598912
gamma,1,8,marginal,2048,512,training,0.8522417417,0.8975821895,0.861073755
gamma,1,8,marginal,2560,640,training,0.9101723058,0.9242382206,0.8969152573
gamma,1,8,marginal,3072,768,training,0.9104960981,0.9460177839,0.9390244367
gamma,1,8,marginal,4096,1024,training,1.04163311,0.9803833851,1.028924351
gamma,1,8,marginal,5120,1280,heldout,0.9503164557,1.007039416,1.118430723
gamma,1,8,marginal,6144,1536,heldout,1.2125,1.02881898,1.204387293
gamma,1,8,conditional,1024,256,training,0.6721938424,0.681743816,0.6709114424
gamma,1,8,conditional,1536,384,training,0.6990111007,0.6890098084,0.6944947368
gamma,1,8,conditional,2048,512,training,0.6757552553,0.6941651121,0.702926052
gamma,1,8,conditional,2560,640,training,0.7352098997,0.6981638764,0.704720576
gamma,1,8,conditional,3072,768,training,0.6971850613,0.7014311046,0.7031093002
gamma,1,8,conditional,4096,1024,training,0.6917449664,0.7065864083,0.6949380184
gamma,1,8,conditional,5120,1280,heldout,0.789556962,0.7105851725,0.6838545676
gamma,1,8,conditional,6144,1536,heldout,0.9971153846,0.7138524008,0.6717212203
gamma,1,8,disorder,1024,256,training,0.1801363788,0.1330371779,0.189010028
gamma,1,8,disorder,1536,384,training,0.1603345841,0.1742067799,0.1458651544
gamma,1,8,disorder,2048,512,training,0.1764864865,0.2034170773,0.158147703
gamma,1,8,disorder,2560,640,training,0.174962406,0.2260743443,0.1921946813
gamma,1,8,disorder,3072,768,training,0.2133110368,0.2445866793,0.2359151365
gamma,1,8,disorder,4096,1024,training,0.3498881432,0.2737969768,0.3339863322
