model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,1024,6144,8,0.2453367308,0.1090799379,-0.3054738563,0.3288733527,-0.02164474857,-0.1834785965,0.1216606055,0.317,-1.939884696,-2.078077532,4.41931865,0.216,0.09519363482,0.09739864488
gamma,1,32,conditional,1024,6144,8,-0.03365128217,0.1394508911,0.1584614783,0.06279092735,0.00754929643,-0.2008914331,0.2201388895,0.4697,-1.890191267,-2.076861184,6.299213312,0.3388,0.006774645647,0.03043890419
gamma,1,32,disorder,1024,6144,8,0.278988013,-0.03037095326,-0.4639353346,0.2660824254,-0.029194045,-0.1853305869,0.1211185127,0.3563,-1.756191324,-2.078078055,5.723297419,0.2485,0.08870179332,0.1020261512
gamma,1,16,marginal,1024,6144,8,0.3288303561,0.09079434616,1.233588601,-0.2259391761,0.02744449042,-0.1753454618,0.2200362786,0.5479,-1.58910008,-2.076589781,5.997411167,0.3171,0.06185605618,0.08627864482
gamma,1,16,conditional,1024,6144,8,0.3484845174,0.05800204133,-0.750995059,0.4429026941,-0.03335107128,-0.2302133663,0.1628973127,0.3267,-1.04307225,-2.076908309,6.908693561,0.3475,0.005869282976,0.07298347732
gamma,1,16,disorder,1024,6144,8,-0.01965416128,0.03279230483,1.98458366,-0.6688418701,0.06079556171,-0.1041763725,0.2410923661,0.7362,0.838602238,-2.076256483,6.39412268,0.3801,0.06583035786,0.05062547037
gamma,1,8,marginal,1024,6144,8,-0.1131066779,0.1625238167,5.933225156,-1.723313662,0.1458816663,-0.07741034964,0.3618248174,0.8779,2.273303105,-2.070051794,9.987425747,0.5425,0.1359341965,0.1190130722
gamma,1,8,conditional,1024,6144,8,-0.06521757411,0.1239803332,6.658147716,-1.973022378,0.1622166561,-0.07516108419,0.3991799605,0.8943,2.995884731,-2.063165989,7.386120253,0.5872,0.2079356409,0.2419239119
gamma,1,8,disorder,1024,6144,8,-0.04788910378,0.03854348344,-0.7249225603,0.2497087158,-0.01633498979,-0.2074987045,0.1849598768,0.4107,-2.009858118,-2.077665557,3.96104672,0.22,0.1190160338,0.2963469986
gamma,1,4,marginal,1024,6144,8,0.6040871805,0.04937817351,-2.049220339,0.7956886065,-0.05214043776,-0.2185674764,0.09306404285,0.2027,-0.93562,-2.077450646,7.109397945,0.3496,0.1129211205,0.1325248073
gamma,1,4,conditional,1024,6144,8,0.017211329,0.1098589773,0.9163771559,-0.1430543517,0.01766960651,-0.196677104,0.2157058891,0.5069,-2.034352907,-2.078421391,3.529110749,0.161,0.1241387509,0.1254800797
gamma,1,4,disorder,1024,6144,8,0.5868758515,-0.0604808038,-2.965597495,0.9387429582,-0.06981004427,-0.2567917525,0.1293194327,0.2375,-0.3535678984,-2.076694307,5.298193676,0.3513,0.1063964042,0.1438895076
uniform,1,32,marginal,1024,6144,8,0.250001594,0.104620278,0.4582306205,0.02152933922,0.008182604017,-0.1500433504,0.1507069122,0.4806,-1.963531168,-2.077447564,5.372844548,0.2749,0.0179593515,0.02099524129
uniform,1,32,conditional,1024,6144,8,0.2430020253,0.1050979954,0.2763530833,0.09178971281,0.001310568974,-0.2025712785,0.2021895742,0.4438,-2.068464467,-2.077616805,6.513018253,0.3066,0.01481888814,0.03836585216
uniform,1,32,disorder,1024,6144,8,0.006999568782,-0.0004777173602,0.1818775371,-0.07026037359,0.006872035042,-0.1251293316,0.1394777926,0.5479,-2.015383702,-2.077978617,4.819737118,0.2311,0.005251624401,0.02067417289
uniform,1,16,marginal,1024,6144,8,-0.4146690668,0.2284814674,6.489819354,-2.188609452,0.2094373469,-0.06674962698,0.4834049607,0.9204,2.277526375,-2.038152373,8.056024018,0.6791,0.248631747,0.2221211221
uniform,1,16,conditional,1024,6144,8,-0.1461392053,0.1774342103,6.925931037,-2.298322967,0.2145206913,-0.1023043005,0.5514981551,0.8883,0.9497783957,-2.059974042,5.589154663,0.541,0.292715992,0.3318342463
uniform,1,16,disorder,1024,6144,8,-0.2685298616,0.05104725708,-0.4361116833,0.1097135151,-0.00508334434,-0.2274351139,0.2124403738,0.4708,-2.056438385,-2.075928882,7.564368961,0.3444,0.04439973506,0.1159068515
uniform,1,8,marginal,1024,6144,8,0.342722206,0.08743199264,0.7602734565,-0.04280131563,0.01007438458,-0.1511780712,0.1510847966,0.4822,-1.899169152,-2.077613957,5.584534284,0.2648,0.03260130752,0.03016051206
uniform,1,8,conditional,1024,6144,8,0.3868975513,0.0787051582,-1.669624343,0.7201297726,-0.04961832215,-0.2544432523,0.1352870828,0.2653,-1.449236108,-2.078009791,7.140110246,0.2773,0.09665422373,0.1806612443
uniform,1,8,disorder,1024,6144,8,-0.04417534534,0.008726834439,2.4298978,-0.7629310882,0.05969270673,-0.08930321355,0.2115482088,0.7756,-0.9021377281,-2.077755075,6.813856615,0.2866,0.06485570442,0.1696396734
uniform,1,4,marginal,1024,6144,8,0.593894736,0.05149409892,-4.134239327,1.381402432,-0.09291308224,-0.2605693821,0.0571418124,0.1043,-0.9613005361,-2.075454809,6.620212653,0.3246,0.1463851791,0.1593119294
