model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
gamma,1,32,disorder,128,6144,12,-0.01244501066,-0.041090545,0.01392960054,-0.3242369429,-2.48231841,8.881593609
gamma,1,32,disorder,256,6144,11,-0.01532145571,-0.05948833904,0.02599831069,-1.069417465,-2.395380177,7.651247879
gamma,1,32,disorder,512,6144,10,-0.022725059,-0.09985259434,0.05035049632,-1.343763061,-2.300234347,8.035322232
gamma,1,32,disorder,768,6144,9,-0.02025730774,-0.1337432007,0.08741702425,-1.859028515,-2.195747888,5.815842463
gamma,1,32,disorder,1024,6144,8,-0.029194045,-0.185735566,0.1194065311,-1.756191324,-2.078048628,5.448908805
gamma,1,32,disorder,1536,6144,7,-0.05163923766,-0.3410311458,0.218734547,-1.663526853,-1.944230182,5.980009242
gamma,1,32,disorder,2048,6144,6,-0.05545708565,-0.5804968103,0.4568314424,-1.696296906,-1.790083652,7.139094512
gamma,1,32,disorder,2560,6144,5,-0.2741894807,-1.251472593,0.6760881031,-0.8617727598,-1.606126957,10.73611323
gamma,1,16,disorder,128,6144,12,0.00888240647,-0.0192750859,0.03802100414,-0.4497938001,-2.481742255,4.708630352
gamma,1,16,disorder,256,6144,11,0.009405386882,-0.03485029439,0.05587766918,-1.467045436,-2.395327087,4.49020275
gamma,1,16,disorder,512,6144,10,0.02093732613,-0.05967703313,0.1059302665,-0.7731832117,-2.299687929,5.091947517
gamma,1,16,disorder,768,6144,9,0.04203528279,-0.07808361073,0.1695927066,0.6792681389,-2.192390516,6.507743141
gamma,1,16,disorder,1024,6144,8,0.06079556171,-0.1064728541,0.2368503314,0.838602238,-2.075160447,6.463999809
gamma,1,16,disorder,1536,6144,7,0.1236664733,-0.185401354,0.4537808304,1.906403066,-1.940898338,8.966050931
gamma,1,16,disorder,2048,6144,6,0.1491522419,-0.4349441715,0.7573924158,0.08116512594,-1.78806184,8.912815135
gamma,1,16,disorder,2560,6144,5,0.2059721938,-0.8781451116,1.348044128,-0.4719332039,-1.60492713,13.34159788
gamma,1,8,disorder,128,6144,12,0.003398167575,-0.02920176322,0.03734916912,-2.366636763,-2.483266415,3.682828028
gamma,1,8,disorder,256,6144,11,0.007125576956,-0.04428645883,0.0613133839,-2.193936739,-2.396411703,4.942545232
gamma,1,8,disorder,512,6144,10,-0.0006215783442,-0.09284336261,0.09715433375,-2.302079827,-2.300784275,4.055537047
gamma,1,8,disorder,768,6144,9,-0.0002732124743,-0.1385670989,0.1454890986,-2.197182548,-2.195881132,4.81549607
gamma,1,8,disorder,1024,6144,8,-0.01633498979,-0.2109756155,0.1870777002,-2.009858118,-2.077411047,3.993898259
gamma,1,8,disorder,1536,6144,7,-0.1123075155,-0.4699452801,0.2648225649,-0.9595838797,-1.943479934,5.523150949
gamma,1,8,disorder,2048,6144,6,-0.2547659382,-0.9056702042,0.4307820839,-0.2162629008,-1.788026983,7.673491186
gamma,1,8,disorder,2560,6144,5,-0.5219011415,-1.700411064,0.7312003295,0.5707650436,-1.605300317,14.54729943
gamma,1,4,disorder,128,6144,12,-0.02027158042,-0.05149290559,0.01218074565,1.905509008,-2.475080597,7.210785343
gamma,1,4,disorder,256,6144,11,-0.02801111129,-0.07683307087,0.02314328718,1.123415429,-2.387755351,6.202533888
gamma,1,4,disorder,512,6144,10,-0.05125255671,-0.139240835,0.04340729383,1.851807594,-2.2927984,8.250729885
gamma,1,4,disorder,768,6144,9,-0.05556293645,-0.1873974346,0.08330777359,0.09824987942,-2.192491322,6.312466341
gamma,1,4,disorder,1024,6144,8,-0.06981004427,-0.2556123234,0.122911311,-0.3535678984,-2.075284288,5.389321871
gamma,1,4,disorder,1536,6144,7,-0.1151187425,-0.4625181056,0.2449215353,-0.5729239252,-1.941965505,5.731781959
gamma,1,4,disorder,2048,6144,6,-0.3174871317,-0.9563852169,0.3469913965,1.884605459,-1.782180896,7.837084683
gamma,1,4,disorder,2560,6144,5,-0.7460933503,-1.909086711,0.4766296675,10.76933005,-1.589438454,18.31409577
uniform,1,32,marginal,128,6144,12,-0.0007452731496,-0.02906814387,0.02326854188,-2.449575911,-2.482818294,5.611941972
uniform,1,32,marginal,256,6144,11,0.0007787607356,-0.04375572927,0.03826777167,-2.382682401,-2.395946689,5.234899159
uniform,1,32,marginal,512,6144,10,0.005163311819,-0.07357330135,0.07196260306,-2.086485032,-2.300149616,5.512502447
uniform,1,32,marginal,768,6144,9,0.01412530513,-0.1022005358,0.1133397845,-1.477681665,-2.19481458,5.612805158
uniform,1,32,marginal,1024,6144,8,0.008182604017,-0.1521362717,0.1451547713,-1.963531168,-2.077626455,5.470155145
uniform,1,32,marginal,1536,6144,7,0.02500461133,-0.2721432591,0.2836690304,-1.642781906,-1.943911877,5.437461936
uniform,1,32,marginal,2048,6144,6,0.120667032,-0.4265915393,0.6143967154,0.7198900059,-1.789018003,11.53754914
uniform,1,32,marginal,2560,6144,5,-0.03053111446,-1.068183379,0.9028097274,-1.503361974,-1.604165024,11.90568537
