model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,0.01520178737,-0.09754508135,0.1099232324,0.5146,-3.317494103,-3.464561639,1.721906598,0.07,0.1544044077,0.1598295109
gamma,marginal,weighted,-0.01670540194,-0.07563297214,0.02832275492,0.1904,-2.782299191,-3.463815656,3.482635715,0.1328,0.1497468188,0.1523963287
gamma,conditional,unweighted,0.007824322875,-0.1161617193,0.1164564006,0.4661,-3.445408831,-3.464837237,1.535514135,0.0532,0.2313763432,0.2315349433
gamma,conditional,weighted,-0.060967574,-0.1237046943,-0.008268432999,0.0114,2.219421605,-3.37875595,9.121942582,0.5165,0.2091487456,0.2163512469
gamma,disorder,unweighted,0.0073774645,-0.08530131914,0.1010203266,0.5532,-3.425115525,-3.464944751,2.147544759,0.0671,0.1295493618,0.1388732766
gamma,disorder,weighted,0.03454052207,-0.01528854635,0.08328234367,0.9051,-1.494181269,-3.462243789,3.309051046,0.1556,0.103732901,0.1017687122
uniform,marginal,unweighted,0.03369531332,-0.07685161917,0.1188456527,0.6534,-2.647288062,-3.464644737,1.865432575,0.0773,0.1454576827,0.1512893476
uniform,marginal,weighted,-0.01263606644,-0.07105720807,0.03063740948,0.2191,-2.917839994,-3.463867648,3.403093879,0.1238,0.1543158359,0.1687312439
uniform,conditional,unweighted,-0.002120550611,-0.1432496484,0.1214217416,0.4005,-3.463631127,-3.464718705,3.43487138,0.0951,0.1849749576,0.208619834
uniform,conditional,weighted,-0.05230204892,-0.130942686,0.01186191174,0.0491,2.882696291,-3.448103266,10.06423453,0.4335,0.1841636977,0.2058690357
uniform,disorder,unweighted,0.03581586393,-0.05599555356,0.1231506141,0.7712,-0.4016176964,-3.463577355,6.956865929,0.2333,0.06907537274,0.07593343612
uniform,disorder,weighted,0.03645839748,-0.01454737074,0.08723983034,0.9237,1.546305628,-3.458513983,7.514141457,0.3127,0.07024487967,0.05497214881
