model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,-0.006599673189,-0.1047601908,0.08078473124,0.3979,-2.045234191,-2.078340614,3.501479075,0.1621,0.1815896607,0.247245154
gamma,1,32,conditional,-0.03342532796,-0.1492002713,0.07498970423,0.2603,-1.549987239,-2.078010777,4.281459414,0.2172,0.2623576282,0.3555275351
gamma,1,32,disorder,0.01731502678,-0.07360627116,0.1048085203,0.6368,-1.858313648,-2.078401899,3.115985439,0.1486,0.07555112854,0.1036699573
gamma,1,16,marginal,-0.0579334704,-0.1490383655,0.01848538578,0.0648,2.621285855,-2.067701803,10.08664019,0.541,0.08594836194,0.01885275085
gamma,1,16,conditional,-0.05485960071,-0.1559609747,0.04162404599,0.1183,-1.014981119,-2.077122158,4.330799438,0.2588,0.1855698603,0.2980218294
gamma,1,16,disorder,-0.02184782553,-0.1123121971,0.06442180747,0.2961,-1.908265657,-2.07873078,1.56227183,0.0905,0.1116204563,0.2891688143
gamma,1,8,marginal,-0.04493902571,-0.1576157076,0.05360649765,0.1599,-0.8231346095,-2.076846974,6.104831433,0.3075,0.1642662387,0.1335944611
gamma,1,8,conditional,-0.1437878828,-0.2734597861,-0.02628912306,0.0084,6.324018771,-1.873261273,13.76760676,0.7994,0.1677796678,0.05556009337
gamma,1,8,disorder,0.09755798411,-0.003173216427,0.198255914,0.9692,2.932937847,-2.053616688,10.03881419,0.5929,0.1463916876,0.1479155996
gamma,1,4,marginal,0.06283277221,-0.04789906262,0.1622030009,0.8503,-0.7155334793,-2.077246813,4.442893825,0.2342,0.1495028964,0.1590548563
gamma,1,4,conditional,-0.01483560474,-0.1493591865,0.1135358282,0.3676,-1.979538674,-2.078446156,4.033838275,0.184,0.2086985293,0.2355999285
gamma,1,4,disorder,0.07210316017,-0.03925903999,0.1786364172,0.9022,-0.4699229158,-2.075490562,4.827815639,0.2965,0.05868929647,0.2349691642
uniform,1,32,marginal,-0.01426581831,-0.1085674734,0.07122290497,0.3216,-1.852688454,-2.078114851,4.573363613,0.2105,0.01034053729,0.05425946189
uniform,1,32,conditional,-0.008626538123,-0.1363069926,0.1101190796,0.4095,-1.489802607,-2.077331547,6.85453974,0.2768,0.003692645837,0.02761974469
uniform,1,32,disorder,-0.002356371852,-0.08711617038,0.07962277692,0.4742,-2.070922373,-2.078315116,4.13767961,0.1808,0.005211211642,0.009836428165
uniform,1,16,marginal,0.05138921689,-0.06089841875,0.1521625281,0.792,0.5742519937,-2.076831575,7.115098216,0.3179,0.2646785023,0.2273896512
uniform,1,16,conditional,-0.007431000695,-0.1541411904,0.1303091653,0.4158,-2.042738891,-2.07820764,5.017112239,0.2113,0.2756682629,0.3312854225
uniform,1,16,disorder,0.05858243996,-0.04703070941,0.1652128474,0.8626,2.334536466,-2.074975109,8.800461317,0.427,0.0392986476,0.1065982159
uniform,1,8,marginal,-0.01734639898,-0.1208726357,0.07572280941,0.3161,-1.682430048,-2.078163694,5.569689375,0.2376,0.03027860876,0.07317333247
uniform,1,8,conditional,-0.09590834038,-0.2334470143,0.02937716565,0.0669,3.675208912,-2.066220586,10.71784791,0.5591,0.09705691532,0.1921083977
uniform,1,8,disorder,0.07488089859,-0.02367543063,0.1717379632,0.9324,1.260971277,-2.070094327,8.207230365,0.466,0.08064775701,0.1181918753
uniform,1,4,marginal,-0.06638057618,-0.1805083278,0.03275973073,0.0809,0.4805370754,-2.073739041,7.874903738,0.4396,0.1554833704,0.1430971432
uniform,1,4,conditional,-0.1050660349,-0.2529777864,0.02989978451,0.0592,1.079472663,-2.068301558,8.695701551,0.4872,0.2241392393,0.1799818701
uniform,1,4,disorder,0.03085591875,-0.06980089253,0.1318853688,0.7199,-1.068223606,-2.077536345,5.875914273,0.2498,0.1079896816,0.1381500588
