model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,32,32,2,6000,-0.0245,-0.0035,0.3375833472,0.3283571425,0.3466633706,0.2844935823,0.2739428915,0.2949964411,0.05308976496,0.04415196908,0.06208114825
gamma,1,32,64,4,6000,-0.001666666667,-0.031,0.4164208479,0.4059008911,0.4265582288,0.3502948269,0.3377089084,0.3627152803,0.066126021,0.05557233706,0.0767723829
gamma,1,32,128,8,6000,-0.0245,-0.01816666667,0.484115547,0.4719663958,0.4961942216,0.4115485359,0.3966010863,0.426732844,0.07256701117,0.0598808989,0.08524845391
gamma,1,32,256,16,6000,-0.01483333333,-0.024,0.5407754487,0.5270051168,0.554238554,0.4664523948,0.449412284,0.4831939611,0.07432305384,0.06059759335,0.08812016794
gamma,1,32,512,32,5000,-0.0122,-0.0076,0.6137194439,0.5962141613,0.63061995,0.5205935387,0.500237255,0.5410707206,0.09312590518,0.07559596919,0.1108833487
gamma,1,32,768,48,4000,-0.0235,-0.00525,0.6569993436,0.6365409571,0.6779107402,0.5560974931,0.5317365318,0.5813376563,0.1009018505,0.07989983433,0.1223602244
gamma,1,32,1024,64,3000,0.016,0.008,0.7047415805,0.679363981,0.7295934089,0.6235091697,0.5924127153,0.6562116997,0.0812324108,0.05585703012,0.1070518395
gamma,1,32,1536,96,1600,-0.01875,-0.005,0.7421505629,0.7056225717,0.7776752902,0.6409310507,0.5978434178,0.68370441,0.1012195122,0.06486465174,0.1389402263
gamma,1,32,2048,128,1000,-0.036,-0.018,0.783973974,0.7339723599,0.8336830831,0.6765145145,0.6161568068,0.7371588213,0.1074594595,0.05657342342,0.1574534034
gamma,1,32,2560,160,400,-0.0275,-0.05,0.7339567669,0.6595075971,0.8050729167,0.6776911028,0.581439458,0.7747838346,0.05626566416,-0.01466384712,0.1278217419
gamma,1,32,3072,192,300,-0.03,0,0.7804849498,0.6932640747,0.8667465162,0.5998829431,0.5090914158,0.692638796,0.1806020067,0.09609698997,0.2642140468
gamma,1,32,4096,256,150,-0.07333333333,-0.02,0.7823266219,0.6548048098,0.9106280761,0.6227293065,0.490917226,0.7606487696,0.1595973154,0.04075391499,0.2853780761
gamma,1,32,5120,320,80,-0.075,0.0125,0.8261867089,0.6546677215,1.000553797,0.6480221519,0.4604331487,0.8537183544,0.178164557,0.0253164557,0.3305419304
gamma,1,32,6144,384,40,-0.15,0,1.091025641,0.7266025641,1.435264423,1.03974359,0.5894230769,1.574038462,0.05128205128,-0.3051442308,0.391025641
gamma,1,16,32,4,6000,-0.01933333333,-0.01033333333,0.4188295271,0.4082116294,0.4291516659,0.3513513919,0.339054491,0.3637296911,0.06747813524,0.05658114894,0.07826016836
gamma,1,16,64,8,6000,-0.002333333333,-0.03066666667,0.4802737679,0.4684363397,0.4918426297,0.4024990276,0.38812969,0.4165411725,0.07777474023,0.06554338362,0.09012160152
gamma,1,16,128,16,6000,-0.03883333333,-0.05033333333,0.550654373,0.5369181252,0.5644093186,0.4782635856,0.4617785325,0.4950216147,0.07239078735,0.05846969287,0.08621515114
gamma,1,16,256,32,6000,-0.018,-0.0295,0.6159221954,0.6004055332,0.6312509057,0.545608143,0.5265142968,0.5649941324,0.07031405234,0.05491895108,0.08614439907
gamma,1,16,512,64,5000,-0.0048,-0.0222,0.7019824565,0.6834319489,0.7208450805,0.6210728346,0.5978985537,0.6447155591,0.08090962192,0.06065047209,0.1009244429
gamma,1,16,768,96,4000,-0.021,-0.056,0.7206416604,0.6988761886,0.7426785329,0.6242935734,0.5972124945,0.6517416604,0.09634808702,0.07353580583,0.1187625594
gamma,1,16,1024,128,3000,-0.001666666667,-0.04133333333,0.7515615761,0.7247636476,0.7778882516,0.6732710348,0.6409052504,0.7055147924,0.07829054129,0.05160941425,0.1053172585
gamma,1,16,1536,192,1600,-0.06375,-0.034375,0.8169502423,0.777663144,0.8564352867,0.6771792917,0.6335048126,0.7217035598,0.1397709506,0.1007817288,0.1772283165
gamma,1,16,2048,256,1000,-0.026,-0.01,0.8064184184,0.7562307933,0.8567413789,0.7306026026,0.6696571572,0.7952835711,0.07581581582,0.02507607608,0.1260081081
gamma,1,16,2560,320,400,0.0175,-0.17,0.8136810777,0.7370297619,0.8885982143,0.702929198,0.599214364,0.8116285244,0.1107518797,0.02779965539,0.1934360902
gamma,1,16,3072,384,300,0.01666666667,0.03,0.8254960981,0.7353287347,0.9103592531,0.7089409142,0.6005734392,0.8170568562,0.1165551839,0.02128985507,0.2109829989
gamma,1,16,4096,512,150,-0.1333333333,-0.12,0.9099776286,0.7520576063,1.074006711,0.9193736018,0.71373434,1.130313199,-0.009395973154,-0.1653691275,0.1570525727
gamma,1,16,5120,640,80,0,-0.025,0.8351265823,0.6555379747,1.004986155,0.7465189873,0.5125791139,0.9840981013,0.08860759494,-0.1120253165,0.296210443
gamma,1,16,6144,768,40,0.05,0.125,0.7983974359,0.5996794872,0.9663461538,0.5227564103,0.3282051282,0.7179487179,0.2756410256,0.07626602564,0.4666666667
gamma,1,8,32,8,6000,-0.05283333333,-0.039,0.4913423765,0.4792362786,0.5036114078,0.4112228566,0.3963176557,0.4262356257,0.08011951992,0.06725152734,0.09318200742
gamma,1,8,64,16,6000,-0.05033333333,-0.04666666667,0.5625714841,0.5488697081,0.5763185962,0.4900749569,0.4729646636,0.5076678641,0.0724965272,0.05794180905,0.08684713286
gamma,1,8,128,32,6000,-0.05566666667,-0.0635,0.6279558121,0.6125770146,0.6440647639,0.5506444268,0.5313809427,0.5706509613,0.07731138523,0.06146612422,0.09308146774
gamma,1,8,256,64,6000,-0.05016666667,-0.05933333333,0.6965141829,0.6791006348,0.713842488,0.6133102045,0.5914000101,0.6348547414,0.08320397844,0.0657865679,0.100958027
gamma,1,8,512,128,5000,-0.0526,-0.043,0.7558432887,0.7347538668,0.7763253051,0.6464832166,0.6211668599,0.6719140228,0.109360072,0.08767667734,0.1307717383
gamma,1,8,768,192,4000,-0.07975,-0.063,0.8091627594,0.7842628032,0.8339022412,0.7204148225,0.6890182046,0.7525883229,0.08874793698,0.0633059593,0.1140713663
gamma,1,8,1024,256,3000,-0.07133333333,-0.05,0.8031401578,0.7740182797,0.8316526023,0.6930034456,0.6589757697,0.726982772,0.1101367122,0.08155992831,0.1397803851
gamma,1,8,1536,384,1600,-0.044375,-0.0275,0.8888803549,0.8444831926,0.9337535178,0.8188068715,0.761099613,0.8751502502,0.07007348343,0.0282880609,0.1135398687
gamma,1,8,2048,512,1000,-0.037,-0.08,0.887503003,0.8305366241,0.9442251126,0.7943698699,0.7245600601,0.8624138639,0.09313313313,0.03754406907,0.1500962713
gamma,1,8,2560,640,400,0.0925,-0.1375,0.9035275689,0.8018501723,1.007220395,0.870726817,0.7195964912,1.047347196,0.03280075188,-0.07714395363,0.1311027569
gamma,1,8,3072,768,300,-0.1033333333,-0.02333333333,0.9308249721,0.8208638517,1.032971572,0.7961204013,0.6785408305,0.9067782887,0.1347045708,0.02728874025,0.2463118729
gamma,1,8,4096,1024,150,-0.08666666667,-0.1266666667,1.014988814,0.8440469799,1.18910962,0.8582550336,0.6739239374,1.044742729,0.1567337808,-0.0002729306488,0.3328914989
gamma,1,8,5120,1280,80,-0.1375,-0.0875,1.087816456,0.8759473892,1.288451345,0.8088607595,0.5898734177,1.030933544,0.2789556962,0.06234177215,0.4946242089
gamma,1,8,6144,1536,40,-0.025,-0.35,0.821474359,0.5330128205,1.10994391,0.753525641,0.4243189103,1.096153846,0.06794871795,-0.1794871795,0.3333333333
gamma,1,4,32,16,6000,-0.08883333333,-0.1018333333,0.5432931878,0.5306091835,0.5562642427,0.483996166,0.4669634939,0.5015665805,0.05929702173,0.04510712897,0.0735348572
gamma,1,4,64,32,6000,-0.1148333333,-0.1165,0.6300588709,0.6146522167,0.6449477368,0.5392551536,0.5199105222,0.5578314719,0.09080371729,0.07529172987,0.1069242478
gamma,1,4,128,64,6000,-0.104,-0.1048333333,0.679293535,0.6629579051,0.6958581517,0.5931818498,0.5728437934,0.6142222315,0.08611168528,0.06897747125,0.1032725621
gamma,1,4,256,128,6000,-0.09216666667,-0.1103333333,0.7353718259,0.7168392246,0.7532659179,0.6355242402,0.6128007053,0.6586876893,0.09984758571,0.08088546424,0.1184975454
gamma,1,4,512,256,5000,-0.0902,-0.1052,0.8124609522,0.7903362793,0.8346440268,0.712129926,0.6838136092,0.7405565668,0.1003310262,0.0771740238,0.1233705571
gamma,1,4,768,384,4000,-0.11875,-0.12975,0.8657481245,0.8390764449,0.8922475283,0.7726326582,0.7400090452,0.8064490373,0.09311546637,0.06676634159,0.1189960021
gamma,1,4,1024,512,3000,-0.1026666667,-0.1143333333,0.9143318328,0.8806998263,0.9472475714,0.7820259531,0.7413665597,0.8228769201,0.1323058797,0.09950826942,0.1647106591
gamma,1,4,1536,768,1600,-0.065625,-0.115625,0.9161096779,0.8700411585,0.9617501563,0.8092557849,0.7526262508,0.8676437226,0.1068538931,0.06076829268,0.1529512097
gamma,1,4,2048,1024,1000,-0.106,-0.093,0.8804379379,0.8283755631,0.9330202327,0.7962117117,0.7311184184,0.8642886261,0.08422622623,0.03179684685,0.1363048298
gamma,1,4,2560,1280,400,0.0125,-0.1875,0.9998433584,0.8968345865,1.104655388,0.7994987469,0.6826484179,0.9177681704,0.2003446115,0.107891604,0.2950639098
gamma,1,4,3072,1536,300,-0.006666666667,-0.1166666667,0.9279319955,0.8230022297,1.027598105,0.8484448161,0.728974359,0.9681772575,0.07948717949,-0.02524080268,0.1876931438
gamma,1,4,4096,2048,150,-0.09333333333,-0.1,1.040917226,0.8862623043,1.194027405,0.7684340045,0.6006442953,0.9507829978,0.2724832215,0.1041085011,0.4451029083
gamma,1,4,5120,2560,80,0.0125,-0.2125,0.8504746835,0.6518117089,1.046522943,0.6832278481,0.4359968354,0.9587816456,0.1672468354,-0.04748417722,0.3863924051
gamma,1,4,6144,3072,40,-0.175,-0.15,1.139423077,0.8240384615,1.418910256,1.089423077,0.7048076923,1.474038462,0.05,-0.2307692308,0.3442467949
uniform,1,32,32,2,6000,-0.01333333333,-0.007833333333,0.3358530727,0.3271153553,0.3444015006,0.3396248125,0.3277811375,0.351808293,-0.003771739734,-0.01230336306,0.004606761544
uniform,1,32,64,4,6000,-0.01633333333,-0.02016666667,0.4168160666,0.4064506755,0.4269564063,0.4139783158,0.3992831305,0.4286374048,0.002837750736,-0.007847812135,0.01348809663
uniform,1,32,128,8,6000,-0.004833333333,-0.01533333333,0.4736997138,0.461684927,0.4855281467,0.4754407818,0.4584796411,0.492495144,-0.001741067956,-0.01383748333,0.0101085292
uniform,1,32,256,16,6000,-0.008833333333,-0.02283333333,0.5489584653,0.5355302186,0.5625409054,0.5511605268,0.5318497527,0.5707174599,-0.002202061455,-0.01621584014,0.01163270476
uniform,1,32,512,32,5000,-0.0288,-0.0272,0.6199393479,0.6026174135,0.6371477771,0.607320184,0.584457445,0.6309233747,0.01261916383,-0.004836140228,0.02999145629
uniform,1,32,768,48,4000,-0.017,-0.0255,0.6779498625,0.6570255689,0.6988533485,0.6783834709,0.649106529,0.7085385221,-0.0004336084021,-0.02121581177,0.02075980401
uniform,1,32,1024,64,3000,-0.01666666667,-0.014,0.6853248861,0.6612944245,0.7092278857,0.6782225186,0.6449046349,0.7111207222,0.007102367456,-0.01696327109,0.03134024953
uniform,1,32,1536,96,1600,0.001875,-0.046875,0.7205999844,0.686864212,0.754217382,0.7230136023,0.6757648921,0.771308005,-0.002413617886,-0.0367715369,0.03193461734
uniform,1,32,2048,128,1000,-0.053,-0.016,0.7947622623,0.7448291667,0.8439084585,0.7645800801,0.6962351351,0.8343843844,0.03018218218,-0.01968811311,0.07996431431
uniform,1,32,2560,160,400,0.025,0.0675,0.7705858396,0.6982791353,0.8416521773,0.7622525063,0.6641462249,0.8636309524,0.008333333333,-0.06447399749,0.08195614035
uniform,1,32,3072,192,300,-0.01,0.03666666667,0.7584726867,0.6760033445,0.8395055741,0.8082720178,0.6739042642,0.9448106187,-0.0497993311,-0.1389972129,0.04008918618
uniform,1,32,4096,256,150,-0.1133333333,-0.006666666667,0.8391498881,0.6851208054,0.9993747204,0.8063534676,0.5978506711,1.026845638,0.03279642058,-0.09763087248,0.1634899329
uniform,1,32,5120,320,80,-0.025,-0.1,0.8680379747,0.6727749209,1.058704509,0.8579113924,0.5794303797,1.16132318,0.01012658228,-0.19875,0.2183544304
uniform,1,32,6144,384,40,0.05,0,0.8705128205,0.6163461538,1.098421474,0.8705128205,0.558974359,1.184302885,0,-0.2019230769,0.2032051282
uniform,1,16,32,4,6000,-0.02433333333,-0.02466666667,0.4236369951,0.4132250101,0.433906923,0.4234038451,0.4083923432,0.4385325888,0.0002331499694,-0.01058650192,0.0109235192
uniform,1,16,64,8,6000,-0.031,-0.0185,0.4853459327,0.473556234,0.497244563,0.4942542507,0.477141593,0.5121683475,-0.008908318053,-0.02147556537,0.003372937156
uniform,1,16,128,16,6000,-0.01883333333,-0.0305,0.5586172973,0.5446000063,0.5721996607,0.5668597544,0.5468832041,0.586763131,-0.008242457076,-0.02236374812,0.005555611352
uniform,1,16,256,32,6000,-0.01066666667,-0.03266666667,0.6123449464,0.5974230618,0.6276932544,0.620528088,0.5992481233,0.6427471815,-0.008183141635,-0.02365244624,0.007072494027
uniform,1,16,512,64,5000,-0.0284,-0.0448,0.6999331866,0.6816413563,0.718997365,0.6792013603,0.6528263178,0.7058008322,0.02073182637,0.001456335267,0.04031215243
uniform,1,16,768,96,4000,-0.01225,-0.006,0.7172112716,0.6953913088,0.7385471555,0.7245366029,0.6942918417,0.7552326832,-0.007325331333,-0.02872348243,0.01429651319
uniform,1,16,1024,128,3000,-0.041,-0.01133333333,0.7661840058,0.7385491261,0.7926679574,0.773317717,0.7332261865,0.8116371568,-0.007133711237,-0.03444961654,0.02062061798
uniform,1,16,1536,192,1600,-0.026875,-0.006875,0.8032422608,0.7641944575,0.8409818881,0.8196873046,0.7634828799,0.8758408527,-0.01644504378,-0.05524327705,0.02322859013
uniform,1,16,2048,256,1000,0.002,-0.033,0.8347882883,0.7831566942,0.885353954,0.8247122122,0.7514065065,0.9004373498,0.01007607608,-0.0436037037,0.06177822823
uniform,1,16,2560,320,400,0.0525,-0.0125,0.8381390977,0.7591122337,0.9180704104,0.8550250627,0.7512249373,0.9620986059,-0.01688596491,-0.09675610902,0.06310823935
uniform,1,16,3072,384,300,-0.07,-0.05,0.9126755853,0.806190078,1.027222965,0.8459531773,0.7187068004,0.9758083891,0.06672240803,-0.04395317726,0.1872040134
uniform,1,16,4096,512,150,-0.08,-0.04,0.9288590604,0.7829955257,1.07501566,0.8448322148,0.6636241611,1.030534676,0.08402684564,-0.06644630872,0.2366006711
uniform,1,16,5120,640,80,-0.025,-0.05,0.9477848101,0.7388390032,1.145492484,0.860443038,0.6075098892,1.121518987,0.08734177215,-0.1370253165,0.3245253165
