model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,32,marginal,1024,64,training,0.686212293,0.6817641462,0.6971782516
gamma,1,32,marginal,1536,96,training,0.7436425109,0.7274394506,0.7196345809
gamma,1,32,marginal,2048,128,training,0.7556196196,0.7598465949,0.7473800703
gamma,1,32,marginal,2560,160,training,0.7530545113,0.7849835288,0.7756535645
gamma,1,32,marginal,3072,192,training,0.7911928651,0.8055218993,0.8031338831
gamma,1,32,marginal,4096,256,training,0.8677628635,0.8379290436,0.8545043131
gamma,1,32,marginal,5120,320,heldout,0.6992879747,0.8630659776,0.9011027347
gamma,1,32,marginal,6144,384,heldout,0.9916666667,0.8836043481,0.9435556093
gamma,1,32,conditional,1024,64,training,0.5965312882,0.6087701315,0.6069348255
gamma,1,32,conditional,1536,96,training,0.665909162,0.6340825801,0.6350118798
gamma,1,32,conditional,2048,128,training,0.6364364364,0.6520420481,0.6535263955
gamma,1,32,conditional,2560,160,training,0.6629041353,0.6659724938,0.6670833815
gamma,1,32,conditional,3072,192,training,0.6704347826,0.6773544967,0.6776388298
gamma,1,32,conditional,4096,256,training,0.7013199105,0.6953139648,0.6933404029
gamma,1,32,conditional,5120,320,heldout,0.7087816456,0.7092444105,0.704715501
gamma,1,32,conditional,6144,384,heldout,0.9115384615,0.7206264134,0.7134882171
gamma,1,32,disorder,1024,64,training,0.08968100478,0.07299401466,0.09024342612
gamma,1,32,disorder,1536,96,training,0.07773334897,0.09335687055,0.08462270108
gamma,1,32,disorder,2048,128,training,0.1191831832,0.1078045467,0.09385367479
gamma,1,32,disorder,2560,160,training,0.09015037594,0.119011035,0.108570183
gamma,1,32,disorder,3072,192,training,0.1207580825,0.1281674026,0.1254950533
gamma,1,32,disorder,4096,256,training,0.166442953,0.1426150788,0.1611639102
gamma,1,32,disorder,5120,320,heldout,-0.009493670886,0.1538215671,0.1963872337
gamma,1,32,disorder,6144,384,heldout,0.08012820513,0.1629779347,0.2300673922
gamma,1,16,marginal,1024,128,training,0.765083639,0.758841366,0.7721835414
gamma,1,16,marginal,1536,192,training,0.8031103424,0.7980328273,0.791277071
gamma,1,16,marginal,2048,256,training,0.8269109109,0.8258396117,0.8150488099
gamma,1,16,marginal,2560,320,training,0.8327318296,0.8474082293,0.8393323781
gamma,1,16,marginal,3072,384,training,0.8390356745,0.865031073,0.8629640486
gamma,1,16,marginal,4096,512,training,0.9211185682,0.8928378573,0.9071851156
gamma,1,16,marginal,5120,640,heldout,0.7922468354,0.9144064749,0.9473304151
gamma,1,16,marginal,6144,768,heldout,0.7766025641,0.9320293187,0.9839220636
gamma,1,16,conditional,1024,128,training,0.6873797377,0.6617632421,0.692446691
gamma,1,16,conditional,1536,192,training,0.6804094356,0.6884908828,0.672954443
gamma,1,16,conditional,2048,256,training,0.6876556557,0.7074544457,0.6826384763
gamma,1,16,conditional,2560,320,training,0.7180451128,0.7221637279,0.7035914217
gamma,1,16,conditional,3072,384,training,0.6927257525,0.7341820865,0.7294284811
gamma,1,16,conditional,4096,512,training,0.80098434,0.7531456494,0.7861405212
gamma,1,16,conditional,5120,640,heldout,0.6553797468,0.7678549315,0.8435712225
gamma,1,16,conditional,6144,768,heldout,0.7996794872,0.7798732901,0.8992127786
gamma,1,16,disorder,1024,128,training,0.0777039013,0.09707812393,0.07973685043
gamma,1,16,disorder,1536,192,training,0.1227009068,0.1095419445,0.118322628
gamma,1,16,disorder,2048,256,training,0.1392552553,0.118385166,0.1324103335
gamma,1,16,disorder,2560,320,training,0.1146867168,0.1252445014,0.1357409564
gamma,1,16,disorder,3072,384,training,0.146309922,0.1308489865,0.1335355675
gamma,1,16,disorder,4096,512,training,0.1201342282,0.139692208,0.1210445945
gamma,1,16,disorder,5120,640,heldout,0.1368670886,0.1465515434,0.1037591926
gamma,1,16,disorder,6144,768,heldout,-0.02307692308,0.1521560286,0.08470928499
gamma,1,8,marginal,1024,256,training,0.8567381905,0.8275852987,0.8735750061
