model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
gamma,1,32,disorder,128,6144,12,-0.009132413777,-0.04324031373,0.02489442084,-1.303424369,-2.482211298,4.541855611
gamma,1,32,disorder,256,6144,11,-0.01192646573,-0.0662534781,0.04213732528,-1.595156056,-2.395043654,4.100325883
gamma,1,32,disorder,512,6144,10,-0.02525883968,-0.1243722381,0.07354294751,-1.120747567,-2.299581142,5.83457498
gamma,1,32,disorder,768,6144,9,-0.04028326954,-0.1889813859,0.1070862865,-0.868333797,-2.194351615,6.656677007
gamma,1,32,disorder,1024,6144,8,-0.05772212658,-0.2657195203,0.1486832719,-0.7993747189,-2.076296344,6.872230751
gamma,1,32,disorder,1536,6144,7,-0.1145098869,-0.4989962856,0.2682311801,-0.4767449292,-1.942692693,9.538082799
gamma,1,32,disorder,2048,6144,6,-0.1084915666,-0.8134674255,0.5850347935,-1.381170798,-1.78826197,8.152503008
gamma,1,32,disorder,2560,6144,5,-0.2172294666,-1.471307902,1.020305628,-1.110698948,-1.606556977,14.45677164
gamma,1,16,disorder,128,6144,12,-0.01168959899,-0.03608800783,0.01262756,-0.9154802874,-2.481511384,3.02558893
gamma,1,16,disorder,256,6144,11,-0.02307240349,-0.06119517273,0.01522976837,0.1191398008,-2.390056236,4.053533773
gamma,1,16,disorder,512,6144,10,-0.05634920796,-0.1245869957,0.01353093996,3.327205722,-2.264692673,8.751863432
gamma,1,16,disorder,768,6144,9,-0.082761363,-0.1834886966,0.02231508611,3.67439325,-2.165054276,9.660051151
gamma,1,16,disorder,1024,6144,8,-0.1211302155,-0.2626844813,0.02629501324,4.522802199,-2.047665921,11.38946703
gamma,1,16,disorder,1536,6144,7,-0.1643914854,-0.4339365163,0.1080817915,2.192109758,-1.936242048,8.909185342
gamma,1,16,disorder,2048,6144,6,-0.2650829473,-0.7592534624,0.2398849123,1.857055982,-1.783658019,9.012174304
gamma,1,16,disorder,2560,6144,5,-0.525230168,-1.45909869,0.4082321159,4.041188977,-1.595298838,16.51171176
gamma,1,8,disorder,128,6144,12,0.0247286017,-0.007954639975,0.05768088812,-0.7617731138,-2.477212624,2.300368336
