model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,-0.001763643647,-0.02059999038,0.01242555717,0.2773,-3.762758101,-3.869591721,3.729477576,0.1132,0.1195714562,0.1211903166
gamma,marginal,weighted,-0.001440046949,-0.007070713954,0.00299564104,0.2125,-3.389771158,-3.870002142,1.571195185,0.0646,0.1240274561,0.1241324623
gamma,conditional,unweighted,-0.003239512014,-0.0233098343,0.01247872939,0.2554,-3.726372258,-3.870017945,1.748900917,0.0663,0.1728958163,0.1819583084
gamma,conditional,weighted,-0.004056521664,-0.01086946482,0.001673583803,0.0749,-1.353864464,-3.865165698,4.57650617,0.1928,0.1591865547,0.156596719
gamma,disorder,unweighted,0.001475868367,-0.01430646257,0.01704876374,0.5499,-3.832235487,-3.870451668,-0.0871535282,0.0236,0.1741277271,0.1779496164
gamma,disorder,weighted,0.001363928369,-0.003764512815,0.00634193298,0.7026,-3.593514746,-3.870471546,-0.3065912625,0.0188,0.1474473597,0.1465056017
uniform,marginal,unweighted,0.006992472352,-0.01260548878,0.02078713937,0.6792,-2.695146634,-3.87024416,1.59807853,0.0603,0.1509018437,0.1513162495
uniform,marginal,weighted,0.00226078787,-0.003236846682,0.006695066707,0.7322,-2.651374741,-3.870091959,0.9515229583,0.0479,0.1579882733,0.15416381
uniform,conditional,unweighted,0.0001147527874,-0.02506442977,0.02086528248,0.407,-3.870975068,-3.869952717,3.433682072,0.0956,0.1766793753,0.178770516
uniform,conditional,weighted,0.002297131789,-0.005433647077,0.008625702168,0.6723,-2.959838395,-3.870080904,1.185299679,0.048,0.1734939978,0.1726118241
uniform,disorder,unweighted,0.006877719564,-0.009173421072,0.02257802504,0.7921,0.06041059114,-3.867659169,7.177436983,0.2436,0.06125753519,0.05683260447
uniform,disorder,weighted,-0.0003492299113,-0.005599782938,0.004852301424,0.449,-3.840624388,-3.870414915,0.2492024927,0.029,0.06225642329,0.06590917402
