model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,32,32,2,6000,-0.01766666667,-0.01766666667,0.3384109574,0.3292362706,0.3475316039,0.2845474246,0.2741799953,0.2951962897,0.05386353281,0.04491611727,0.06270196283
gamma,1,32,64,4,6000,-0.01216666667,-0.01133333333,0.4120137662,0.4010299967,0.4227316629,0.3578092877,0.3444426588,0.3712576447,0.05420447852,0.04348388481,0.06516430516
gamma,1,32,128,8,6000,-0.01516666667,-0.008166666667,0.4737639329,0.4618805815,0.4854625809,0.4158781464,0.4005658262,0.4308551425,0.05788578652,0.04561109352,0.07002612102
gamma,1,32,256,16,6000,-0.01266666667,-0.02433333333,0.5465481469,0.5330821081,0.5601108785,0.465009446,0.4482386064,0.4816135967,0.08153870089,0.06759206743,0.09568809385
gamma,1,32,512,32,5000,-0.0024,-0.0122,0.6307488498,0.6135662768,0.6487171579,0.5473614523,0.5261367393,0.5693972154,0.08338739748,0.06519308562,0.1014179936
gamma,1,32,768,48,4000,-0.00525,-0.019,0.665597118,0.6452571948,0.6859453191,0.5801755126,0.554688594,0.605457802,0.0854216054,0.06453358027,0.1061617311
gamma,1,32,1024,64,3000,0.004666666667,0.003333333333,0.686212293,0.6611636768,0.7107900342,0.5965312882,0.5666930463,0.627205563,0.08968100478,0.06464428421,0.11450987
gamma,1,32,1536,96,1600,-0.030625,-0.014375,0.7436425109,0.7088615736,0.7781474945,0.665909162,0.6218783468,0.7106204219,0.07773334897,0.04209135593,0.1140967597
gamma,1,32,2048,128,1000,0.004,-0.016,0.7556196196,0.7076412287,0.8032788288,0.6364364364,0.5825825325,0.6926956456,0.1191831832,0.07395077578,0.1653240741
gamma,1,32,2560,160,400,-0.0075,-0.01,0.7530545113,0.6817977757,0.8250317199,0.6629041353,0.5682149906,0.7608797776,0.09015037594,0.01453320802,0.1654642857
gamma,1,32,3072,192,300,0.006666666667,-0.05333333333,0.7911928651,0.708215301,0.8734789576,0.6704347826,0.5715663322,0.772377369,0.1207580825,0.03011120401,0.2143258082
gamma,1,32,4096,256,150,0.03333333333,0.04,0.8677628635,0.7270872483,1.007808166,0.7013199105,0.556689038,0.8448322148,0.166442953,0.02495973154,0.3181297539
gamma,1,32,5120,320,80,0.0625,-0.05,0.6992879747,0.5397151899,0.8651107595,0.7087816456,0.5024525316,0.9303006329,-0.009493670886,-0.146835443,0.1248457278
gamma,1,32,6144,384,40,0.125,-0.025,0.9916666667,0.6740384615,1.309615385,0.9115384615,0.5128205128,1.356089744,0.08012820513,-0.258974359,0.4301282051
gamma,1,16,32,4,6000,-0.0405,-0.03966666667,0.421213355,0.4106629233,0.4313605083,0.3581426766,0.3453547827,0.3710153272,0.06307067845,0.05227106393,0.07388163444
gamma,1,16,64,8,6000,-0.024,-0.008,0.4874279047,0.4753291483,0.499620585,0.4171081847,0.4023163111,0.4323689674,0.07031971995,0.05767558343,0.08292031102
gamma,1,16,128,16,6000,-0.01666666667,-0.01583333333,0.5460767767,0.5322768882,0.5600872253,0.4699946519,0.4535721638,0.4869145524,0.0760821248,0.06197614394,0.08988987331
gamma,1,16,256,32,6000,-0.02383333333,-0.044,0.6237686142,0.6082496138,0.6388091571,0.5401366756,0.5206697644,0.5595252945,0.08363193866,0.06744425321,0.09981097544
gamma,1,16,512,64,5000,-0.0144,-0.0166,0.6749935387,0.6561929861,0.6935690993,0.6066189038,0.5833615398,0.6303820764,0.06837463493,0.04939717443,0.08719947089
gamma,1,16,768,96,4000,0.00175,-0.028,0.7304140723,0.7075270239,0.7528370757,0.6408426794,0.6122460303,0.6702617115,0.08957139285,0.06650838491,0.1128912869
gamma,1,16,1024,128,3000,-0.01533333333,-0.021,0.765083639,0.7373471324,0.7924663291,0.6873797377,0.6520470157,0.7237624986,0.0777039013,0.05005035845,0.1058163304
gamma,1,16,1536,192,1600,-0.04875,-0.074375,0.8031103424,0.7611407178,0.8440194555,0.6804094356,0.6306826532,0.7300798106,0.1227009068,0.08327020794,0.1627116166
gamma,1,16,2048,256,1000,-0.034,-0.026,0.8269109109,0.775952953,0.8766123123,0.6876556557,0.6302901276,0.7457667668,0.1392552553,0.0894738989,0.1888057558
gamma,1,16,2560,320,400,-0.06,-0.01,0.8327318296,0.7542652726,0.9101694862,0.7180451128,0.620297619,0.8163451598,0.1146867168,0.03273637218,0.1982713033
gamma,1,16,3072,384,300,-0.01333333333,-0.06333333333,0.8390356745,0.7449202899,0.9282222687,0.6927257525,0.5891772575,0.7985451505,0.146309922,0.05640802676,0.2385961538
gamma,1,16,4096,512,150,-0.006666666667,-0.1,0.9211185682,0.7880313199,1.050492729,0.80098434,0.6519211409,0.9508752796,0.1201342282,-0.01620134228,0.2644328859
gamma,1,16,5120,640,80,0.1875,0.0125,0.7922468354,0.6353639241,0.9394778481,0.6553797468,0.4632911392,0.860443038,0.1368670886,-0.02310522152,0.2895648734
gamma,1,16,6144,768,40,0.1,-0.025,0.7766025641,0.5791586538,0.9474358974,0.7996794872,0.5076923077,1.091025641,-0.02307692308,-0.25,0.2051282051
gamma,1,8,32,8,6000,-0.05,-0.05,0.4917486248,0.479681964,0.5039406252,0.4150691782,0.4004752737,0.4301002445,0.07667944657,0.06386900733,0.08937125076
gamma,1,8,64,16,6000,-0.03633333333,-0.05283333333,0.5592874785,0.5460488175,0.5730356959,0.4888620187,0.4720752309,0.5062792941,0.0704254598,0.05664087556,0.08439659318
gamma,1,8,128,32,6000,-0.059,-0.04116666667,0.6240995027,0.6081537312,0.6396860953,0.5355135717,0.5160019021,0.5550705364,0.08858593099,0.07217432489,0.1051076429
gamma,1,8,256,64,6000,-0.0475,-0.04616666667,0.6857538201,0.6684065289,0.7025910558,0.5975987109,0.575737034,0.619469705,0.08815510918,0.07038405359,0.1052229323
gamma,1,8,512,128,5000,-0.0108,-0.0378,0.7698812362,0.7483533807,0.791634793,0.673070114,0.6467257391,0.6994342208,0.09681112222,0.07543835367,0.1186236467
gamma,1,8,768,192,4000,-0.06,-0.049,0.7891967992,0.7649298106,0.8131901827,0.7081165291,0.6763583654,0.7393844313,0.08108027007,0.05577254626,0.1063828832
gamma,1,8,1024,256,3000,-0.04766666667,-0.034,0.8567381905,0.8249823997,0.8884088099,0.7073090475,0.6710347894,0.743569155,0.149429143,0.1186488246,0.1804676892
gamma,1,8,1536,384,1600,-0.088125,-0.06875,0.8777397983,0.8344996482,0.9206636374,0.7674794794,0.7123008521,0.8236328956,0.1102603189,0.06456347717,0.1571724808
gamma,1,8,2048,512,1000,0.012,-0.038,0.9231291291,0.8649820195,0.9825148899,0.8065565566,0.7350866867,0.8806415415,0.1165725726,0.05750357858,0.1768381381
gamma,1,8,2560,640,400,-0.08,-0.0375,0.8945833333,0.8079569236,0.9831548402,0.8650093985,0.738827381,0.9953780545,0.02957393484,-0.0594141604,0.1186986216
gamma,1,8,3072,768,300,-0.02666666667,-0.06666666667,0.8937346711,0.7935029264,0.9910829153,0.8085618729,0.6751588629,0.9448167503,0.08517279822,-0.01047993311,0.1809375697
gamma,1,8,4096,1024,150,-0.06,0.04666666667,1.091051454,0.9144653244,1.267158837,1.128501119,0.8613199105,1.412997763,-0.03744966443,-0.2286364653,0.1558389262
gamma,1,8,5120,1280,80,-0.05,-0.1125,1.175870253,0.9379727057,1.398740111,0.9410601266,0.6680379747,1.22461432,0.2348101266,-0.01028876582,0.4799050633
gamma,1,8,6144,1536,40,0.15,0.225,1.077884615,0.6999919872,1.504839744,0.7278846154,0.4153846154,1.074038462,0.35,0.06024038462,0.6474679487
gamma,1,4,32,16,6000,-0.1121666667,-0.1046666667,0.5539074151,0.5403052356,0.5672217873,0.4554644524,0.4392286016,0.4718078541,0.09844296272,0.08424365311,0.1126473468
gamma,1,4,64,32,6000,-0.1023333333,-0.08783333333,0.6229270851,0.6074648469,0.6383027074,0.5385679697,0.5192726826,0.5576259738,0.08435911541,0.06817076527,0.1003152081
gamma,1,4,128,64,6000,-0.09783333333,-0.08016666667,0.6944500472,0.6768378494,0.7117107285,0.6021109629,0.5809936448,0.623469073,0.09233908429,0.0746547501,0.110290788
gamma,1,4,256,128,6000,-0.1001666667,-0.1096666667,0.7596798772,0.7412970499,0.7780915114,0.6588146774,0.6352600548,0.6827825332,0.1008651998,0.08115854309,0.120254232
gamma,1,4,512,256,5000,-0.089,-0.1056,0.8021242448,0.7793668534,0.8244799585,0.7067035607,0.6798771354,0.733702401,0.09542068414,0.07333461092,0.1176738438
gamma,1,4,768,384,4000,-0.1065,-0.09825,0.8705949925,0.8436879657,0.8968362809,0.7792857902,0.7457517231,0.8133426396,0.0913092023,0.06377456552,0.1184758127
