model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,-0.005535310428,-0.01453553046,0.002452010256,0.0831,0.3606471656,-2.479618395,6.336797749,0.3481,0.1392521425,0.1385795317
gamma,1,32,conditional,-0.00130623742,-0.01209170615,0.008689196452,0.3726,-2.371530223,-2.483916776,2.305785837,0.1013,0.1087629417,0.1142975743
gamma,1,32,disorder,-0.005552812487,-0.01427218049,0.003009421117,0.0996,0.1421364839,-2.481441237,5.607325851,0.2965,0.09281306602,0.07766450533
gamma,1,16,marginal,-0.004756250282,-0.01425494542,0.003253049142,0.1132,-0.8918825966,-2.482351312,4.559818736,0.2497,0.1439795235,0.142269496
gamma,1,16,conditional,-0.01198343079,-0.02351574122,-0.00154270246,0.0126,5.737450335,-2.378556131,11.55180612,0.6848,0.1081385001,0.07328020654
gamma,1,16,disorder,0.008134898773,-0.001164936949,0.01764602147,0.9561,1.089818042,-2.472091172,6.506169844,0.4099,0.09739493041,0.1456422129
gamma,1,8,marginal,0.004380526252,-0.00717099206,0.01456059899,0.7632,-1.736454522,-2.483961594,2.296307705,0.1126,0.1311849251,0.1197319405
gamma,1,8,conditional,0.001709312262,-0.01234028827,0.01514021876,0.5703,-2.389942537,-2.483980507,1.755263943,0.0784,0.1287565241,0.1400139227
gamma,1,8,disorder,0.0008519294185,-0.01007415702,0.0115669992,0.5483,-2.471220052,-2.484627291,-0.2587193573,0.0181,0.1868031461,0.2025614832
gamma,1,4,marginal,0.004699224401,-0.007411570799,0.0151788547,0.7533,-1.321759224,-2.483719461,3.098583043,0.1413,0.06481120697,0.08334811011
gamma,1,4,conditional,-0.002455921621,-0.01703761053,0.0106337754,0.3256,-2.356480362,-2.484240672,1.415620253,0.0713,0.2475073365,0.2495418487
gamma,1,4,disorder,0.003753192942,-0.00792740899,0.01546915709,0.7248,-2.015031122,-2.483989,1.977940215,0.105,0.184302584,0.182416372
uniform,1,32,marginal,-0.003386266238,-0.01263812296,0.004636469858,0.1814,-1.269229695,-2.482607227,4.810759229,0.2164,0.008561517511,0.02155102254
uniform,1,32,conditional,-0.001317801737,-0.01390228496,0.01032469358,0.377,-2.317068148,-2.483959394,3.562768239,0.1409,0.005941208464,0.01494366977
uniform,1,32,disorder,-0.001623981543,-0.01023025367,0.006742149708,0.3599,-2.098125006,-2.483877299,2.890406644,0.1289,0.008987554705,0.005391065844
uniform,1,16,marginal,0.00647963925,-0.003573639707,0.01578726577,0.8882,0.1644475574,-2.481487633,5.183446746,0.2735,0.2756155501,0.2495827402
uniform,1,16,conditional,0.006631767563,-0.007320800266,0.01942134638,0.8127,0.01026937793,-2.482909744,5.129709065,0.2296,0.2646027636,0.2399971765
uniform,1,16,disorder,-0.0009033216837,-0.01064110162,0.009170848093,0.4279,-2.44637361,-2.484194448,1.242716551,0.0645,0.0567695372,0.06646894081
uniform,1,8,marginal,0.006806307226,-0.00391958473,0.0163261952,0.8796,0.1093853054,-2.481504138,4.865108952,0.2536,0.03178171111,0.0418863107
uniform,1,8,conditional,0.004482072811,-0.01021413575,0.01825200381,0.7002,-1.8766607,-2.48393678,2.266031807,0.1085,0.0913780434,0.09337127744
uniform,1,8,disorder,0.001510025014,-0.00859636839,0.01150291576,0.603,-2.402456435,-2.484301462,0.8077572776,0.0471,0.06238522308,0.06217527612
uniform,1,4,marginal,0.0008713749253,-0.01072016141,0.01135467657,0.5108,-2.453881235,-2.484249128,1.140074426,0.0608,0.150976388,0.1548044018
uniform,1,4,conditional,-0.00026621718,-0.01590246056,0.01460847863,0.4522,-2.482997371,-2.484010729,1.763919223,0.0791,0.2049409716,0.2210933069
uniform,1,4,disorder,0.0002133425607,-0.01079278383,0.01119044139,0.5044,-2.480560859,-2.483930567,2.671730884,0.115,0.09114810153,0.1050505979
