model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log2_coefficient,log2_coefficient_low,log2_coefficient_high,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high
gamma,1,32,disorder,1024,6144,8,0.02473571637,-0.1226789098,0.1752469994,-1.990859749,-2.078702817,4.297616401
gamma,1,32,disorder,1536,6144,7,0.004464439524,-0.2684839136,0.2911660544,-1.945106403,-1.945239999,4.434570009
gamma,1,32,disorder,2048,6144,6,-0.2521545998,-0.7553470713,0.2738970445,-0.9354337263,-1.789384105,4.467803034
gamma,1,32,disorder,2560,6144,5,-0.6083480016,-1.554632342,0.3682544213,0.005083559979,-1.602752531,9.625310556
gamma,1,16,disorder,1024,6144,8,-0.04019106177,-0.219231095,0.1392129359,-0.504354494,-2.075901119,6.649530353
gamma,1,16,disorder,1536,6144,7,-0.06819209644,-0.3895731226,0.2594069292,-0.6245618946,-1.942495109,7.513137132
gamma,1,16,disorder,2048,6144,6,-0.1508986129,-0.7230041669,0.4362610092,0.2572294372,-1.788073129,8.926197858
gamma,1,16,disorder,2560,6144,5,-0.2927044292,-1.339557376,0.7665370648,0.977553599,-1.604425064,12.49919324
gamma,1,8,disorder,1024,6144,8,0.01314568241,-0.1336770825,0.1564534338,-1.971633457,-2.078376888,4.091227775
gamma,1,8,disorder,1536,6144,7,0.1279779315,-0.1408204498,0.3954318943,2.074483591,-1.942806814,8.290736336
gamma,1,8,disorder,2048,6144,6,0.2005160565,-0.2873781515,0.6876340869,1.521576481,-1.789471767,11.11317928
gamma,1,8,disorder,2560,6144,5,0.1429794454,-0.7518411825,1.054197681,-0.9647407793,-1.606902207,11.96260881
gamma,1,4,disorder,1024,6144,8,0.2215581779,0.04917889875,0.3867212451,-0.02952577213,-1.888806111,2.485069815
gamma,1,4,disorder,1536,6144,7,0.4777922691,0.1548129061,0.7876662735,0.997152033,-1.377297048,3.912455765
gamma,1,4,disorder,2048,6144,6,0.9769387466,0.3838678709,1.558323152,2.488205163,-0.6248948615,5.956686443
gamma,1,4,disorder,2560,6144,5,1.814178215,0.7043528423,2.902571957,4.204218073,-0.1075773627,9.025859483
uniform,1,32,marginal,1024,6144,8,0.008182604017,-0.1482787791,0.1489286815,-1.963531168,-2.076898758,5.276860024
uniform,1,32,marginal,1536,6144,7,0.02500461133,-0.2616016479,0.2851632911,-1.642781906,-1.943755653,5.319151825
uniform,1,32,marginal,2048,6144,6,0.120667032,-0.4078604115,0.6186291595,0.7198900059,-1.788538418,11.12232525
uniform,1,32,marginal,2560,6144,5,-0.03053111446,-1.015609979,0.9229416056,-1.503361974,-1.605139486,12.08946534
uniform,1,16,marginal,1024,6144,8,0.2094373469,-0.07303509999,0.4844698977,2.277526375,-2.046111537,8.091488149
uniform,1,16,marginal,1536,6144,7,0.3578637666,-0.1591599607,0.8674548936,2.172985691,-1.920684257,8.121620666
uniform,1,16,marginal,2048,6144,6,0.6022039805,-0.3282110905,1.510937119,2.204521324,-1.7649354,8.699643187
uniform,1,16,marginal,2560,6144,5,0.9810718252,-0.6749290209,2.600442606,2.155202438,-1.591690146,10.45379942
uniform,1,8,marginal,1024,6144,8,0.01007438458,-0.1525846584,0.1529937274,-1.899169152,-2.077773972,5.53049316
uniform,1,8,marginal,1536,6144,7,0.04265467888,-0.255214267,0.3150851474,-0.9992772113,-1.944284983,8.06148419
uniform,1,8,marginal,2048,6144,6,-0.05389290772,-0.5965924836,0.4540149728,-1.081866456,-1.788567312,8.430630487
uniform,1,8,marginal,2560,6144,5,-0.2030430359,-1.209934824,0.7555960449,2.65074292,-1.604250878,13.46891166
uniform,1,4,marginal,1024,6144,8,-0.09291308224,-0.2630546058,0.05700016489,-0.9613005361,-2.075724771,6.539412044
uniform,1,4,marginal,1536,6144,7,-0.1583841234,-0.4717556444,0.1245370687,-1.013907724,-1.943521307,6.471773954
uniform,1,4,marginal,2048,6144,6,-0.2394845484,-0.8143991015,0.2861697003,-1.154210111,-1.789641636,5.261938267
uniform,1,4,marginal,2560,6144,5,-0.5417165322,-1.610158817,0.4577892397,-0.5915293575,-1.605109922,8.158092187
