model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,0.007065066805,-0.1052865754,0.09705634427,0.4606,-3.422468546,-3.464417125,2.378568374,0.0923,0.1197170311,0.126453891
gamma,marginal,weighted,-0.004917990346,-0.06412920087,0.03967123265,0.3329,-3.421745241,-3.465001102,0.9142955093,0.0478,0.1146970062,0.1195084801
gamma,conditional,unweighted,-0.04774706192,-0.1669758423,0.05480035,0.1555,-2.891095436,-3.464102438,2.584663706,0.1079,0.2660818635,0.2751287563
gamma,conditional,weighted,-0.04552292286,-0.1106169439,0.007798116549,0.0421,-1.78658471,-3.455525583,3.370913276,0.1799,0.2152296014,0.2250213855
gamma,disorder,unweighted,0.05481212873,-0.02201852676,0.1244037719,0.921,-2.13334966,-3.461373224,1.271689303,0.0744,0.1995338357,0.2304229328
gamma,disorder,weighted,-0.003921107109,-0.05008752281,0.04110017925,0.4191,-3.441195978,-3.465219242,-0.6280405233,0.0136,0.1626087282,0.2034806193
uniform,marginal,unweighted,0.03369531332,-0.07597213434,0.119055153,0.6563,-2.647288062,-3.464320416,1.572063183,0.0708,0.1454576827,0.1512893476
uniform,marginal,weighted,-0.01244207378,-0.06940217358,0.03247555642,0.227,-2.928834761,-3.463988432,3.168208635,0.1227,0.1544244549,0.1684261626
uniform,conditional,unweighted,-0.002120550611,-0.1428478118,0.1206783247,0.4155,-3.463631127,-3.464508008,3.498048973,0.0992,0.1849749576,0.208619834
uniform,conditional,weighted,-0.05224594238,-0.1287486769,0.01154174615,0.051,2.85484682,-3.449443797,9.755496194,0.4335,0.1843661513,0.2057376226
uniform,disorder,unweighted,0.03581586393,-0.05815827905,0.122812366,0.7808,-0.4016176964,-3.462701661,6.839091195,0.2309,0.06907537274,0.07593343612
uniform,disorder,weighted,0.03655761001,-0.0139058864,0.08555426027,0.9216,1.600609053,-3.458956281,7.164536606,0.3218,0.07023472068,0.05468576798
