model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,32,marginal,128,8,training,0.4708672418,0.4665975715,0.4847327881
gamma,1,32,marginal,256,16,training,0.5433569484,0.5399561466,0.5393625491
gamma,1,32,marginal,512,32,training,0.620459832,0.6133147217,0.6030692938
gamma,1,32,marginal,768,48,training,0.6672705676,0.6562267373,0.6445431844
gamma,1,32,marginal,1024,64,training,0.6847476937,0.6866732969,0.6758530223
gamma,1,32,marginal,1536,96,training,0.7359611476,0.7295853124,0.722636608
gamma,1,32,marginal,2048,128,training,0.7192907908,0.760031872,0.7577137347
gamma,1,32,marginal,2560,160,training,0.7376409774,0.7836480583,0.7859984247
gamma,1,32,marginal,3072,192,training,0.763690078,0.8029438875,0.8098070155
gamma,1,32,marginal,4096,256,training,0.929082774,0.8333904471,0.8486514307
gamma,1,32,marginal,5120,320,heldout,0.847943038,0.8570066334,0.8798582569
gamma,1,32,marginal,6144,384,heldout,0.8189102564,0.8763024627,0.9060544067
gamma,1,32,conditional,128,8,training,0.4513150942,0.4434853497,0.4604371506
gamma,1,32,conditional,256,16,training,0.5039812747,0.5087342069,0.5081793446
gamma,1,32,conditional,512,32,training,0.5878135427,0.5739830641,0.5644062028
gamma,1,32,conditional,768,48,training,0.6238339585,0.6121511987,0.6012300575
gamma,1,32,conditional,1024,64,training,0.6303859064,0.6392319213,0.629117725
gamma,1,32,conditional,1536,96,training,0.6558818011,0.6774000559,0.6709047901
gamma,1,32,conditional,2048,128,training,0.6979534535,0.7044807784,0.7023139114
gamma,1,32,conditional,2560,160,training,0.718768797,0.7254862187,0.7276832117
gamma,1,32,conditional,3072,192,training,0.6688740245,0.7426489131,0.7490641868
gamma,1,32,conditional,4096,256,training,0.8585234899,0.7697296356,0.783994762
gamma,1,32,conditional,5120,320,heldout,0.582278481,0.7907350759,0.812095514
gamma,1,32,conditional,6144,384,heldout,0.8048076923,0.8078977703,0.8357082477
gamma,1,32,disorder,128,8,training,0.01955214758,0.02311222179,0.0242956375
gamma,1,32,disorder,256,16,training,0.03937567372,0.03122193973,0.03118320445
gamma,1,32,disorder,512,32,training,0.03264628926,0.03933165767,0.03866309105
gamma,1,32,disorder,768,48,training,0.04343660915,0.04407553855,0.04331312692
gamma,1,32,disorder,1024,64,training,0.05436178726,0.0474413756,0.04673529731
gamma,1,32,disorder,1536,96,training,0.08007934647,0.05218525649,0.05173181796
gamma,1,32,disorder,2048,128,training,0.02133733734,0.05555109354,0.05539982321
gamma,1,32,disorder,2560,160,training,0.01887218045,0.05816183959,0.05831521302
gamma,1,32,disorder,3072,192,training,0.09481605351,0.06029497443,0.06074282865
gamma,1,32,disorder,4096,256,training,0.07055928412,0.06366081148,0.06465666877
gamma,1,32,disorder,5120,320,heldout,0.265664557,0.06627155752,0.06776274292
gamma,1,32,disorder,6144,384,heldout,0.0141025641,0.06840469236,0.07034615899
gamma,1,16,marginal,128,16,training,0.5467416792,0.5643008436,0.5350475921
gamma,1,16,marginal,256,32,training,0.6274763988,0.6254406566,0.626398167
gamma,1,16,marginal,512,64,training,0.6772169434,0.6865804697,0.7031069929
gamma,1,16,marginal,768,96,training,0.7235455739,0.7223449676,0.7411912774
gamma,1,16,marginal,1024,128,training,0.768162443,0.7477202827,0.7651740699
gamma,1,16,marginal,1536,192,training,0.7942884225,0.7834847806,0.7946934803
gamma,1,16,marginal,2048,256,training,0.7710785786,0.8088600957,0.8125993978
gamma,1,16,marginal,2560,320,training,0.9248120301,0.8285427192,0.8247514296
gamma,1,16,marginal,3072,384,training,0.8956465998,0.8446245936,0.8335539341
gamma,1,16,marginal,4096,512,training,0.7529306488,0.8699999087,0.8453829768
gamma,1,16,marginal,5120,640,heldout,0.9259493671,0.8896825322,0.8528214182
gamma,1,16,marginal,6144,768,heldout,1.133012821,0.9057644066,0.857772639
gamma,1,16,conditional,128,16,training,0.5019089848,0.5284506786,0.4903891596
gamma,1,16,conditional,256,32,training,0.5846567622,0.5821736024,0.5834194229
gamma,1,16,conditional,512,64,training,0.6308016603,0.6358965263,0.6573992499
gamma,1,16,conditional,768,96,training,0.6849207302,0.6673224223,0.6918434291
gamma,1,16,conditional,1024,128,training,0.7071112037,0.6896194502,0.7123286404
gamma,1,16,conditional,1536,192,training,0.7231939884,0.7210453461,0.7356290288
gamma,1,16,conditional,2048,256,training,0.7064459459,0.7433423741,0.7482075946
gamma,1,16,conditional,2560,320,training,0.8478195489,0.7606372927,0.755704431
gamma,1,16,conditional,3072,384,training,0.8598606466,0.77476827,0.7603641921
gamma,1,16,conditional,4096,512,training,0.6536017897,0.797065298,0.7650361125
gamma,1,16,conditional,5120,640,heldout,0.846835443,0.8143602166,0.7664000782
gamma,1,16,conditional,6144,768,heldout,1.140705128,0.8284911939,0.766048919
gamma,1,16,disorder,128,16,training,0.04483269434,0.03585016505,0.04465843248
gamma,1,16,disorder,256,32,training,0.04281963661,0.04326705418,0.04297874409
gamma,1,16,disorder,512,64,training,0.04641528306,0.05068394331,0.04570774308
gamma,1,16,disorder,768,96,training,0.03862484371,0.05502254532,0.04934784836
gamma,1,16,disorder,1024,128,training,0.0610512393,0.05810083243,0.05284542945
gamma,1,16,disorder,1536,192,training,0.07109443402,0.06243943445,0.05906445152
gamma,1,16,disorder,2048,256,training,0.06463263263,0.06551772156,0.06439180319
gamma,1,16,disorder,2560,320,training,0.0769924812,0.06790542655,0.06904699857
gamma,1,16,disorder,3072,384,training,0.03578595318,0.06985632357,0.07318974206
gamma,1,16,disorder,4096,512,training,0.09932885906,0.07293461069,0.08034686431
gamma,1,16,disorder,5120,640,heldout,0.07911392405,0.07532231568,0.08642134001
gamma,1,16,disorder,6144,768,heldout,-0.007692307692,0.0772732127,0.09172371997
gamma,1,8,marginal,128,32,training,0.6089006918,0.6469440786,0.5923103341
gamma,1,8,marginal,256,64,training,0.6933997194,0.7013911876,0.7031794462
gamma,1,8,marginal,512,128,training,0.7689281056,0.7558382966,0.7867034416
gamma,1,8,marginal,768,192,training,0.7992584084,0.7876878136,0.8228854215
