model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,128,6144,12,0.2679159935,0.09977746937,0.2568017128,0.105718344,-0.0007243835228,-0.0289608859,0.02344778452,0.3873,-2.477253535,-2.48348656,3.003529177,0.1549,0.04108536297,0.06562272521
gamma,1,32,conditional,128,6144,12,0.3068694917,0.07687225923,0.1762222141,0.1467066567,-0.008515057111,-0.04234655066,0.02314686816,0.2447,-2.111492463,-2.483139361,4.421468556,0.2056,0.1474172659,0.163967547
gamma,1,32,disorder,128,6144,12,-0.03895349824,0.02290521013,0.08057949869,-0.04098831267,0.007790673588,-0.01787927226,0.03288368521,0.7151,-2.133781769,-2.483989979,3.142856814,0.14,0.1461271524,0.1454793284
gamma,1,16,marginal,128,6144,12,0.2182802822,0.1122184211,0.544043481,-0.03299477482,0.01514597304,-0.02039183326,0.04531402972,0.7635,-1.580056793,-2.482927962,1.461651247,0.1059,0.1627223478,0.2013763323
gamma,1,16,conditional,128,6144,12,0.179979218,0.1090830344,0.6172632439,-0.08584202514,0.02033100145,-0.02440975082,0.06387309595,0.7722,-1.512838327,-2.48299288,1.663211389,0.1256,0.2219596597,0.2709585974
gamma,1,16,disorder,128,6144,12,0.0383010642,0.003135386668,-0.07321976294,0.05284725032,-0.005185028413,-0.03627873492,0.02539654381,0.3713,-1.630952765,-2.481995994,4.683520366,0.2704,0.06013948765,0.07048739208
gamma,1,8,marginal,128,6144,12,0.4057981889,0.07222166547,-0.2204010945,0.3122077093,-0.02186885712,-0.05261134807,0.005777641698,0.054,2.64094665,-2.467848471,10.80092008,0.6107,0.04105241859,0.04564851214
gamma,1,8,conditional,128,6144,12,0.3776163104,0.06609657152,-0.2043575554,0.2891335652,-0.02032436583,-0.05423721237,0.01229751656,0.0939,0.2617820986,-2.477585877,6.623348558,0.4273,0.06502007231,0.01436004433
gamma,1,8,disorder,128,6144,12,0.02818187853,0.006125093947,-0.01604353912,0.02307414403,-0.001544491291,-0.02703138979,0.02345836104,0.4422,-2.427226507,-2.483526512,3.734673246,0.1713,0.03239399502,0.05930676118
gamma,1,4,marginal,128,6144,12,0.3241380398,0.08965955666,-0.2393398852,0.2793230339,-0.01534473471,-0.04602780395,0.01072064816,0.0995,0.9756620822,-2.47819225,8.029620908,0.4687,0.1106340419,0.1088786541
gamma,1,4,conditional,128,6144,12,0.5175677511,0.04449374709,-1.24439262,0.6375596259,-0.04798202957,-0.07368344573,-0.02536761502,0.0001,0.1483425861,-1.954788251,5.116946849,0.5228,0.3769834664,0.4276647045
