model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,32,32,2,6000,-0.02116666667,-0.01833333333,0.3454154998,0.3364975385,0.3542526115,0.3136315914,0.3019542257,0.3252652692,0.03178390843,0.0228025275,0.04078290896
gamma,1,32,64,4,6000,-0.0145,-0.001833333333,0.4066276324,0.396190621,0.4166771347,0.3623134967,0.3492469943,0.3752737401,0.04431413569,0.03370591974,0.05507315178
gamma,1,32,128,8,6000,-0.01333333333,-0.008833333333,0.4708672418,0.4590193737,0.4827417181,0.4513150942,0.4351341724,0.4676062288,0.01955214758,0.007424155415,0.03188249986
gamma,1,32,256,16,6000,-0.006333333333,-0.02066666667,0.5433569484,0.5299962216,0.5567971092,0.5039812747,0.4860330524,0.5220192268,0.03937567372,0.02571689726,0.05317098127
gamma,1,32,512,32,5000,-0.0114,-0.0316,0.620459832,0.6035561747,0.6374479936,0.5878135427,0.5648385877,0.610537618,0.03264628926,0.014669986,0.05000057712
gamma,1,32,768,48,4000,-0.0045,-0.0165,0.6672705676,0.6473044425,0.6878437242,0.6238339585,0.5971492092,0.6504812086,0.04343660915,0.02339014754,0.06368112497
gamma,1,32,1024,64,3000,0.0003333333333,-0.031,0.6847476937,0.6606109523,0.7087243192,0.6303859064,0.5977937854,0.6636474311,0.05436178726,0.02950256752,0.07964626264
gamma,1,32,1536,96,1600,0.001875,-0.015625,0.7359611476,0.6996175149,0.7729455812,0.6558818011,0.6107239095,0.7019972493,0.08007934647,0.04410739134,0.1168836578
gamma,1,32,2048,128,1000,-0.076,-0.009,0.7192907908,0.679049512,0.7593678679,0.6979534535,0.6424423298,0.7542991366,0.02133733734,-0.02241691692,0.06632307307
gamma,1,32,2560,160,400,-0.1225,-0.03,0.7376409774,0.6601579731,0.815614505,0.718768797,0.6130813753,0.8292988722,0.01887218045,-0.05594235589,0.09445034461
gamma,1,32,3072,192,300,0.04333333333,0.05,0.763690078,0.6810918339,0.8441197046,0.6688740245,0.5581884058,0.7792424749,0.09481605351,0.00646432553,0.184787068
gamma,1,32,4096,256,150,0.04666666667,-0.07333333333,0.929082774,0.7949888143,1.063044183,0.8585234899,0.6861001119,1.03750783,0.07055928412,-0.07522035794,0.2152572707
gamma,1,32,5120,320,80,0.0125,0.0125,0.847943038,0.6574367089,1.040749604,0.582278481,0.4106803797,0.7708860759,0.265664557,0.08575949367,0.4471598101
gamma,1,32,6144,384,40,0.075,0.15,0.8189102564,0.5676041667,1.048076923,0.8048076923,0.4923076923,1.123133013,0.0141025641,-0.2230769231,0.2448717949
gamma,1,16,32,4,6000,-0.01966666667,-0.007,0.4233526699,0.4131038645,0.4338046136,0.3846505529,0.3714131373,0.3981636346,0.03870211702,0.02797374424,0.04938439115
gamma,1,16,64,8,6000,-0.02416666667,-0.01866666667,0.4791969634,0.4673652449,0.4911996861,0.444142232,0.4281078273,0.4604100847,0.03505473134,0.0229042771,0.04735609685
gamma,1,16,128,16,6000,-0.03233333333,-0.03633333333,0.5467416792,0.5331588553,0.5600996715,0.5019089848,0.484190197,0.5196150692,0.04483269434,0.03112222593,0.05875547175
gamma,1,16,256,32,6000,-0.04166666667,-0.0045,0.6274763988,0.6115964508,0.6437717932,0.5846567622,0.5643787663,0.6054339421,0.04281963661,0.02710354017,0.05859236956
gamma,1,16,512,64,5000,-0.034,-0.041,0.6772169434,0.6584108297,0.6955687563,0.6308016603,0.6060509602,0.6552008682,0.04641528306,0.02754502901,0.06552325465
gamma,1,16,768,96,4000,-0.02925,-0.03025,0.7235455739,0.7013144747,0.7457138105,0.6849207302,0.6549068517,0.7153027944,0.03862484371,0.01565024381,0.06105427294
gamma,1,16,1024,128,3000,0.007333333333,-0.04966666667,0.768162443,0.7412309659,0.7947446538,0.7071112037,0.6718360731,0.7413460931,0.0610512393,0.03374006335,0.0880804935
gamma,1,16,1536,192,1600,-0.04,-0.051875,0.7942884225,0.7539145315,0.8340555816,0.7231939884,0.6720987971,0.7739812969,0.07109443402,0.03157600453,0.1100941604
gamma,1,16,2048,256,1000,-0.048,-0.009,0.7710785786,0.7228095095,0.818996997,0.7064459459,0.6444433934,0.7699070195,0.06463263263,0.0172965966,0.1117045796
gamma,1,16,2560,320,400,-0.07,-0.01,0.9248120301,0.8275780858,1.018486216,0.8478195489,0.7292938596,0.9683718672,0.0769924812,-0.01986920426,0.1728134398
gamma,1,16,3072,384,300,-0.05,0.04666666667,0.8956465998,0.7955274526,0.993759058,0.8598606466,0.7316826923,0.9991973244,0.03578595318,-0.07073717949,0.1406939799
