model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,-0.004185210221,-0.03742939962,0.02585127146,0.3449,-2.207662201,-2.301689335,2.428689351,0.1126,0.02250820356,0.02515916386
gamma,1,32,conditional,-0.007639545648,-0.04883189087,0.0306650377,0.3254,-2.092764499,-2.301462255,2.731961358,0.127,0.1243077935,0.1395488639
gamma,1,32,disorder,-0.003286354202,-0.03641682018,0.02899159511,0.4051,-2.268061152,-2.302039498,0.8872144817,0.0608,0.1430972272,0.1660621641
gamma,1,16,marginal,-0.02145734726,-0.05799309474,0.01026512474,0.0872,-1.403070571,-2.299423099,2.73051062,0.184,0.1546246047,0.2375907688
gamma,1,16,conditional,-0.02095392655,-0.06716734199,0.02204953637,0.1558,-1.662865342,-2.301041488,2.560504937,0.1448,0.2196780734,0.3098502694
gamma,1,16,disorder,-0.0002871968568,-0.03455542437,0.03442176599,0.4857,-2.301570844,-2.301412356,3.466799979,0.1559,0.06666135769,0.07667703711
gamma,1,8,marginal,-0.02804494442,-0.06704001879,0.007491792311,0.0546,1.000853826,-2.289844212,7.420524775,0.4481,0.05706936737,0.02665436507
gamma,1,8,conditional,-0.008805200078,-0.05884146134,0.0355143427,0.3215,-2.164224057,-2.301849196,1.677509349,0.0904,0.03932986682,0.02606282352
gamma,1,8,disorder,-0.02003530291,-0.05656056623,0.01675199719,0.1353,-0.9586612378,-2.300453506,4.203965314,0.2332,0.01696933014,0.05927669749
gamma,1,4,marginal,-0.0142827172,-0.05684251316,0.022032714,0.1937,-0.3489001161,-2.30001588,6.345016163,0.283,0.1067021371,0.1053983992
gamma,1,4,conditional,-0.06494050927,-0.1112056047,-0.02392918614,0.0008,1.539073272,-1.860029637,6.548549245,0.6846,0.3000935559,0.339045161
gamma,1,4,disorder,0.001498649636,-0.03876374352,0.03961756441,0.5129,-2.298831401,-2.302162171,0.2900327153,0.0363,0.2564984798,0.3109344502
uniform,1,32,marginal,-0.007359035461,-0.04160879786,0.02276514244,0.2861,-1.951160507,-2.301488515,3.45724469,0.1536,0.01374387103,0.04226180704
uniform,1,32,conditional,-0.01344035608,-0.06106782839,0.03088398006,0.2466,-1.123050299,-2.300694153,5.547767994,0.2395,0.003303446743,0.05151025908
uniform,1,32,disorder,0.006978584524,-0.02476276924,0.03871530556,0.6679,-1.751123652,-2.301008786,4.123059807,0.1793,0.008503031069,0.0174832519
uniform,1,16,marginal,0.02692321868,-0.01223615406,0.0616258945,0.9039,1.688779385,-2.297209305,7.179870301,0.3767,0.27315862,0.2249381401
uniform,1,16,conditional,-0.02166524421,-0.07215638633,0.02559372741,0.1645,0.02567344362,-2.300041034,6.715841467,0.3099,0.2463882658,0.2992185995
uniform,1,16,disorder,0.04813161722,0.01019982733,0.0853644648,0.9938,12.79082324,-1.928364759,14.6505246,0.8292,0.08258943159,0.07186141717
uniform,1,8,marginal,-0.02760191281,-0.06736688836,0.006210402815,0.0519,4.203305089,-2.288258104,10.77967058,0.5598,0.04141980955,0.06013750061
uniform,1,8,conditional,-0.02269451019,-0.07556806968,0.02507986336,0.1569,-0.9056623341,-2.300138587,5.509991295,0.2655,0.09370824409,0.09672080625
uniform,1,8,disorder,-0.004748459584,-0.04063682557,0.03094220789,0.3944,-2.248558151,-2.301896003,0.8669539124,0.0513,0.06224779545,0.06432535376
uniform,1,4,marginal,-0.007318362086,-0.04975688214,0.02941072758,0.295,-2.122147447,-2.301478542,2.630023336,0.1186,0.1569212019,0.1593480402
uniform,1,4,conditional,-0.02188930363,-0.07941367008,0.03047976606,0.1818,-1.303269617,-2.300115285,4.394595754,0.2145,0.2210963236,0.2235779618
uniform,1,4,disorder,0.01059517774,-0.02816976887,0.04796810992,0.6969,-1.517207174,-2.301290061,4.164756875,0.1869,0.09695596746,0.1016556328
