model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,32,32,2,6000,-0.02083333333,-0.013,0.3385049036,0.3294791503,0.347415844,0.2991025032,0.2882879518,0.3099802134,0.0394024004,0.03073344516,0.04832614602
gamma,1,32,64,4,6000,-0.01633333333,-0.008166666667,0.413318817,0.4030242276,0.4234478594,0.376279366,0.362832901,0.3897208035,0.03703945102,0.02641825929,0.04782143899
gamma,1,32,128,8,6000,-0.02166666667,-0.0055,0.4859144719,0.4738568702,0.4978004421,0.4458602962,0.4303881758,0.4615666309,0.0400541757,0.02737938337,0.05248430502
gamma,1,32,256,16,6000,-0.02216666667,-0.019,0.5434143885,0.5303695446,0.5567373371,0.5108301245,0.4930597752,0.5288048536,0.03258426404,0.01901513447,0.04665799508
gamma,1,32,512,32,5000,-0.0036,-0.0274,0.6106402681,0.5936459097,0.6274826505,0.5887345269,0.5658903206,0.6123045429,0.02190574115,0.00485984797,0.03887113823
gamma,1,32,768,48,4000,-0.00225,-0.00475,0.6501487247,0.6305234191,0.6699101158,0.6334052263,0.605810984,0.661647812,0.01674349837,-0.003519036009,0.03675924919
gamma,1,32,1024,64,3000,-0.021,-0.01766666667,0.672847727,0.6494323705,0.6962016075,0.640874736,0.6090726687,0.6723933881,0.031972991,0.007583702901,0.05617328554
gamma,1,32,1536,96,1600,-0.0025,0.0125,0.7216197624,0.685077099,0.7572290641,0.6671794872,0.6215028289,0.7127701835,0.05444027517,0.01866638329,0.09086854088
gamma,1,32,2048,128,1000,0.024,0.011,0.7619134134,0.7128007633,0.8093493493,0.7301456456,0.6631506507,0.7972904029,0.03176776777,-0.01660760761,0.07965675676
gamma,1,32,2560,160,400,0.005,-0.0725,0.69785401,0.6265613252,0.7694645207,0.6724279449,0.5848492325,0.7609066416,0.02542606516,-0.0350877193,0.08629088346
gamma,1,32,3072,192,300,-0.05333333333,-0.01666666667,0.7994370123,0.695148272,0.9050122631,0.7133723523,0.6002006689,0.8284117893,0.08606465998,-0.01172881828,0.1928762542
gamma,1,32,4096,256,150,0.01333333333,-0.01333333333,0.9662639821,0.8250559284,1.10382774,0.8452796421,0.6739373602,1.01836689,0.12098434,-0.01968680089,0.2691275168
gamma,1,32,5120,320,80,-0.025,0.0125,0.866693038,0.7074327532,1.005539953,0.8410601266,0.6063291139,1.078417722,0.02563291139,-0.1511115506,0.1949367089
gamma,1,32,6144,384,40,0.225,0.15,0.7958333333,0.5689102564,1.008974359,0.6766025641,0.45,0.8858974359,0.1192307692,-0.108974359,0.3608974359
gamma,1,16,32,4,6000,-0.02266666667,-0.03283333333,0.4246915458,0.4143393996,0.4351715057,0.3907634467,0.3770583431,0.4045075106,0.03392809913,0.02320450908,0.04475654067
gamma,1,16,64,8,6000,-0.0275,-0.0375,0.4866665278,0.4743573304,0.4989166399,0.4448574762,0.4291031064,0.4607930697,0.04180905151,0.02930241707,0.05410946408
gamma,1,16,128,16,6000,-0.014,-0.007166666667,0.5495512447,0.536122543,0.5627141788,0.5141456771,0.4965836754,0.5318087209,0.03540556759,0.02094383647,0.04951297438
gamma,1,16,256,32,6000,-0.02816666667,-0.01466666667,0.6011792938,0.586444257,0.6162270736,0.5612524171,0.5419494666,0.5803871965,0.0399268767,0.02473811469,0.05505950297
gamma,1,16,512,64,5000,-0.0504,-0.0512,0.6753542709,0.6573342388,0.6933438123,0.6433283457,0.6185091653,0.6687078571,0.03202592519,0.01328809262,0.0504034847
gamma,1,16,768,96,4000,0.00025,-0.0005,0.7178042948,0.6966620069,0.7384063852,0.689297043,0.660122018,0.7180088272,0.02850725181,0.007033738122,0.05027762097
gamma,1,16,1024,128,3000,-0.05,-0.04466666667,0.7593388907,0.7324008683,0.7851456166,0.7262278537,0.6915586307,0.7614539166,0.03311103701,0.006104529288,0.05985756085
gamma,1,16,1536,192,1600,0.005,-0.01375,0.8003932145,0.762891651,0.8380012752,0.7984482489,0.7450493668,0.8525317777,0.001944965604,-0.03700166119,0.04172952822
gamma,1,16,2048,256,1000,0.01,-0.03,0.8103103103,0.7588480105,0.8643386386,0.777977978,0.706143456,0.8528555931,0.03233233233,-0.02077297297,0.08377322322
gamma,1,16,2560,320,400,-0.0925,0.0625,0.8183145363,0.7330661028,0.9059454887,0.7373308271,0.637481203,0.8434132206,0.08098370927,0.0007496867168,0.1637203947
gamma,1,16,3072,384,300,-0.04666666667,-0.02666666667,0.9115942029,0.8109218227,1.010541249,0.78909699,0.6655512821,0.918460563,0.1224972129,0.02294230769,0.2189085842
gamma,1,16,4096,512,150,0,-0.08666666667,0.9593064877,0.7841817673,1.153243848,0.9056152125,0.687360179,1.139261745,0.05369127517,-0.1143668904,0.2383959732
gamma,1,16,5120,640,80,-0.0875,-0.2625,0.9359177215,0.7371835443,1.123028085,0.9338607595,0.6784810127,1.182832278,0.002056962025,-0.157278481,0.1606012658
gamma,1,16,6144,768,40,-0.1,-0.375,0.9868589744,0.6971153846,1.263461538,0.9227564103,0.6125,1.21025641,0.0641025641,-0.2282051282,0.3846153846
gamma,1,8,32,8,6000,-0.0645,-0.05366666667,0.4951456771,0.4832503226,0.5068565695,0.4632685309,0.4463218814,0.4801565778,0.03187714619,0.01907616408,0.04471348419
gamma,1,8,64,16,6000,-0.038,-0.0655,0.5563089265,0.5426356184,0.5699045535,0.5072897566,0.4893943435,0.5251676849,0.04901916986,0.03491531505,0.06351363977
gamma,1,8,128,32,6000,-0.06633333333,-0.03266666667,0.6123684503,0.5970002441,0.6280780321,0.5821969773,0.5617106368,0.6029256477,0.03017147302,0.01470806107,0.04555902303
