model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,32,marginal,512,32,training,0.6106402681,0.584935196,0.6348717803
gamma,1,32,marginal,768,48,training,0.6501487247,0.6386701667,0.6340189128
gamma,1,32,marginal,1024,64,training,0.672847727,0.6767957352,0.6494240422
gamma,1,32,marginal,1536,96,training,0.7216197624,0.7305307059,0.6937015307
gamma,1,32,marginal,2048,128,training,0.7619134134,0.7686562744,0.7411271574
gamma,1,32,marginal,2560,160,training,0.69785401,0.7982287628,0.7870653486
gamma,1,32,marginal,3072,192,training,0.7994370123,0.8223912452,0.830535002
gamma,1,32,marginal,4096,256,training,0.9662639821,0.8605168136,0.9099811259
gamma,1,32,marginal,5120,320,heldout,0.866693038,0.890089302,0.9807563443
gamma,1,32,marginal,6144,384,heldout,0.7958333333,0.9142517844,1.044519327
gamma,1,32,conditional,512,32,training,0.5887345269,0.5794933976,0.606613369
gamma,1,32,conditional,768,48,training,0.6334052263,0.6177610675,0.6152350262
gamma,1,32,conditional,1024,64,training,0.640874736,0.6449124114,0.630047167
gamma,1,32,conditional,1536,96,training,0.6671794872,0.6831800814,0.6631785896
gamma,1,32,conditional,2048,128,training,0.7301456456,0.7103314253,0.6953806857
gamma,1,32,conditional,2560,160,training,0.6724279449,0.7313916438,0.7253289249
gamma,1,32,conditional,3072,192,training,0.7133723523,0.7485990952,0.7530218738
gamma,1,32,conditional,4096,256,training,0.8452796421,0.7757504391,0.8026139252
gamma,1,32,conditional,5120,320,heldout,0.8410601266,0.7968106576,0.8460508617
gamma,1,32,conditional,6144,384,heldout,0.6766025641,0.8140181091,0.8847648788
gamma,1,32,disorder,512,32,training,0.02190574115,0.005441798443,0.02825841125
gamma,1,32,disorder,768,48,training,0.01674349837,0.02090909923,0.01878388657
gamma,1,32,disorder,1024,64,training,0.031972991,0.03188332379,0.01937687526
gamma,1,32,disorder,1536,96,training,0.05444027517,0.04735062458,0.03052294118
gamma,1,32,disorder,2048,128,training,0.03176776777,0.05832484914,0.04574647173
