model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,512,6144,10,0.2303626914,0.108013429,0.1564352135,0.1401474343,-0.003393423885,-0.07299726962,0.05782405578,0.3773,-2.291235576,-2.301739741,1.692675484,0.0869,0.08535313326,0.1934620907
gamma,1,32,conditional,512,6144,10,0.329722378,0.07651895135,0.03011903425,0.206747328,-0.01375241212,-0.08972198206,0.05447636399,0.2992,-2.094477,-2.301041117,3.314069544,0.1493,0.1020809666,0.1472352823
gamma,1,32,disorder,512,6144,10,-0.09935968668,0.03149447761,0.1263161792,-0.06659989375,0.01035898823,-0.05906555017,0.08369395279,0.5958,-1.909194305,-2.30039092,5.655217229,0.2512,0.04968317003,0.08227695398
gamma,1,16,marginal,512,6144,10,0.1463363232,0.124671172,0.5739415094,-0.03634293045,0.01483209741,-0.07478484564,0.09716813525,0.5651,-0.9348439012,-2.300513157,6.066418138,0.297,0.01438647664,0.05236645434
gamma,1,16,conditional,512,6144,10,0.1745900254,0.1114355317,0.8426683142,-0.140128363,0.02317325087,-0.0745427915,0.1123192304,0.6266,-0.9822786135,-2.301090534,4.284002879,0.2439,0.05105747521,0.03668148314
gamma,1,16,disorder,512,6144,10,-0.02825370218,0.0132356403,-0.2687268048,0.1037854326,-0.008341153467,-0.09283569487,0.08450644274,0.4114,-2.105758315,-2.299916443,3.92112036,0.2657,0.05931320326,0.08741529066
gamma,1,8,marginal,512,6144,10,0.6915164415,0.02505151478,-2.763344351,1.173276985,-0.09379331499,-0.1537958461,-0.04129255443,0.0004,0.4187118291,-2.015820025,9.412147608,0.5724,0.2519691327,0.2199386674
gamma,1,8,conditional,512,6144,10,0.5116881411,0.05244870313,-2.5466567,1.068891812,-0.08302861338,-0.1715960353,5.559232283e-05,0.0251,-1.49272018,-2.29605398,4.756788746,0.2174,0.3638602553,0.3559133838
gamma,1,8,disorder,512,6144,10,0.1798283004,-0.02739718835,-0.2166876511,0.1043851735,-0.01076470161,-0.07359064805,0.05336797567,0.3704,-2.234276744,-2.30195488,1.422302022,0.0649,0.1653165824,0.1823517545
gamma,1,4,marginal,512,6144,10,0.5483665085,0.05313975426,-1.43053991,0.6419778056,-0.04320676416,-0.1330965212,0.04074712324,0.1308,1.31890769,-2.294232372,7.367675203,0.4846,0.1201892921,0.1508438958
gamma,1,4,conditional,512,6144,10,0.73550308,0.02091778583,-4.046650352,1.443882451,-0.1044118982,-0.1961439769,-0.01967242196,0.0108,2.92284326,-2.196656852,9.220023334,0.6961,0.2345509778,0.2104513248
