model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,-0.03139035141,-0.07362418378,4.338690106e-05,0.0252,-0.7112549323,-3.659850796,6.393944345,0.363,0.1461386652,0.1667687351
gamma,marginal,weighted,-0.02465387408,-0.04413139501,-0.01040039246,0.0006,2.657358287,-2.96344123,8.845350436,0.6589,0.1532751774,0.1422246006
gamma,conditional,unweighted,-0.04450491821,-0.09435522582,-0.001926609161,0.021,-1.152046291,-3.65872648,5.843749384,0.3025,0.223850305,0.2198670892
gamma,conditional,weighted,-0.03482309654,-0.05985127006,-0.01377149334,0.001,5.671397561,-2.82045536,11.5657901,0.767,0.2246953005,0.2122166943
gamma,disorder,unweighted,0.0131145668,-0.02813636038,0.05150721271,0.7284,-2.932845655,-3.687420418,2.7324211,0.0904,0.111483985,0.1234052776
gamma,disorder,weighted,0.006359797329,-0.01204383073,0.02394025134,0.741,-2.935889017,-3.687639768,1.45906248,0.0611,0.1090421613,0.1097767714
uniform,marginal,unweighted,0.01395507284,-0.04087055344,0.05389980398,0.6057,-3.055030581,-3.687648958,2.143346259,0.0728,0.1484834851,0.1540074732
uniform,marginal,weighted,-0.004124361473,-0.02526366629,0.01219098406,0.2467,-3.351153924,-3.68734811,1.950778525,0.0788,0.1589144305,0.1624273763
uniform,conditional,unweighted,-0.006344367874,-0.07696943583,0.05375413847,0.3377,-3.598699061,-3.687437746,5.62836361,0.1366,0.1788916676,0.1909564902
uniform,conditional,weighted,-0.01953103166,-0.04811027077,0.004726398677,0.0509,1.632244387,-3.677136145,8.196561191,0.3628,0.1720365491,0.1771750701
uniform,disorder,unweighted,0.02029944071,-0.02635703487,0.06383239658,0.7984,0.8967963731,-3.685569075,8.503610544,0.2802,0.06312435844,0.05917035703
uniform,disorder,weighted,0.01386819735,-0.005019436119,0.03247309635,0.9255,-0.1949830417,-3.683226031,5.338924226,0.2228,0.07115293731,0.0565896524
